Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Paulo Gazzaniga,ar ARG,GK,31.0,38.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Aleix García,es ESP,MF,26.0,35.5,3,39,12,30.8,1.1,0.34,0.08,0.25,26.4,8,0,0,1.8,1.8,0.05,1.2,1.2,Matches
Miguel Gutiérrez,es ESP,DF,22.0,33.7,2,34,5,14.7,1.01,0.15,0.06,0.4,22.3,0,0,0,2.8,2.8,0.08,-0.8,-0.8,Matches
Sávio,br BRA,"FW,MF",19.0,33.1,9,45,20,44.4,1.36,0.6,0.2,0.45,16.6,0,0,0,6.1,6.1,0.13,2.9,2.9,Matches
Daley Blind,nl NED,DF,33.0,33.0,1,17,6,35.3,0.51,0.18,0.06,0.17,16.6,1,0,0,1.7,1.7,0.1,-0.7,-0.7,Matches
Iván Martín,es ESP,MF,24.0,30.3,5,19,11,57.9,0.63,0.36,0.26,0.45,16.4,0,0,0,2.9,2.9,0.15,2.1,2.1,Matches
Artem Dovbyk,ua UKR,FW,26.0,28.7,24,77,36,46.8,2.68,1.25,0.22,0.47,12.4,1,7,8,24.2,17.9,0.23,-0.2,-0.9,Matches
Eric García,es ESP,DF,22.0,29.3,5,16,6,37.5,0.55,0.2,0.31,0.83,9.4,0,0,0,2.8,2.8,0.18,2.2,2.2,Matches
Yangel Herrera,ve VEN,MF,25.0,23.4,5,52,18,34.6,2.22,0.77,0.1,0.28,16.5,0,0,0,4.9,4.9,0.09,0.1,0.1,Matches
Viktor Tsyhankov,ua UKR,"MF,FW",25.0,22.8,8,44,15,34.1,1.93,0.66,0.18,0.53,17.0,3,0,0,6.2,6.2,0.14,1.8,1.8,Matches
David López,es ESP,DF,33.0,21.8,3,16,5,31.3,0.73,0.23,0.19,0.6,15.0,0,0,0,2.1,1.9,0.12,0.9,1.1,Matches
Yan Couto,br BRA,"DF,FW",21.0,24.9,1,29,11,37.9,1.16,0.44,0.03,0.09,21.3,0,0,0,1.5,1.5,0.05,-0.5,-0.5,Matches
Arnau Martinez,es ESP,DF,20.0,13.8,0,1,0,0.0,0.07,0.0,0.0,0.0,7.9,0,0,0,0.2,0.2,0.2,-0.2,-0.2,Matches
Portu,es ESP,"MF,FW",31.0,13.2,7,21,10,47.6,1.59,0.76,0.33,0.7,11.5,0,0,0,3.4,3.4,0.16,3.6,3.6,Matches
Juanpe,es ESP,DF,32.0,8.3,0,4,0,0.0,0.48,0.0,0.0,0.0,12.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Cristhian Stuani,uy URU,FW,36.0,8.9,9,34,17,50.0,3.81,1.9,0.26,0.53,9.0,0,0,0,9.6,9.6,0.3,-0.6,-0.6,Matches
Pablo Torre,es ESP,"MF,FW",20.0,7.8,0,13,1,7.7,1.67,0.13,0.0,0.0,19.3,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Valery Fernández,es ESP,"MF,FW",23.0,5.6,2,5,2,40.0,0.89,0.36,0.4,1.0,18.9,0,0,0,0.7,0.7,0.14,1.3,1.3,Matches
Jhon Solis,co COL,MF,18.0,4.3,0,9,2,22.2,2.11,0.47,0.0,0.0,17.3,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
Antal Yaakobishvili,hu HUN,DF,19.0,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Jastin García,es ESP,FW,19.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Toni Villa,es ESP,FW,28.0,0.1,0,1,1,100.0,6.92,6.92,0.0,0.0,18.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Ibrahima Kebe,ml MLI,MF,22.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Bernardo Espinosa,co COL,DF,34.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Silvi Clúa,es ESP,MF,18.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,26.1,38.0,84,476,178,37.4,12.53,4.68,0.16,0.43,16.4,13,7,8,70.8,64.6,0.14,13.2,12.4,0
Opponent Total,0,0,27.2,38.0,46,503,162,32.2,13.24,4.26,0.08,0.25,17.5,13,5,7,54.3,48.9,0.1,-8.3,-7.9,0
