Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Carlos Neva,es ESP,DF,27.0,35.0,2001,112,795,912,310,9,2001,19,7,36.8,10,52.6,915,3728,1984,43,29,0,31,12,1022,98,Matches
Ignasi Miquel,es ESP,DF,30.0,33.2,1889,262,1133,703,67,37,1889,16,8,50.0,7,43.8,1027,4460,2198,8,6,1,21,4,1146,8,Matches
Gerard Gumbau,es ESP,MF,28.0,29.7,1745,44,396,1016,351,13,1745,18,10,55.6,5,27.8,878,3456,1609,20,13,2,18,15,1100,29,Matches
Lucas Boyé,ar ARG,FW,27.0,28.2,1132,56,133,560,454,119,1132,130,53,40.8,75,57.7,634,3083,1036,36,42,16,114,86,747,131,Matches
Sergio Ruiz,es ESP,MF,28.0,27.7,1578,81,486,927,199,26,1578,54,23,42.6,17,31.5,931,5100,2665,34,24,6,37,15,1046,23,Matches
Myrto Uzuni,al ALB,FW,28.0,27.2,518,14,64,219,244,91,513,27,13,48.1,13,48.1,295,1496,592,21,13,10,46,34,316,90,Matches
Ricard Sánchez,es ESP,DF,23.0,25.5,1338,78,395,534,417,39,1338,34,19,55.9,13,38.2,641,3601,1929,49,35,4,37,15,703,103,Matches
Gonzalo Villar,es ESP,MF,25.0,20.0,1152,46,294,674,215,24,1152,44,23,52.3,15,34.1,704,3776,1965,27,32,2,22,28,778,27,Matches
Bryan Zaragoza,es ESP,"MF,FW",22.0,18.2,680,1,67,242,386,74,679,129,53,41.1,65,50.4,482,4318,2393,100,61,37,53,11,501,127,Matches
Miguel Ángel Rubio,es ESP,DF,25.0,17.3,975,128,567,381,30,17,975,7,5,71.4,1,14.3,491,2583,1586,7,5,0,10,2,559,1,Matches
Augusto Batalla,ar ARG,GK,27.0,17.0,734,581,719,14,2,2,734,3,3,100.0,0,0.0,408,2194,1348,0,0,0,1,0,301,1,Matches
Bruno Méndez,uy URU,DF,23.0,14.8,797,67,341,376,88,13,797,7,6,85.7,1,14.3,351,1434,767,8,4,0,9,4,394,14,Matches
