Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Carlos Neva,es ESP,DF,27.0,35.0,0,4,0,0.0,0.11,0.0,0.0,0.0,20.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ignasi Miquel,es ESP,DF,30.0,33.2,1,22,8,36.4,0.66,0.24,0.05,0.13,12.7,0,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
Gerard Gumbau,es ESP,MF,28.0,29.7,0,45,9,20.0,1.51,0.3,0.0,0.0,28.3,8,0,0,1.8,1.8,0.04,-1.8,-1.8,Matches
Lucas Boyé,ar ARG,FW,27.0,28.2,6,56,15,26.8,1.98,0.53,0.11,0.4,13.3,1,0,0,6.2,6.2,0.11,-0.2,-0.2,Matches
Sergio Ruiz,es ESP,MF,28.0,27.7,0,13,1,7.7,0.47,0.04,0.0,0.0,18.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Myrto Uzuni,al ALB,FW,28.0,27.2,11,58,24,41.4,2.13,0.88,0.12,0.29,17.9,2,4,5,12.9,9.0,0.16,-1.9,-2.0,Matches
Ricard Sánchez,es ESP,DF,23.0,25.5,3,14,5,35.7,0.55,0.2,0.21,0.6,19.0,0,0,0,1.0,1.0,0.07,2.0,2.0,Matches
Gonzalo Villar,es ESP,MF,25.0,20.0,1,22,4,18.2,1.1,0.2,0.05,0.25,22.5,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
Bryan Zaragoza,es ESP,"MF,FW",22.0,18.2,6,33,18,54.5,1.81,0.99,0.15,0.28,17.7,1,1,1,3.8,3.0,0.09,2.2,2.0,Matches
Miguel Ángel Rubio,es ESP,DF,25.0,17.3,1,9,2,22.2,0.52,0.12,0.11,0.5,10.4,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches
Augusto Batalla,ar ARG,GK,27.0,17.0,0,1,0,0.0,0.06,0.0,0.0,0.0,13.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Bruno Méndez,uy URU,DF,23.0,14.8,2,8,4,50.0,0.54,0.27,0.25,0.5,15.8,0,0,0,0.6,0.6,0.08,1.4,1.4,Matches
Óscar Melendo,es ESP,"MF,FW",25.0,12.5,0,6,2,33.3,0.48,0.16,0.0,0.0,14.9,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
André Ferreira,pt POR,GK,27.0,14.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Raúl Torrente,es ESP,DF,21.0,13.9,0,3,0,0.0,0.22,0.0,0.0,0.0,14.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Facundo Pellistri,uy URU,"MF,FW",21.0,13.7,2,17,6,35.3,1.24,0.44,0.12,0.33,14.5,0,0,0,2.5,2.5,0.14,-0.5,-0.5,Matches
José Callejón,es ESP,"MF,FW",36.0,8.9,0,12,4,33.3,1.34,0.45,0.0,0.0,14.5,1,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches
Kamil Jóźwiak,pl POL,MF,25.0,6.3,0,4,1,25.0,0.63,0.16,0.0,0.0,21.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Antonio Puertas,es ESP,"MF,FW",31.0,8.1,0,17,4,23.5,2.1,0.49,0.0,0.0,16.0,0,0,2,3.2,1.6,0.09,-3.2,-1.6,Matches
Martin Hongla,cm CMR,"MF,DF",25.0,6.2,0,3,1,33.3,0.48,0.16,0.0,0.0,18.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Kamil Piątkowski,pl POL,DF,23.0,5.6,0,4,2,50.0,0.71,0.36,0.0,0.0,7.3,0,0,0,0.8,0.8,0.2,-0.8,-0.8,Matches
Álvaro Carreras,es ESP,"MF,FW",20.0,5.3,0,7,1,14.3,1.33,0.19,0.0,0.0,12.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Raúl Fernández,es ESP,GK,35.0,3.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Matias Arezo,uy URU,FW,20.0,4.1,0,12,4,33.3,2.93,0.98,0.0,0.0,18.1,0,0,0,1.2,1.2,0.1,-1.2,-1.2,Matches
Marc Martínez,es ESP,GK,33.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Wilson Manafá,pt POR,"DF,MF",29.0,2.7,0,1,0,0.0,0.37,0.0,0.0,0.0,29.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Faitout Maouassa,fr FRA,"DF,MF",25.0,2.5,0,5,0,0.0,1.97,0.0,0.0,0.0,20.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Theo Corbeanu,ca CAN,"MF,FW",21.0,2.0,1,5,2,40.0,2.47,0.99,0.2,0.5,23.6,1,0,0,0.3,0.3,0.06,0.7,0.7,Matches
Víctor Díaz,es ESP,"DF,MF",35.0,1.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Sergio Rodelas,es ESP,"FW,DF",18.0,1.4,0,2,0,0.0,1.48,0.0,0.0,0.0,27.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jesús Vallejo,es ESP,DF,26.0,1.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Samuel Omorodion,es ESP,FW,19.0,0.9,1,3,2,66.7,3.38,2.25,0.33,0.5,8.6,0,0,0,0.7,0.7,0.23,0.3,0.3,Matches
Njegoš Petrović,rs SRB,"MF,FW",24.0,1.7,0,2,1,50.0,1.15,0.57,0.0,0.0,31.9,1,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Famara Diedhiou,sn SEN,"FW,MF",30.0,1.0,0,5,3,60.0,5.06,3.03,0.0,0.0,18.1,0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches
Shon Weissman,il ISR,FW,27.0,0.9,0,1,0,0.0,1.1,0.0,0.0,0.0,13.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Brau,es ESP,DF,21.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Adri Bosch,es ESP,DF,22.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo Saenz,0,MF,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Alberto Soro,es ESP,MF,24.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
