Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Álvaro Vallés,es ESP,GK,26.0,36.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Kirian Rodríguez,es ESP,MF,27.0,35.7,6,43,14,32.6,1.21,0.39,0.14,0.43,25.4,2,0,0,2.1,2.1,0.05,3.9,3.9,Matches
Mika Màrmol,es ESP,DF,21.0,35.3,0,3,0,0.0,0.08,0.0,0.0,0.0,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Munir El Haddadi,ma MAR,FW,27.0,27.2,3,42,11,26.2,1.54,0.4,0.07,0.27,16.7,3,0,1,4.3,3.5,0.08,-1.3,-0.5,Matches
Sergi Cardona,es ESP,DF,24.0,31.3,1,26,5,19.2,0.83,0.16,0.04,0.2,13.9,0,0,0,2.7,2.7,0.1,-1.7,-1.7,Matches
Javier Muñoz,es ESP,MF,28.0,29.3,2,38,9,23.7,1.3,0.31,0.05,0.22,21.0,0,0,0,2.5,2.5,0.07,-0.5,-0.5,Matches
Álex Suárez,es ESP,DF,30.0,28.5,2,7,5,71.4,0.25,0.18,0.29,0.4,9.9,0,0,0,1.2,1.2,0.22,0.8,0.8,Matches
Saúl Coco,gq EQG,DF,24.0,25.5,1,20,4,20.0,0.78,0.16,0.05,0.25,25.6,8,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
Sandro Ramírez,es ESP,FW,28.0,20.1,1,51,18,35.3,2.54,0.9,0.02,0.06,21.7,5,0,1,3.7,3.0,0.06,-2.7,-2.0,Matches
Alberto Moleiro,es ESP,"FW,MF",19.0,20.0,3,33,10,30.3,1.65,0.5,0.09,0.3,20.0,0,0,0,2.0,2.0,0.06,1.0,1.0,Matches
Máximo Perrone,ar ARG,MF,20.0,18.0,0,7,3,42.9,0.39,0.17,0.0,0.0,23.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Enzo Loiodice,fr FRA,MF,22.0,19.9,0,16,6,37.5,0.8,0.3,0.0,0.0,23.7,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
Marvin,es ESP,"FW,DF",23.0,20.6,0,14,3,21.4,0.68,0.15,0.0,0.0,17.3,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Julian Araujo,mx MEX,DF,21.0,16.2,1,7,2,28.6,0.43,0.12,0.14,0.5,20.5,0,0,0,0.7,0.7,0.1,0.3,0.3,Matches
Sory Kaba,gn GUI,FW,28.0,8.0,1,13,1,7.7,1.62,0.12,0.08,1.0,17.1,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches
Jonathan Viera,es ESP,"MF,FW",33.0,6.9,2,12,4,33.3,1.75,0.58,0.0,0.0,24.0,2,2,2,2.3,0.7,0.06,-0.3,-0.7,Matches
Marc Cardona,es ESP,FW,28.0,8.0,4,21,10,47.6,2.61,1.24,0.14,0.3,14.3,0,1,1,4.2,3.5,0.16,-0.2,-0.5,Matches
Francisco Jesús Crespo García,es ESP,FW,27.0,5.6,2,17,8,47.1,3.04,1.43,0.12,0.25,22.2,0,0,0,1.3,1.3,0.08,0.7,0.7,Matches
Daley Sinkgraven,nl NED,DF,28.0,4.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Herzog,es ESP,DF,20.0,3.2,2,3,3,100.0,0.92,0.92,0.67,0.67,6.2,0,0,0,0.7,0.7,0.23,1.3,1.3,Matches
Álvaro Lemos,es ESP,DF,30.0,2.8,0,1,0,0.0,0.36,0.0,0.0,0.0,29.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Benito Ramírez,es ESP,"FW,MF",28.0,4.3,1,10,3,30.0,2.34,0.7,0.1,0.33,22.5,1,0,0,0.4,0.4,0.04,0.6,0.6,Matches
José Campaña,es ESP,MF,30.0,1.9,0,1,0,0.0,0.53,0.0,0.0,0.0,28.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Cristian Herrera,es ESP,"FW,MF",32.0,1.8,1,1,1,100.0,0.54,0.54,1.0,1.0,3.8,0,0,0,0.9,0.9,0.87,0.1,0.1,Matches
Aarón Escandell,es ESP,GK,27.0,1.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Fabio González,es ESP,MF,26.0,1.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Eric Curbelo,es ESP,"DF,MF",29.0,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
