Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Predrag Rajković,rs SRB,GK,27.0,36.0,735,1249,58.8,28267,23581,74,74,100.0,251,258,97.3,407,911,44.7,0,0.2,0.1,-0.2,4,50,1,0,0,Matches
Dani Rodríguez,es ESP,MF,35.0,29.1,693,1010,68.6,11921,4005,328,389,84.3,250,340,73.5,84,199,42.2,4,4.1,5.2,-0.1,48,71,27,11,118,Matches
Martin Valjent,sk SVK,DF,27.0,26.1,847,1067,79.4,15592,6228,343,374,91.7,400,468,85.5,84,178,47.2,1,0.9,1.0,0.1,7,60,5,3,61,Matches
Giovanni González,uy URU,DF,28.0,27.4,936,1244,75.2,15432,6464,485,549,88.3,342,448,76.3,90,176,51.1,1,1.4,1.9,-0.4,21,80,28,15,91,Matches
Samu Costa,pt POR,MF,22.0,25.6,830,1087,76.4,15302,3901,357,433,82.4,359,432,83.1,99,153,64.7,1,0.5,1.0,0.5,12,77,11,4,93,Matches
Vedat Muriqi,xk KVX,FW,29.0,25.9,411,660,62.3,6079,999,225,338,66.6,130,196,66.3,26,41,63.4,2,2.6,1.8,-0.6,34,42,13,2,40,Matches
Matija Nastasić,rs SRB,DF,30.0,25.1,788,992,79.4,16422,6494,246,277,88.8,411,480,85.6,123,215,57.2,0,0.6,0.7,-0.6,5,60,8,2,64,Matches
Antonio Raillo,es ESP,DF,31.0,24.4,990,1159,85.4,19217,7350,337,384,87.8,544,598,91.0,103,150,68.7,2,2.0,0.8,0.0,8,61,2,0,80,Matches
Sergi Darder,es ESP,MF,29.0,24.0,725,1002,72.4,13785,4827,313,357,87.7,275,349,78.8,115,229,50.2,5,6.4,5.0,-1.4,51,120,32,14,132,Matches
Antonio Sánchez,es ESP,MF,26.0,16.1,378,545,69.4,6013,1779,193,236,81.8,142,182,78.0,30,63,47.6,1,0.8,1.8,0.2,12,32,14,6,57,Matches
Cyle Larin,ca CAN,FW,28.0,20.3,184,294,62.6,2419,410,107,149,71.8,51,79,64.6,10,16,62.5,2,1.4,0.5,0.6,11,8,1,0,13,Matches
Jaume Costa,es ESP,DF,35.0,18.7,615,834,73.7,9676,4167,345,385,89.6,217,291,74.6,43,115,37.4,1,1.2,1.2,-0.2,19,36,21,14,50,Matches
Omar Mascarell,gq EQG,MF,30.0,17.5,638,779,81.9,11983,3142,272,310,87.7,279,317,88.0,79,120,65.8,0,0.0,0.2,0.0,3,64,6,0,67,Matches
Pablo Maffeo,es ESP,DF,26.0,16.2,374,603,62.0,6550,2806,172,207,83.1,155,233,66.5,38,116,32.8,2,0.9,0.9,1.1,11,32,9,8,41,Matches
Copete,es ESP,DF,23.0,14.8,449,584,76.9,8887,3089,155,180,86.1,230,268,85.8,57,117,48.7,1,0.8,0.5,0.2,4,46,6,3,52,Matches
Manu Morlanes,es ESP,MF,24.0,17.9,669,809,82.7,10611,2959,352,395,89.1,236,269,87.7,54,85,63.5,2,2.0,2.0,0.0,16,74,14,3,104,Matches
Toni Lato,es ESP,DF,25.0,17.2,595,788,75.5,9743,3108,309,352,87.8,233,306,76.1,42,87,48.3,1,1.3,1.3,-0.3,10,26,14,9,39,Matches
Abdón Prats,es ESP,"FW,MF",30.0,14.1,132,240,55.0,2042,475,73,110,66.4,42,71,59.2,12,23,52.2,1,2.4,1.2,-1.4,14,12,8,0,26,Matches
Nacho Vidal,es ESP,DF,28.0,4.6,151,202,74.8,2088,850,97,105,92.4,43,60,71.7,5,19,26.3,0,0.2,0.3,-0.2,3,5,4,2,15,Matches
Nemanja Radonjić,rs SRB,"MF,DF",27.0,3.9,78,119,65.5,1304,465,41,55,74.5,25,34,73.5,9,21,42.9,0,0.6,0.7,-0.6,7,9,5,4,12,Matches
Siebe Van Der Heyden,be BEL,DF,25.0,3.2,70,101,69.3,1241,438,34,35,97.1,28,36,77.8,8,26,30.8,0,0.0,0.1,0.0,0,1,0,0,1,Matches
Amath,sn SEN,"FW,MF",27.0,4.4,76,113,67.3,1118,296,42,55,76.4,24,38,63.2,6,8,75.0,0,0.4,0.3,-0.4,3,8,4,2,13,Matches
Javier Llabrés,es ESP,"MF,FW",20.0,2.7,64,97,66.0,1083,216,29,35,82.9,25,37,67.6,7,15,46.7,0,0.3,0.3,-0.3,5,2,2,1,5,Matches
Iván Cuéllar,es ESP,GK,39.0,1.0,24,35,68.6,612,461,3,4,75.0,14,14,100.0,7,17,41.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Dominik Greif,sk SVK,GK,26.0,1.0,24,32,75.0,959,841,2,2,100.0,11,11,100.0,11,19,57.9,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Squad Total,0,0,28.7,38.0,11476,15645,73.4,218346,89351,4934,5790,85.2,4717,5815,81.1,1549,3119,49.7,27,30.8,29.1,-3.8,308,978,235,103,1174,0
Opponent Total,0,0,27.0,38.0,15384,19315,79.6,260780,94062,7559,8492,89.0,5999,7074,84.8,1408,2781,50.6,29,28.5,32.9,0.5,348,1230,277,78,1399,0
