Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Sergio Herrera,es ESP,GK,30.0,31.9,6,0.19,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jesús Areso,es ESP,DF,24.0,29.6,70,2.37,57,5,6,1,1,0,12,0.41,9,1,2,0,0,0,Matches
Ante Budimir,hr CRO,FW,32.0,27.1,42,1.55,21,1,3,7,8,2,5,0.18,2,0,0,1,2,0,Matches
Catena,es ESP,DF,28.0,28.2,14,0.5,13,0,0,1,0,0,4,0.14,4,0,0,0,0,0,Matches
David García,es ESP,DF,29.0,25.9,18,0.69,16,0,0,1,0,1,3,0.12,2,0,0,1,0,0,Matches
Aimar Oroz,es ESP,MF,21.0,26.0,70,2.69,60,1,1,4,4,0,3,0.12,2,0,0,1,0,0,Matches
Rubén Peña,es ESP,"DF,FW",32.0,23.2,61,2.63,49,1,6,2,2,1,3,0.13,2,0,0,1,0,0,Matches
Moi Gómez,es ESP,"MF,FW",29.0,22.3,60,2.69,42,12,3,1,2,0,2,0.09,0,1,0,1,0,0,Matches
Johan Mojica,co COL,DF,30.0,22.7,47,2.07,41,0,1,3,1,1,5,0.22,2,0,1,1,1,0,Matches
Jon Moncayola,es ESP,MF,25.0,20.0,54,2.7,36,13,0,1,2,2,9,0.45,7,2,0,0,0,0,Matches
Lucas Torró,es ESP,MF,29.0,19.9,26,1.31,19,1,1,4,1,0,2,0.1,1,0,0,1,0,0,Matches
Iker Muñoz,es ESP,MF,20.0,20.6,18,0.87,14,0,0,3,1,0,0,0.0,0,0,0,0,0,0,Matches
Rubén García,es ESP,"FW,MF",30.0,17.2,65,3.79,36,14,7,2,6,0,5,0.29,4,0,0,0,1,0,Matches
Juan Cruz Armada,es ESP,DF,31.0,18.5,12,0.65,10,2,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Jorge Herrando,es ESP,DF,22.0,18.3,4,0.22,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Raúl,es ESP,FW,22.0,15.1,22,1.46,16,0,0,4,2,0,2,0.13,2,0,0,0,0,0,Matches
Pablo Ibáñez,es ESP,MF,24.0,12.8,30,2.35,19,1,1,3,5,1,4,0.31,2,0,1,0,1,0,Matches
Ezequiel Ávila,ar ARG,"FW,MF",29.0,9.6,37,3.85,23,9,0,4,1,0,7,0.73,3,2,0,2,0,0,Matches
José Arnaiz,es ESP,"FW,MF",28.0,10.3,40,3.88,13,12,2,5,8,0,5,0.48,1,2,0,1,1,0,Matches
Unai García,es ESP,DF,31.0,6.2,2,0.32,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Aitor Fernández,es ESP,GK,32.0,6.1,1,0.16,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kike Barja,es ESP,"FW,MF",26.0,3.4,12,3.56,9,0,1,1,1,0,1,0.3,1,0,0,0,0,0,Matches
Nacho Vidal,es ESP,"DF,FW",28.0,1.1,1,0.94,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Darko Brašanac,rs SRB,MF,31.0,0.5,2,3.75,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Iñigo Arguibide,es ESP,DF,18.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jorge Moreno,es ESP,DF,22.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Xabier Huarte Armendáriz,es ESP,MF,22.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Asier Osambela,es ESP,MF,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Max Svensson,es ESP,FW,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,27.7,38.0,714,18.79,505,77,32,47,45,8,73,1.92,45,8,4,10,6,0,0
Opponent Total,0,0,27.0,38.0,757,19.92,561,65,41,47,32,11,95,2.5,72,10,5,5,2,1,0
