Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Sergio Herrera,es ESP,GK,30.0,32,2869.0,90.0,83.9,31.9,32,90.0,31,0,0.0,6,1.34,41.0,47.0,-6.0,-0.19,0.63,34.4,40.4,-6.0,-0.19,0.36,Matches
Jesús Areso,es ESP,DF,24.0,37,2660.0,72.0,77.8,29.6,29,87.0,21,8,17.0,1,1.22,35.0,44.0,-9.0,-0.3,-0.07,31.3,38.7,-7.4,-0.25,-0.02,Matches
Ante Budimir,hr CRO,FW,32.0,33,2435.0,74.0,71.2,27.1,29,81.0,10,4,19.0,1,1.3,34.0,40.0,-6.0,-0.22,0.24,30.1,31.9,-1.8,-0.07,0.62,Matches
Catena,es ESP,DF,28.0,30,2534.0,84.0,74.1,28.2,28,88.0,24,2,42.0,6,1.17,34.0,45.0,-11.0,-0.39,-0.39,27.8,39.4,-11.6,-0.41,-0.64,Matches
David García,es ESP,DF,29.0,27,2334.0,86.0,68.2,25.9,27,86.0,25,0,0.0,2,1.3,28.0,35.0,-7.0,-0.27,0.06,30.7,31.4,-0.7,-0.03,0.69,Matches
Aimar Oroz,es ESP,MF,21.0,33,2339.0,71.0,68.4,26.0,26,81.0,8,7,33.0,0,1.36,29.0,34.0,-5.0,-0.19,0.31,25.2,32.6,-7.4,-0.28,-0.12,Matches
Rubén Peña,es ESP,"DF,FW",32.0,29,2088.0,72.0,61.1,23.2,26,78.0,7,3,18.0,2,1.34,26.0,33.0,-7.0,-0.3,-0.03,24.2,27.8,-3.6,-0.16,0.23,Matches
Moi Gómez,es ESP,"MF,FW",29.0,28,2006.0,72.0,58.7,22.3,23,80.0,11,5,34.0,5,1.14,26.0,30.0,-4.0,-0.18,0.27,23.8,25.7,-1.9,-0.08,0.39,Matches
Johan Mojica,co COL,DF,30.0,30,2041.0,68.0,59.7,22.7,22,84.0,16,8,23.0,3,1.17,26.0,35.0,-9.0,-0.4,-0.27,23.4,31.6,-8.2,-0.36,-0.28,Matches
Jon Moncayola,es ESP,MF,25.0,33,1800.0,55.0,52.6,20.0,21,75.0,7,12,19.0,2,1.21,24.0,30.0,-6.0,-0.3,-0.02,19.3,28.4,-9.2,-0.46,-0.45,Matches
Lucas Torró,es ESP,MF,29.0,28,1788.0,64.0,52.3,19.9,21,79.0,10,7,18.0,9,1.11,22.0,30.0,-8.0,-0.4,-0.24,20.5,29.3,-8.8,-0.44,-0.41,Matches
Iker Muñoz,es ESP,MF,20.0,28,1854.0,66.0,54.2,20.6,20,83.0,13,8,24.0,10,1.32,28.0,26.0,2.0,0.1,0.84,23.2,23.9,-0.7,-0.03,0.46,Matches
Rubén García,es ESP,"FW,MF",30.0,30,1547.0,52.0,45.2,17.2,19,71.0,4,11,17.0,6,1.0,18.0,26.0,-8.0,-0.47,-0.32,15.8,22.4,-6.6,-0.38,-0.25,Matches
Juan Cruz Armada,es ESP,DF,31.0,26,1667.0,64.0,48.7,18.5,18,86.0,14,8,15.0,9,1.27,23.0,28.0,-5.0,-0.27,0.04,20.1,23.0,-2.9,-0.15,0.18,Matches
Jorge Herrando,es ESP,DF,22.0,19,1644.0,87.0,48.1,18.3,18,89.0,17,1,36.0,19,1.05,21.0,26.0,-5.0,-0.27,0.03,17.3,24.4,-7.0,-0.39,-0.27,Matches
Raúl,es ESP,FW,22.0,35,1355.0,39.0,39.6,15.1,13,75.0,2,22,17.0,2,1.09,18.0,24.0,-6.0,-0.4,-0.18,17.5,22.1,-4.6,-0.31,-0.1,Matches
Pablo Ibáñez,es ESP,MF,24.0,33,1152.0,35.0,33.7,12.8,12,71.0,2,21,14.0,4,1.18,19.0,20.0,-1.0,-0.08,0.32,17.0,16.3,0.7,0.05,0.45,Matches
Ezequiel Ávila,ar ARG,"FW,MF",29.0,17,864.0,51.0,25.3,9.6,10,71.0,1,7,22.0,0,0.94,11.0,12.0,-1.0,-0.1,0.25,11.2,10.8,0.4,0.04,0.38,Matches
José Arnaiz,es ESP,"FW,MF",28.0,26,929.0,36.0,27.2,10.3,9,65.0,0,17,20.0,8,1.04,11.0,16.0,-5.0,-0.48,-0.27,10.6,15.1,-4.5,-0.44,-0.26,Matches
Unai García,es ESP,DF,31.0,9,560.0,62.0,16.4,6.2,6,84.0,4,3,18.0,17,0.9,6.0,12.0,-6.0,-0.96,-0.81,4.5,10.3,-5.8,-0.93,-0.82,Matches
Aitor Fernández,es ESP,GK,32.0,7,551.0,79.0,16.1,6.1,6,90.0,6,1,11.0,30,0.63,6.0,13.0,-7.0,-1.14,-1.02,6.1,9.5,-3.4,-0.55,-0.36,Matches
Kike Barja,es ESP,"FW,MF",26.0,16,303.0,19.0,8.9,3.4,3,42.0,0,13,14.0,5,0.94,8.0,8.0,0.0,0.0,0.32,6.8,5.8,1.0,0.31,0.61,Matches
Nacho Vidal,es ESP,"DF,FW",28.0,7,96.0,14.0,2.8,1.1,0,0.0,0,7,14.0,13,2.0,2.0,2.0,0.0,0.0,0.3,2.3,2.3,0.1,0.06,0.31,Matches
