Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Stole Dimitrievski,mk MKD,GK,29.0,37.0,2,0,0,0,3,0,0,0,1,0,0,0,37,6,1,85.7,Matches
Florian Lejeune,fr FRA,DF,32.0,37.0,5,0,0,26,13,3,7,23,25,0,0,1,173,80,49,62.0,Matches
Isaac Palazón Camacho,es ESP,"MF,FW",28.0,31.0,8,0,0,32,76,10,131,16,25,0,0,0,156,40,69,36.7,Matches
Iván Balliu,al ALB,DF,31.0,31.9,4,0,0,41,30,8,68,29,31,0,0,0,127,30,27,52.6,Matches
Óscar Valentín,es ESP,MF,28.0,29.9,7,1,1,77,41,0,5,35,66,0,0,0,160,33,50,39.8,Matches
Álvaro García,es ESP,"FW,MF",30.0,27.5,8,1,1,25,23,25,121,36,25,1,0,0,111,14,27,34.1,Matches
Alfonso Espino,uy URU,DF,31.0,27.9,9,0,0,45,41,0,50,40,45,0,1,1,171,13,26,33.3,Matches
Unai López,es ESP,MF,27.0,23.4,8,0,0,60,22,3,73,16,24,0,0,0,160,16,19,45.7,Matches
Sergio Camello,es ESP,FW,22.0,18.5,3,0,0,18,11,6,2,3,5,0,0,0,60,16,40,28.6,Matches
Abdul Mumin,gh GHA,DF,25.0,18.8,5,1,0,15,16,0,2,22,10,0,0,0,79,39,31,55.7,Matches
Aridane Hernández,es ESP,DF,34.0,18.8,3,0,0,11,12,0,0,14,8,0,1,0,86,35,18,66.0,Matches
Óscar Trejo,ar ARG,"FW,MF",35.0,15.3,4,1,0,40,40,3,23,5,15,1,0,0,92,14,19,42.4,Matches
Pathé Ciss,sn SEN,MF,29.0,18.5,10,0,0,27,29,4,3,30,24,0,0,0,127,50,42,54.3,Matches
Raúl de Tomás,es ESP,FW,28.0,14.1,5,0,0,24,26,12,9,1,5,0,0,0,35,24,41,36.9,Matches
Jorge de Frutos,es ESP,"FW,MF",26.0,17.2,1,0,0,15,25,4,53,7,8,0,0,0,81,14,18,43.8,Matches
Pep Chavarría,es ESP,"DF,MF",25.0,13.0,6,1,1,8,22,3,70,6,18,0,0,0,68,13,10,56.5,Matches
Kike Pérez,es ESP,"MF,FW",26.0,9.3,7,0,0,42,34,0,18,8,11,0,0,0,57,11,26,29.7,Matches
Andrei Ratiu,ro ROU,"DF,MF",25.0,7.0,1,0,0,2,4,0,18,0,4,0,0,0,39,6,7,46.2,Matches
Crespo,pt POR,MF,26.0,5.9,4,0,0,19,22,0,3,10,9,0,0,0,31,9,5,64.3,Matches
Randy Nteka,ao ANG,"FW,MF",25.0,6.4,3,0,0,19,14,6,3,2,4,1,0,0,23,27,24,52.9,Matches
Radamel Falcao,co COL,"FW,DF",37.0,4.5,4,0,0,15,10,6,1,3,5,0,0,0,20,14,24,36.8,Matches
Cárdenas,es ESP,GK,26.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
Bebé,cv CPV,"MF,FW",33.0,2.4,1,0,0,0,2,3,28,0,2,0,0,0,12,1,4,20.0,Matches
Salvi,es ESP,MF,32.0,0.3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.0,Matches
José Pozo,es ESP,MF,27.0,0.2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.0,Matches
Diego Méndez,es ESP,MF,19.0,0.1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,100.0,Matches
Squad Total,0,0,29.4,38.0,108,5,3,563,518,96,688,308,372,3,2,2,1908,506,578,46.7,0
Opponent Total,0,0,26.9,38.0,105,7,3,557,535,87,682,285,408,0,6,0,1934,578,506,53.3,0
