Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Germán Pezzella,ar ARG,DF,32.0,30.7,7,0,0,22,13,6,2,31,24,0,0,0,148,84,39,68.3,Matches
Ayoze Pérez,es ESP,FW,30.0,25.5,4,0,0,36,48,11,19,22,32,0,0,0,121,20,34,37.0,Matches
Rui Silva,pt POR,GK,29.0,27.5,4,0,0,2,7,0,0,1,0,0,2,1,41,10,3,76.9,Matches
Isco,es ESP,MF,31.0,25.8,10,0,0,31,79,3,152,10,27,0,0,0,129,16,39,29.1,Matches
Willian José,br BRA,FW,31.0,21.9,0,1,0,9,20,9,7,2,3,0,0,0,41,31,40,43.7,Matches
Chadi Riad,ma MAR,DF,20.0,24.0,1,0,0,15,7,1,0,23,24,0,1,0,110,44,38,53.7,Matches
Marc Roca,es ESP,MF,26.0,22.0,5,0,0,48,23,1,25,17,36,0,0,0,147,9,22,29.0,Matches
Guido Rodríguez,ar ARG,MF,29.0,20.5,6,0,0,23,35,4,6,29,30,0,1,0,155,20,14,58.8,Matches
Juan Miranda,es ESP,DF,23.0,20.6,8,0,0,21,34,3,62,19,24,0,1,0,83,26,27,49.1,Matches
Héctor Bellerín,es ESP,DF,28.0,19.0,0,1,0,21,10,1,40,22,22,0,0,1,86,16,33,32.7,Matches
Abner,br BRA,DF,23.0,15.6,3,0,0,16,2,2,26,15,19,0,1,0,79,14,10,58.3,Matches
Johnny Cardoso,us USA,MF,21.0,14.8,3,0,0,21,19,0,3,32,29,1,0,0,91,38,25,60.3,Matches
Pablo Fornals,es ESP,"FW,MF",27.0,12.8,2,0,0,13,14,4,51,22,16,0,0,0,72,11,9,55.0,Matches
Assane Diao,es ESP,FW,17.0,11.6,4,0,0,12,22,1,9,7,12,0,0,0,47,14,22,38.9,Matches
Sokratis Papastathopoulos,gr GRE,DF,35.0,12.6,6,0,0,13,6,0,0,6,14,0,0,1,51,25,18,58.1,Matches
Youssouf Sabaly,sn SEN,DF,30.0,11.6,2,0,0,9,6,0,27,11,11,0,0,0,63,10,13,43.5,Matches
Aitor Ruibal,es ESP,"DF,FW",27.0,11.3,5,0,0,16,13,1,28,14,27,0,1,0,78,4,9,30.8,Matches
Nabil Fekir,fr FRA,"MF,FW",30.0,11.7,1,0,0,22,35,8,56,7,10,0,0,0,42,10,11,47.6,Matches
Rodri,es ESP,"FW,MF",23.0,11.7,0,0,0,6,29,4,36,8,10,0,0,0,58,0,9,0.0,Matches
Claudio Bravo,cl CHI,GK,40.0,7.0,0,0,0,0,1,0,0,0,0,0,0,0,14,2,0,100.0,Matches
Abdessamad Ezzalzouli,ma MAR,FW,21.0,9.6,1,0,0,9,16,4,33,5,14,0,0,0,44,23,23,50.0,Matches
Luiz Henrique,br BRA,FW,22.0,6.8,1,0,0,7,15,0,24,5,11,0,0,0,29,15,14,51.7,Matches
Sergi Altimira,es ESP,MF,21.0,6.3,1,0,0,8,8,0,1,9,8,0,0,0,41,2,4,33.3,Matches
William Carvalho,pt POR,MF,31.0,7.6,2,0,0,13,5,0,4,8,12,0,0,0,47,8,3,72.7,Matches
Andrés Guardado,mx MEX,MF,36.0,5.0,2,0,0,10,3,0,11,6,12,0,0,0,37,4,7,36.4,Matches
Borja Iglesias,es ESP,FW,30.0,4.5,2,0,0,7,5,7,1,2,0,0,1,0,7,6,7,46.2,Matches
Luiz Felipe,it ITA,DF,26.0,4.0,1,0,0,2,1,0,0,4,3,0,0,0,23,2,6,25.0,Matches
Ezequiel Ávila,ar ARG,FW,29.0,3.3,4,1,1,3,12,0,12,1,1,0,0,0,9,4,5,44.4,Matches
Fran Vieites,es ESP,GK,24.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Marc Bartra,es ESP,DF,32.0,2.5,1,0,0,4,1,0,0,3,3,0,0,0,15,4,4,50.0,Matches
Cédric Bakambu,cd COD,FW,32.0,2.2,1,0,0,4,3,3,0,0,0,0,0,0,4,3,7,30.0,Matches
Ricardo Visus,es ESP,DF,22.0,1.8,0,0,0,3,1,0,0,2,2,0,0,0,3,2,5,28.6,Matches
Juan Cruz,es ESP,FW,23.0,0.8,0,0,0,2,2,0,0,0,0,0,0,0,4,1,0,100.0,Matches
Pablo Busto,es ESP,DF,17.0,0.5,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0.0,Matches
Paul Akouokou,ci CIV,MF,25.0,0.3,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0.0,Matches
Squad Total,0,0,27.8,38.0,87,3,1,429,497,73,636,345,440,1,8,3,1921,479,500,48.9,0
Opponent Total,0,0,27.0,38.0,97,5,3,521,411,106,712,314,464,7,3,2,1864,500,479,51.1,0
