Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Germán Pezzella,ar ARG,DF,32.0,30.7,1277,1485,86.0,23691,8483,443,475,93.3,724,811,89.3,94,168,56.0,0,0.3,0.3,-0.3,4,49,4,1,64,Matches
Ayoze Pérez,es ESP,FW,30.0,25.5,572,738,77.5,7137,1889,377,433,87.1,139,177,78.5,15,26,57.7,1,3.9,3.0,-2.9,29,46,22,0,80,Matches
Rui Silva,pt POR,GK,29.0,27.5,669,958,69.8,18063,12611,124,124,100.0,324,327,99.1,218,501,43.5,0,0.0,0.0,0.0,0,8,0,0,1,Matches
Isco,es ESP,MF,31.0,25.8,1201,1502,80.0,19453,6247,634,699,90.7,371,442,83.9,134,239,56.1,5,6.4,6.4,-1.4,81,130,58,7,216,Matches
Willian José,br BRA,FW,31.0,21.9,429,541,79.3,5902,838,255,306,83.3,107,130,82.3,29,38,76.3,5,2.5,1.7,2.5,27,16,7,1,32,Matches
Chadi Riad,ma MAR,DF,20.0,24.0,1074,1198,89.6,19044,5584,423,451,93.8,568,600,94.7,62,111,55.9,0,0.2,0.2,-0.2,2,20,0,0,34,Matches
Marc Roca,es ESP,MF,26.0,22.0,997,1193,83.6,17134,5610,473,522,90.6,387,442,87.6,99,166,59.6,2,1.4,1.7,0.6,19,120,17,0,126,Matches
Guido Rodríguez,ar ARG,MF,29.0,20.5,888,1042,85.2,15168,4610,428,466,91.8,333,375,88.8,88,131,67.2,0,0.8,0.8,-0.8,4,73,1,0,65,Matches
Juan Miranda,es ESP,DF,23.0,20.6,913,1166,78.3,15668,7497,416,467,89.1,382,488,78.3,86,149,57.7,1,1.9,2.4,-0.9,23,64,32,9,103,Matches
Héctor Bellerín,es ESP,DF,28.0,19.0,756,979,77.2,11447,4836,407,469,86.8,297,381,78.0,31,73,42.5,1,1.6,1.2,-0.6,15,56,15,4,81,Matches
Abner,br BRA,DF,23.0,15.6,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1,1.0,1.0,0.0,8,20,7,2,33,Matches
