Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Germán Pezzella,ar ARG,DF,32.0,30.7,1,23,5,21.7,0.75,0.16,0.04,0.2,11.2,0,0,0,2.0,2.0,0.09,-1.0,-1.0,Matches
Ayoze Pérez,es ESP,FW,30.0,25.5,9,68,26,38.2,2.67,1.02,0.13,0.35,13.5,0,0,0,7.4,7.4,0.11,1.6,1.6,Matches
Rui Silva,pt POR,GK,29.0,27.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Isco,es ESP,MF,31.0,25.8,8,62,24,38.7,2.4,0.93,0.1,0.25,18.0,4,2,2,8.3,6.7,0.11,-0.3,-0.7,Matches
Willian José,br BRA,FW,31.0,21.9,10,48,24,50.0,2.19,1.1,0.21,0.42,16.3,4,0,0,5.7,5.7,0.12,4.3,4.3,Matches
Chadi Riad,ma MAR,DF,20.0,24.0,0,11,5,45.5,0.46,0.21,0.0,0.0,11.1,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Marc Roca,es ESP,MF,26.0,22.0,2,20,7,35.0,0.91,0.32,0.1,0.29,24.3,0,0,0,1.1,1.1,0.06,0.9,0.9,Matches
Guido Rodríguez,ar ARG,MF,29.0,20.5,2,18,7,38.9,0.88,0.34,0.11,0.29,20.5,0,0,0,0.7,0.7,0.04,1.3,1.3,Matches
Juan Miranda,es ESP,DF,23.0,20.6,1,16,6,37.5,0.78,0.29,0.06,0.17,18.6,1,0,0,1.6,1.6,0.11,-0.6,-0.6,Matches
Héctor Bellerín,es ESP,DF,28.0,19.0,0,2,0,0.0,0.11,0.0,0.0,0.0,18.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Abner,br BRA,DF,23.0,15.6,0,4,0,0.0,0.26,0.0,0.0,0.0,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Johnny Cardoso,us USA,MF,21.0,14.8,1,12,3,25.0,0.81,0.2,0.08,0.33,18.3,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
Pablo Fornals,es ESP,"FW,MF",27.0,12.8,3,17,5,29.4,1.33,0.39,0.18,0.6,18.2,0,0,0,1.8,1.8,0.11,1.2,1.2,Matches
Assane Diao,es ESP,FW,17.0,11.6,2,21,3,14.3,1.8,0.26,0.1,0.67,13.7,0,0,0,2.5,2.5,0.12,-0.5,-0.5,Matches
Sokratis Papastathopoulos,gr GRE,DF,35.0,12.6,0,2,1,50.0,0.16,0.08,0.0,0.0,7.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Youssouf Sabaly,sn SEN,DF,30.0,11.6,0,4,0,0.0,0.34,0.0,0.0,0.0,22.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Aitor Ruibal,es ESP,"DF,FW",27.0,11.3,2,13,2,15.4,1.15,0.18,0.15,1.0,22.1,0,0,0,0.8,0.8,0.06,1.2,1.2,Matches
Nabil Fekir,fr FRA,"MF,FW",30.0,11.7,1,28,7,25.0,2.4,0.6,0.04,0.14,19.2,6,0,0,2.2,2.2,0.08,-1.2,-1.2,Matches
