Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Federico Valverde,uy URU,MF,25.0,32.3,119,3.69,110,0,3,3,1,2,14,0.43,12,0,0,2,0,0,Matches
Antonio Rüdiger,de GER,DF,30.0,30.1,21,0.7,16,0,0,5,0,0,5,0.17,4,0,0,1,0,0,Matches
Rodrygo,br BRA,FW,22.0,26.4,111,4.2,71,5,22,6,5,2,14,0.53,7,0,5,1,0,1,Matches
Jude Bellingham,eng ENG,MF,20.0,25.7,99,3.85,82,0,8,4,5,0,13,0.51,10,0,1,2,0,0,Matches
Dani Carvajal,es ESP,DF,31.0,24.1,44,1.82,41,0,1,0,2,0,7,0.29,6,0,0,0,1,0,Matches
Toni Kroos,de GER,MF,33.0,23.6,100,4.24,61,34,0,4,1,0,11,0.47,6,5,0,0,0,0,Matches
Aurélien Tchouaméni,fr FRA,"MF,DF",23.0,22.1,35,1.58,30,0,1,3,0,1,11,0.5,10,0,0,1,0,0,Matches
Vinicius Júnior,br BRA,FW,23.0,20.7,79,3.81,43,1,19,8,6,2,10,0.48,5,0,1,3,0,1,Matches
Andriy Lunin,ua UKR,GK,24.0,21.0,2,0.1,2,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Eduardo Camavinga,fr FRA,"MF,DF",20.0,20.2,58,2.87,45,0,3,1,4,5,6,0.3,5,0,1,0,0,0,Matches
Ferland Mendy,fr FRA,DF,28.0,19.1,31,1.62,27,2,1,1,0,0,3,0.16,3,0,0,0,0,0,Matches
Nacho,es ESP,DF,33.0,19.4,13,0.67,10,1,1,1,0,0,2,0.1,1,0,1,0,0,0,Matches
Luka Modrić,hr CRO,MF,37.0,18.8,105,5.6,74,21,2,4,2,2,13,0.69,12,1,0,0,0,0,Matches
Brahim Díaz,ma MAR,"FW,MF",23.0,17.2,75,4.37,49,2,13,6,4,1,18,1.05,12,1,5,0,0,0,Matches
Joselu,es ESP,FW,33.0,18.7,31,1.65,23,0,1,7,0,0,5,0.27,3,0,0,2,0,0,Matches
Fran Garcia,es ESP,DF,23.0,15.5,34,2.19,32,0,2,0,0,0,4,0.26,4,0,0,0,0,0,Matches
Lucas Vázquez,es ESP,DF,32.0,15.8,60,3.81,47,1,4,3,4,1,11,0.7,8,0,1,1,1,0,Matches
David Alaba,at AUT,DF,31.0,12.8,18,1.4,13,4,0,1,0,0,1,0.08,0,1,0,0,0,0,Matches
Kepa Arrizabalaga,es ESP,GK,28.0,13.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Éder Militão,br BRA,DF,25.0,5.5,2,0.36,2,0,0,0,0,0,1,0.18,1,0,0,0,0,0,Matches
Dani Ceballos,es ESP,"MF,FW",26.0,6.6,25,3.77,22,0,1,0,2,0,2,0.3,2,0,0,0,0,0,Matches
Arda Güler,tr TUR,"FW,MF",18.0,4.2,18,4.3,11,1,2,2,2,0,2,0.48,1,0,1,0,0,0,Matches
Thibaut Courtois,be BEL,GK,31.0,3.7,1,0.27,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolás Paz,ar ARG,"MF,FW",18.0,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gonzalo García,es ESP,"FW,MF",19.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mario Martín,es ESP,MF,19.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Álvaro Muñoz,uy URU,FW,19.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,27.4,38.0,1082,28.47,813,72,84,59,38,16,154,4.05,113,8,16,13,2,2,0
Opponent Total,0,0,27.1,38.0,688,18.11,523,54,25,46,26,14,38,1.0,30,2,2,4,0,0,0
