Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Federico Valverde,uy URU,MF,25.0,32.3,1901,2117,89.8,29049,7780,1109,1169,94.9,612,675,90.7,126,185,68.1,7,5.8,3.4,1.2,49,229,41,4,231,Matches
Antonio Rüdiger,de GER,DF,30.0,30.1,1630,1815,89.8,30058,11111,625,654,95.6,860,908,94.7,130,219,59.4,0,1.2,1.0,-1.2,5,90,11,2,88,Matches
Rodrygo,br BRA,FW,22.0,26.4,883,1007,87.7,10417,1882,639,683,93.6,166,202,82.2,19,33,57.6,5,4.0,4.2,1.0,46,42,44,4,90,Matches
Jude Bellingham,eng ENG,MF,20.0,25.7,1363,1543,88.3,19609,4025,856,930,92.0,387,428,90.4,76,90,84.4,6,5.3,4.3,0.7,48,137,45,3,196,Matches
Dani Carvajal,es ESP,DF,31.0,24.1,1265,1475,85.8,19955,4535,679,744,91.3,486,552,88.0,76,111,68.5,3,2.7,3.1,0.3,21,52,26,5,82,Matches
Toni Kroos,de GER,MF,33.0,23.6,2291,2505,91.5,42164,15443,1087,1121,97.0,828,881,94.0,333,438,76.0,8,4.9,5.9,3.1,62,327,23,5,290,Matches
Aurélien Tchouaméni,fr FRA,"MF,DF",23.0,22.1,1377,1520,90.6,22672,7487,688,729,94.4,592,639,92.6,82,113,72.6,1,0.9,1.4,0.1,11,154,13,4,111,Matches
Vinicius Júnior,br BRA,FW,23.0,20.7,499,690,72.3,7273,1443,312,370,84.3,115,171,67.3,43,76,56.6,5,4.2,4.4,0.8,30,37,20,2,57,Matches
Andriy Lunin,ua UKR,GK,24.0,21.0,580,666,87.1,12727,7874,147,148,99.3,330,335,98.5,100,176,56.8,0,0.3,0.0,-0.3,1,6,0,0,0,Matches
Eduardo Camavinga,fr FRA,"MF,DF",20.0,20.2,1205,1328,90.7,19473,4856,593,629,94.3,505,540,93.5,75,102,73.5,2,1.4,1.8,0.6,20,100,14,3,106,Matches
Ferland Mendy,fr FRA,DF,28.0,19.1,1201,1275,94.2,16396,4875,759,781,97.2,356,383,93.0,41,50,82.0,0,0.9,0.7,-0.9,11,63,10,1,84,Matches
Nacho,es ESP,DF,33.0,19.4,1183,1281,92.3,19465,7898,574,598,96.0,532,561,94.8,65,98,66.3,1,1.2,0.9,-0.2,5,47,3,1,55,Matches
Luka Modrić,hr CRO,MF,37.0,18.8,1452,1669,87.0,23577,7217,790,835,94.6,459,513,89.5,150,226,66.4,6,5.5,4.8,0.5,55,162,42,4,196,Matches
Brahim Díaz,ma MAR,"FW,MF",23.0,17.2,624,740,84.3,7892,1835,430,463,92.9,132,170,77.6,23,40,57.5,6,4.4,4.7,1.6,30,42,34,7,75,Matches
Joselu,es ESP,FW,33.0,18.7,260,360,72.2,3248,498,171,224,76.3,59,82,72.0,8,11,72.7,2,1.7,2.0,0.3,12,16,3,0,20,Matches
Fran Garcia,es ESP,DF,23.0,15.5,841,997,84.4,12143,3312,518,554,93.5,280,327,85.6,28,68,41.2,5,2.4,1.8,2.6,16,38,14,6,60,Matches
Lucas Vázquez,es ESP,DF,32.0,15.8,930,1085,85.7,13262,3330,559,605,92.4,311,353,88.1,31,73,42.5,6,3.8,3.6,2.2,30,27,30,8,58,Matches
David Alaba,at AUT,DF,31.0,12.8,810,904,89.6,12977,4997,447,464,96.3,297,330,90.0,49,84,58.3,1,0.7,0.8,0.3,10,56,5,0,51,Matches
Kepa Arrizabalaga,es ESP,GK,28.0,13.3,386,456,84.6,8976,5956,89,90,98.9,225,226,99.6,72,139,51.8,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Éder Militão,br BRA,DF,25.0,5.5,297,329,90.3,5567,1956,110,114,96.5,156,165,94.5,28,40,70.0,0,0.0,0.0,0.0,0,13,0,0,15,Matches
Dani Ceballos,es ESP,"MF,FW",26.0,6.6,486,542,89.7,7205,1731,301,317,95.0,136,153,88.9,34,45,75.6,2,1.5,1.0,0.5,11,48,6,0,47,Matches
Arda Güler,tr TUR,"FW,MF",18.0,4.2,183,218,83.9,2640,611,115,121,95.0,50,61,82.0,10,21,47.6,0,0.1,0.5,-0.1,2,8,6,0,17,Matches
Thibaut Courtois,be BEL,GK,31.0,3.7,113,123,91.9,2675,1889,25,25,100.0,63,63,100.0,24,34,70.6,0,0.1,0.0,-0.1,1,1,0,0,0,Matches
Nicolás Paz,ar ARG,"MF,FW",18.0,0.3,18,24,75.0,234,92,9,12,75.0,6,7,85.7,1,2,50.0,0,0.0,0.0,0.0,0,3,1,0,6,Matches
Gonzalo García,es ESP,"FW,MF",19.0,0.2,4,7,57.1,35,7,4,6,66.7,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
