Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Federico Valverde,uy URU,MF,25.0,32.3,2448,77,384,1382,708,69,2448,44,22,50.0,21,47.7,1610,9227,5027,104,102,15,28,12,1925,102,Matches
Antonio Rüdiger,de GER,DF,30.0,30.1,2022,275,1000,964,65,25,2022,3,1,33.3,2,66.7,1337,6743,4149,17,10,1,4,2,1525,1,Matches
Rodrygo,br BRA,FW,22.0,26.4,1352,3,50,414,905,206,1351,147,60,40.8,68,46.3,1002,7409,4344,159,106,84,72,30,1145,301,Matches
Jude Bellingham,eng ENG,MF,20.0,25.7,1897,21,202,978,746,135,1896,97,50,51.5,35,36.1,1235,6812,3434,85,73,26,53,40,1554,177,Matches
Dani Carvajal,es ESP,DF,31.0,24.1,1697,101,465,726,527,59,1697,22,9,40.9,11,50.0,939,3864,1903,30,37,9,22,18,1126,168,Matches
Toni Kroos,de GER,MF,33.0,23.6,2656,58,546,1641,492,13,2656,8,5,62.5,3,37.5,1758,8020,4189,32,51,1,8,6,2128,29,Matches
Aurélien Tchouaméni,fr FRA,"MF,DF",23.0,22.1,1722,132,539,985,211,20,1722,13,6,46.2,3,23.1,1152,6365,3569,28,41,1,13,12,1296,15,Matches
Vinicius Júnior,br BRA,FW,23.0,20.7,1058,2,51,290,733,193,1057,176,65,36.9,95,54.0,797,6384,3440,137,74,88,71,40,888,277,Matches
Andriy Lunin,ua UKR,GK,24.0,21.0,713,613,710,3,0,0,713,0,0,0.0,0,0.0,399,1766,1177,0,0,0,0,0,400,0,Matches
Eduardo Camavinga,fr FRA,"MF,DF",20.0,20.2,1605,55,399,885,344,20,1605,69,36,52.2,18,26.1,1011,5798,3129,49,56,5,26,24,1196,31,Matches
Ferland Mendy,fr FRA,DF,28.0,19.1,1409,44,387,687,345,17,1409,28,13,46.4,13,46.4,858,3474,1505,19,21,3,20,14,1026,96,Matches
Nacho,es ESP,DF,33.0,19.4,1418,202,724,632,67,18,1418,6,2,33.3,3,50.0,821,3372,2023,13,10,1,7,0,1028,9,Matches
Luka Modrić,hr CRO,MF,37.0,18.8,1812,22,256,977,593,49,1812,45,21,46.7,17,37.8,1202,6071,2795,53,57,13,12,19,1427,85,Matches
Brahim Díaz,ma MAR,"FW,MF",23.0,17.2,971,8,51,400,540,93,971,109,55,50.5,49,45.0,694,4465,2408,76,61,32,48,42,801,166,Matches
Joselu,es ESP,FW,33.0,18.7,514,13,43,236,238,99,512,14,6,42.9,7,50.0,292,1040,353,15,8,12,29,9,398,98,Matches
Fran Garcia,es ESP,DF,23.0,15.5,1148,39,309,464,385,23,1148,18,8,44.4,9,50.0,686,3666,1956,53,30,4,22,8,747,139,Matches
Lucas Vázquez,es ESP,DF,32.0,15.8,1286,52,327,498,466,68,1286,47,24,51.1,19,40.4,708,3085,1454,28,22,12,18,15,911,160,Matches
David Alaba,at AUT,DF,31.0,12.8,1004,127,474,457,80,11,1004,0,0,0.0,0,0.0,699,3567,2011,9,11,0,5,1,730,13,Matches
Kepa Arrizabalaga,es ESP,GK,28.0,13.3,474,412,471,3,0,0,474,0,0,0.0,0,0.0,313,1259,808,0,0,0,0,0,300,0,Matches
Éder Militão,br BRA,DF,25.0,5.5,376,61,204,155,20,3,376,1,0,0.0,0,0.0,244,1145,609,7,4,0,3,1,274,2,Matches
Dani Ceballos,es ESP,"MF,FW",26.0,6.6,609,9,99,315,201,15,609,15,5,33.3,8,53.3,425,2284,1097,16,17,1,9,13,497,23,Matches
Arda Güler,tr TUR,"FW,MF",18.0,4.2,273,7,39,114,125,19,273,22,11,50.0,9,40.9,172,1034,609,16,6,6,7,5,205,25,Matches
Thibaut Courtois,be BEL,GK,31.0,3.7,135,119,135,0,0,0,135,0,0,0.0,0,0.0,87,472,296,0,0,0,0,0,70,0,Matches
Nicolás Paz,ar ARG,"MF,FW",18.0,0.3,32,0,2,17,13,0,32,2,0,0.0,2,100.0,21,167,125,3,3,0,0,0,21,2,Matches
Gonzalo García,es ESP,"FW,MF",19.0,0.2,11,0,2,4,5,1,11,1,0,0.0,1,100.0,8,56,20,1,1,1,0,0,7,3,Matches
Mario Martín,es ESP,MF,19.0,0.2,25,2,9,13,4,0,25,0,0,0.0,0,0.0,12,64,18,0,0,0,2,0,15,1,Matches
Álvaro Muñoz,uy URU,FW,19.0,0.0,3,1,2,1,0,0,3,2,2,100.0,0,0.0,1,28,0,0,1,0,1,1,2,0,Matches
Squad Total,0,0,27.4,38.0,28670,2455,7880,13241,7813,1156,28665,889,401,45.1,393,44.2,18483,97637,52448,950,802,315,480,312,21642,1923,0
Opponent Total,0,0,27.1,38.0,20983,2668,7335,9155,4702,615,20982,504,236,46.8,225,44.6,12788,66462,33195,583,460,127,502,332,13956,1247,0
