Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Álex Remiro,es ESP,GK,28.0,36.4,1258,977,276,113,0,1,0,0,0,0,0,0,965,5,0,Matches
Martín Zubimendi,es ESP,MF,24.0,29.5,1542,1473,62,59,4,4,7,2,0,0,0,0,1321,7,13,Matches
Igor Zubeldia,es ESP,DF,26.0,28.0,1746,1696,42,41,3,8,3,0,0,0,0,0,1476,8,7,Matches
Robin Le Normand,es ESP,DF,26.0,27.4,1765,1712,51,34,0,11,1,0,0,0,0,0,1562,2,9,Matches
Mikel Merino,es ESP,MF,27.0,27.6,1413,1387,15,12,7,13,19,3,0,0,0,0,1076,11,24,Matches
Brais Méndez,es ESP,"MF,FW",26.0,26.8,1244,1092,145,80,10,10,104,4,49,21,19,0,942,7,35,Matches
Hamari Traoré,ml MLI,DF,31.0,25.5,1509,1247,255,20,5,14,47,235,0,0,0,0,1204,7,19,Matches
Takefusa Kubo,jp JPN,"FW,MF",22.0,23.9,862,759,98,13,6,3,145,2,82,46,18,0,611,5,32,Matches
Mikel Oyarzabal,es ESP,"FW,MF",26.0,24.0,507,476,27,3,2,2,10,1,0,0,0,0,373,4,17,Matches
Ander Barrenetxea,es ESP,"FW,MF",21.0,15.9,555,545,5,0,1,9,47,4,1,0,0,0,372,5,27,Matches
Beñat Turrientes,es ESP,MF,21.0,18.7,707,669,35,18,1,5,19,0,16,11,2,0,598,3,14,Matches
Jon Pacheco,es ESP,DF,22.0,17.0,1173,1113,54,44,1,13,1,2,0,0,0,0,1019,6,2,Matches
Arsen Zakharyan,ru RUS,"MF,FW",20.0,13.6,542,466,68,15,3,6,75,5,47,25,19,0,379,8,13,Matches
Kieran Tierney,sct SCO,DF,26.0,13.8,904,736,167,18,1,7,26,149,0,0,0,0,690,1,23,Matches
Javi Galán,es ESP,DF,28.0,11.9,657,534,122,11,1,8,46,111,0,0,0,0,526,1,16,Matches
Umar Sadiq,ng NGA,FW,26.0,12.0,192,176,16,0,0,1,12,0,0,0,0,0,131,0,10,Matches
Aihen Muñoz,es ESP,DF,25.0,12.5,702,524,175,11,0,1,29,164,0,0,0,0,504,3,19,Matches
André Silva,pt POR,FW,27.0,8.1,165,143,20,0,1,0,0,3,0,0,0,0,134,2,8,Matches
Sheraldo Becker,sr SUR,"FW,MF",28.0,8.6,243,236,6,0,0,0,46,1,2,0,1,0,154,1,17,Matches
Aritz Elustondo,es ESP,DF,29.0,9.0,468,417,51,14,0,1,1,37,0,0,0,0,402,0,3,Matches
Álvaro Odriozola,es ESP,DF,27.0,4.4,244,196,48,2,0,1,10,46,0,0,0,0,212,0,7,Matches
Jon Aramburu,ve VEN,DF,21.0,6.0,321,256,62,7,0,0,7,55,0,0,0,0,254,3,7,Matches
Carlos Fernández,es ESP,FW,27.0,4.5,83,78,5,1,1,0,1,0,0,0,0,0,44,0,4,Matches
Olasagasti,es ESP,MF,22.0,4.0,172,166,3,2,1,3,1,0,1,0,1,0,127,3,7,Matches
Urko González,es ESP,MF,22.0,1.7,89,89,0,0,0,0,0,0,0,0,0,0,71,0,1,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",19.0,2.8,66,66,0,0,0,0,11,0,0,0,0,0,38,0,1,Matches
Unai Marrero,es ESP,GK,21.0,1.6,45,22,23,15,0,0,0,0,0,0,0,0,28,0,1,Matches
Jon Magunacelaya,es ESP,"FW,MF",23.0,1.3,45,45,0,0,0,0,3,0,0,0,0,0,30,0,3,Matches
Alex Sola,es ESP,"DF,MF",24.0,0.3,16,9,7,1,0,0,0,6,0,0,0,0,12,0,0,Matches
Alberto Dadie,es ESP,MF,21.0,0.3,7,7,0,0,0,0,1,0,0,0,0,0,3,0,1,Matches
Jon Martin,es ESP,DF,17.0,0.3,7,7,0,0,0,1,0,0,0,0,0,0,5,0,0,Matches
Squad Total,0,0,25.8,38.0,19249,17319,1838,534,48,122,672,830,198,103,60,0,15263,92,340,0
Opponent Total,0,0,27.2,38.0,15616,13483,2035,651,27,130,523,829,137,43,62,1,11674,98,322,0
