Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Álex Remiro,es ESP,GK,28.0,37,3275.0,89.0,95.8,36.4,37,89.0,36,0,0.0,0,1.62,49.0,36.0,13.0,0.36,0.98,42.9,38.7,4.2,0.12,0.46,Matches
Martín Zubimendi,es ESP,MF,24.0,31,2654.0,86.0,77.6,29.5,29,89.0,27,2,39.0,0,1.52,41.0,32.0,9.0,0.31,-0.05,37.8,31.7,6.1,0.21,0.5,Matches
Igor Zubeldia,es ESP,DF,26.0,30,2518.0,84.0,73.6,28.0,29,86.0,23,1,30.0,1,1.57,38.0,28.0,10.0,0.36,0.16,34.9,28.0,6.9,0.25,0.57,Matches
Robin Le Normand,es ESP,DF,26.0,29,2469.0,85.0,72.2,27.4,28,87.0,23,1,21.0,6,1.59,37.0,30.0,7.0,0.26,-0.22,33.1,27.3,5.8,0.21,0.42,Matches
Mikel Merino,es ESP,MF,27.0,32,2482.0,78.0,72.6,27.6,27,86.0,20,5,34.0,3,1.75,42.0,23.0,19.0,0.69,1.36,32.4,29.5,2.9,0.11,0.04,Matches
Brais Méndez,es ESP,"MF,FW",26.0,32,2413.0,75.0,70.6,26.8,27,83.0,16,5,36.0,1,1.59,34.0,29.0,5.0,0.19,-0.44,29.7,31.3,-1.6,-0.06,-0.53,Matches
Hamari Traoré,ml MLI,DF,31.0,31,2292.0,74.0,67.0,25.5,27,82.0,18,4,22.0,1,1.68,43.0,27.0,16.0,0.63,0.95,34.1,29.0,5.1,0.2,0.32,Matches
Takefusa Kubo,jp JPN,"FW,MF",22.0,30,2150.0,72.0,62.9,23.9,24,83.0,14,6,28.0,4,1.53,32.0,24.0,8.0,0.33,0.05,28.6,26.4,2.2,0.09,-0.01,Matches
Mikel Oyarzabal,es ESP,"FW,MF",26.0,33,2156.0,65.0,63.0,24.0,23,82.0,9,10,26.0,1,1.64,29.0,20.0,9.0,0.38,0.16,25.5,23.9,1.6,0.07,-0.07,Matches
Ander Barrenetxea,es ESP,"FW,MF",21.0,29,1427.0,49.0,41.7,15.9,20,60.0,0,9,26.0,1,1.45,24.0,18.0,6.0,0.38,0.11,18.9,16.2,2.7,0.17,0.13,Matches
Beñat Turrientes,es ESP,MF,21.0,29,1687.0,58.0,49.3,18.7,19,78.0,6,10,21.0,8,1.86,23.0,19.0,4.0,0.21,-0.2,19.7,20.4,-0.7,-0.04,-0.26,Matches
Jon Pacheco,es ESP,DF,22.0,23,1526.0,66.0,44.6,17.0,16,87.0,14,7,20.0,13,1.7,19.0,16.0,3.0,0.18,-0.25,17.6,19.1,-1.4,-0.09,-0.33,Matches
Arsen Zakharyan,ru RUS,"MF,FW",20.0,29,1228.0,42.0,35.9,13.6,15,64.0,0,14,19.0,2,1.52,15.0,17.0,-2.0,-0.15,-0.72,18.0,14.3,3.8,0.28,0.28,Matches
Kieran Tierney,sct SCO,DF,26.0,20,1238.0,62.0,36.2,13.8,14,75.0,2,6,32.0,4,1.75,17.0,12.0,5.0,0.36,0.07,14.1,17.1,-3.0,-0.22,-0.49,Matches
Javi Galán,es ESP,DF,28.0,14,1075.0,77.0,31.4,11.9,13,82.0,10,1,7.0,0,1.57,14.0,11.0,3.0,0.25,-0.09,11.6,9.6,2.0,0.17,0.11,Matches
Umar Sadiq,ng NGA,FW,26.0,26,1077.0,41.0,31.5,12.0,12,69.0,2,14,18.0,10,1.58,16.0,15.0,1.0,0.08,-0.34,15.1,14.2,0.9,0.07,-0.03,Matches
Aihen Muñoz,es ESP,DF,25.0,21,1127.0,54.0,33.0,12.5,11,85.0,10,10,19.0,0,1.67,22.0,14.0,8.0,0.64,0.48,18.9,15.5,3.4,0.27,0.26,Matches
André Silva,pt POR,FW,27.0,19,729.0,38.0,21.3,8.1,9,65.0,0,10,15.0,9,1.42,8.0,8.0,0.0,0.0,-0.4,9.2,8.3,0.8,0.1,0.01,Matches
