Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Álex Remiro,es ESP,GK,28.0,36.4,1353,1103,1338,15,0,0,1353,0,0,0.0,0,0.0,783,3944,1947,0,0,0,2,0,726,0,Matches
Martín Zubimendi,es ESP,MF,24.0,29.5,1793,91,397,1144,267,32,1793,18,12,66.7,5,27.8,942,5305,2671,34,41,5,26,16,1185,27,Matches
Igor Zubeldia,es ESP,DF,26.0,28.0,1983,162,908,1034,50,18,1983,8,4,50.0,4,50.0,1229,7537,4725,28,2,0,14,3,1316,0,Matches
Robin Le Normand,es ESP,DF,26.0,27.4,1996,171,899,1057,45,17,1996,1,1,100.0,0,0.0,1242,7060,4021,21,16,0,16,6,1359,1,Matches
Mikel Merino,es ESP,MF,27.0,27.6,1759,91,323,948,514,76,1759,41,24,58.5,13,31.7,892,3946,1722,26,39,5,61,42,1213,99,Matches
Brais Méndez,es ESP,"MF,FW",26.0,26.8,1559,36,162,851,562,63,1559,59,24,40.7,31,52.5,884,4030,1902,45,40,15,57,30,1113,121,Matches
Hamari Traoré,ml MLI,DF,31.0,25.5,1737,87,444,950,356,18,1737,27,16,59.3,9,33.3,884,4222,2188,49,31,4,23,9,982,83,Matches
Takefusa Kubo,jp JPN,"FW,MF",22.0,23.9,1161,11,94,404,683,122,1161,117,55,47.0,44,37.6,745,6334,3378,136,57,63,60,27,831,231,Matches
Mikel Oyarzabal,es ESP,"FW,MF",26.0,24.0,728,13,83,335,317,79,726,29,10,34.5,16,55.2,376,1603,597,27,21,10,61,26,508,126,Matches
Ander Barrenetxea,es ESP,"FW,MF",21.0,15.9,794,8,82,307,415,68,794,78,38,48.7,30,38.5,526,3503,1479,56,35,22,55,45,586,163,Matches
Beñat Turrientes,es ESP,MF,21.0,18.7,880,40,178,518,200,11,880,43,21,48.8,14,32.6,509,2885,1387,26,23,2,26,14,601,31,Matches
Jon Pacheco,es ESP,DF,22.0,17.0,1311,133,607,679,28,10,1311,4,4,100.0,0,0.0,763,3837,2126,9,8,0,8,2,888,1,Matches
Arsen Zakharyan,ru RUS,"MF,FW",20.0,13.6,691,12,76,286,331,29,691,29,10,34.5,15,51.7,381,1854,1028,28,22,8,25,6,466,88,Matches
Kieran Tierney,sct SCO,DF,26.0,13.8,1056,45,297,552,214,10,1056,17,7,41.2,8,47.1,522,2201,1177,22,21,2,13,3,600,39,Matches
