Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Álex Remiro,es ESP,GK,28.0,36.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Martín Zubimendi,es ESP,MF,24.0,29.5,4,22,11,50.0,0.75,0.37,0.18,0.36,14.8,0,0,0,2.7,2.7,0.12,1.3,1.3,Matches
Igor Zubeldia,es ESP,DF,26.0,28.0,0,12,0,0.0,0.43,0.0,0.0,0.0,13.4,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Robin Le Normand,es ESP,DF,26.0,27.4,2,8,5,62.5,0.29,0.18,0.25,0.4,12.2,0,0,0,1.0,1.0,0.13,1.0,1.0,Matches
Mikel Merino,es ESP,MF,27.0,27.6,5,30,11,36.7,1.09,0.4,0.17,0.45,13.9,0,0,0,3.3,3.3,0.11,1.7,1.7,Matches
Brais Méndez,es ESP,"MF,FW",26.0,26.8,5,66,15,22.7,2.46,0.56,0.08,0.33,20.7,10,0,0,4.2,4.2,0.06,0.8,0.8,Matches
Hamari Traoré,ml MLI,DF,31.0,25.5,0,18,2,11.1,0.71,0.08,0.0,0.0,24.3,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
Takefusa Kubo,jp JPN,"FW,MF",22.0,23.9,7,46,21,45.7,1.93,0.88,0.15,0.33,17.5,2,0,0,3.5,3.5,0.08,3.5,3.5,Matches
Mikel Oyarzabal,es ESP,"FW,MF",26.0,24.0,9,38,16,42.1,1.59,0.67,0.18,0.44,15.2,3,2,2,9.1,7.5,0.2,-0.1,-0.5,Matches
Ander Barrenetxea,es ESP,"FW,MF",21.0,15.9,4,37,12,32.4,2.33,0.76,0.11,0.33,17.7,1,0,0,3.5,3.5,0.1,0.5,0.5,Matches
Beñat Turrientes,es ESP,MF,21.0,18.7,0,23,10,43.5,1.23,0.53,0.0,0.0,24.6,1,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
Jon Pacheco,es ESP,DF,22.0,17.0,1,6,3,50.0,0.35,0.18,0.17,0.33,8.2,0,0,0,1.1,1.1,0.18,-0.1,-0.1,Matches
Arsen Zakharyan,ru RUS,"MF,FW",20.0,13.6,1,33,9,27.3,2.42,0.66,0.03,0.11,21.6,6,0,0,2.4,2.4,0.07,-1.4,-1.4,Matches
Kieran Tierney,sct SCO,DF,26.0,13.8,0,2,0,0.0,0.15,0.0,0.0,0.0,12.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Javi Galán,es ESP,DF,28.0,11.9,0,3,1,33.3,0.25,0.08,0.0,0.0,20.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Umar Sadiq,ng NGA,FW,26.0,12.0,3,33,10,30.3,2.76,0.84,0.09,0.3,14.7,0,0,0,3.6,3.6,0.12,-0.6,-0.6,Matches
Aihen Muñoz,es ESP,DF,25.0,12.5,0,7,2,28.6,0.56,0.16,0.0,0.0,24.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
André Silva,pt POR,FW,27.0,8.1,3,15,5,33.3,1.85,0.62,0.13,0.4,19.1,1,1,1,3.3,2.5,0.17,-0.3,-0.5,Matches
Sheraldo Becker,sr SUR,"FW,MF",28.0,8.6,2,21,9,42.9,2.45,1.05,0.1,0.22,17.1,0,0,0,1.4,1.4,0.07,0.6,0.6,Matches
Aritz Elustondo,es ESP,DF,29.0,9.0,0,7,2,28.6,0.78,0.22,0.0,0.0,11.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Álvaro Odriozola,es ESP,DF,27.0,4.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Jon Aramburu,ve VEN,DF,21.0,6.0,0,4,0,0.0,0.66,0.0,0.0,0.0,23.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Carlos Fernández,es ESP,FW,27.0,4.5,2,8,3,37.5,1.76,0.66,0.13,0.33,15.1,0,1,1,1.5,0.7,0.09,0.5,0.3,Matches
Olasagasti,es ESP,MF,22.0,4.0,0,9,0,0.0,2.25,0.0,0.0,0.0,17.0,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
Urko González,es ESP,MF,22.0,1.7,0,2,0,0.0,1.15,0.0,0.0,0.0,17.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",19.0,2.8,0,3,0,0.0,1.08,0.0,0.0,0.0,17.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
Unai Marrero,es ESP,GK,21.0,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Jon Magunacelaya,es ESP,"FW,MF",23.0,1.3,0,4,0,0.0,2.98,0.0,0.0,0.0,15.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Alex Sola,es ESP,"DF,MF",24.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Alberto Dadie,es ESP,MF,21.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Jon Martin,es ESP,DF,17.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,25.8,38.0,48,457,147,32.2,12.03,3.87,0.1,0.3,17.8,24,4,4,44.9,41.8,0.09,3.1,2.2,0
Opponent Total,0,0,27.2,38.0,38,388,128,33.0,10.21,3.37,0.08,0.25,18.0,24,6,7,41.3,36.0,0.1,-3.3,-4.0,0
