Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Lucas Ocampos,ar ARG,"FW,MF",29.0,31.9,66,47,22,27,17,29,58,50.0,29,34,1,33,21,87,29,0,Matches
Youssef En-Nesyri,ma MAR,FW,26.0,28.6,10,7,3,4,3,0,10,0.0,10,9,1,8,7,17,29,1,Matches
Sergio Ramos,es ESP,DF,37.0,28.0,45,30,32,11,2,27,40,67.5,13,35,30,5,41,86,156,0,Matches
Loïc Bade,fr FRA,DF,23.0,25.3,65,41,53,12,0,30,49,61.2,19,23,15,8,38,103,116,2,Matches
Boubakary Soumaré,fr FRA,MF,24.0,25.4,39,28,24,14,1,14,26,53.8,12,25,7,18,26,65,20,1,Matches
Jesús Navas,es ESP,DF,37.0,22.3,37,27,21,14,2,22,40,55.0,18,15,7,8,22,59,48,0,Matches
Ørjan Nyland,no NOR,GK,32.0,24.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,1,Matches
Nemanja Gudelj,rs SRB,"DF,MF",31.0,19.4,31,24,18,10,3,17,31,54.8,14,17,9,8,27,58,56,0,Matches
Kike Salas,es ESP,DF,21.0,17.8,41,23,26,12,3,22,36,61.1,14,25,14,11,26,67,91,1,Matches
Óliver Torres,es ESP,MF,28.0,18.0,37,22,17,15,5,22,57,38.6,35,40,4,36,6,43,6,0,Matches
Djibril Sow,ch SUI,MF,26.0,16.2,28,21,15,8,5,9,25,36.0,16,20,3,17,17,45,8,1,Matches
Marcos Acuña,ar ARG,DF,31.0,14.4,33,21,20,12,1,9,14,64.3,5,12,2,10,4,37,25,0,Matches
Ivan Rakitić,hr CRO,MF,35.0,15.8,30,16,9,12,9,11,19,57.9,8,16,5,11,14,44,12,0,Matches
Adrià Pedrosa,es ESP,DF,25.0,19.5,46,26,28,14,4,23,34,67.6,11,26,6,20,15,61,54,0,Matches
Suso,es ESP,"MF,FW",29.0,16.9,24,17,14,8,2,8,28,28.6,20,9,0,9,5,29,4,0,Matches
Isaac Bernal,es ESP,FW,23.0,11.5,6,3,2,2,2,5,9,55.6,4,12,0,12,0,6,11,0,Matches
Marko Dmitrović,rs SRB,GK,31.0,13.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,5,0,Matches
Dodi Lukebakio,be BEL,"FW,MF",25.0,12.5,5,2,2,2,1,1,6,16.7,5,9,2,7,2,7,5,0,Matches
Juanlu Sánchez,es ESP,DF,19.0,13.1,56,35,34,18,4,34,58,58.6,24,24,7,17,12,68,36,0,Matches
Lucien Agoume,fr FRA,MF,21.0,8.6,23,18,7,14,2,9,12,75.0,3,6,1,5,7,30,8,0,Matches
Érik Lamela,ar ARG,"FW,MF",31.0,5.1,21,14,4,10,7,10,15,66.7,5,12,0,12,1,22,5,0,Matches
Fernando,br BRA,MF,36.0,5.1,9,8,2,4,3,5,9,55.6,4,2,0,2,7,16,9,0,Matches
Joan Jordán,es ESP,MF,29.0,4.2,8,7,3,3,2,7,15,46.7,8,4,2,2,4,12,2,0,Matches
Rafa Mir,es ESP,"FW,MF",26.0,4.3,2,2,1,1,0,1,2,50.0,1,2,0,2,1,3,1,0,Matches
Marcão,br BRA,DF,27.0,3.9,9,6,5,4,0,6,10,60.0,4,8,6,2,4,13,11,1,Matches
Tanguy Nianzou,fr FRA,DF,21.0,3.5,12,8,9,2,1,8,11,72.7,3,2,0,2,3,15,9,1,Matches
Mariano,do DOM,"FW,MF",29.0,2.7,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,2,0,Matches
Manuel Sebastián,es ESP,MF,19.0,1.3,4,2,4,0,0,3,3,100.0,0,3,0,3,0,4,1,0,Matches
Hannibal Mejbri,tn TUN,MF,20.0,1.2,3,3,1,2,0,0,1,0.0,1,1,0,1,0,3,0,0,Matches
Yassine Bounou,ma MAR,GK,32.0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Adnan Januzaj,be BEL,"FW,MF",28.0,2.1,3,3,2,0,1,0,1,0.0,1,2,0,2,1,4,0,0,Matches
Diego Iturralde,es ESP,DF,20.0,0.4,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,2,0,Matches
Alejo Véliz,ar ARG,FW,19.0,0.4,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches
Jesús Corona,mx MEX,"MF,DF",30.0,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,Matches
Federico Gattoni,ar ARG,"DF,FW",24.0,0.1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
Squad Total,0,0,28.6,38.0,697,463,380,237,80,335,626,53.5,291,395,123,272,313,1010,772,9,0
Opponent Total,0,0,27.2,38.0,558,347,247,240,71,278,570,48.8,292,367,88,279,236,794,895,10,0
