Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Lucas Ocampos,ar ARG,"FW,MF",29.0,35,2871.0,82.0,83.9,31.9,34,83.0,18,1,45.0,1,0.97,37.0,42.0,-5.0,-0.16,0.01,36.8,45.0,-8.2,-0.26,0.21,Matches
Youssef En-Nesyri,ma MAR,FW,26.0,33,2570.0,78.0,75.1,28.6,28,87.0,17,5,29.0,0,1.21,40.0,33.0,7.0,0.25,1.62,34.9,39.9,-5.0,-0.18,0.46,Matches
Sergio Ramos,es ESP,DF,37.0,28,2517.0,90.0,73.6,28.0,28,90.0,27,0,0.0,3,1.07,31.0,39.0,-8.0,-0.29,-0.49,33.2,40.0,-6.8,-0.24,0.18,Matches
Loïc Bade,fr FRA,DF,23.0,28,2277.0,81.0,66.6,25.3,27,84.0,19,1,14.0,2,1.29,32.0,29.0,3.0,0.12,0.83,30.6,36.0,-5.4,-0.21,0.23,Matches
Boubakary Soumaré,fr FRA,MF,24.0,28,2286.0,82.0,66.8,25.4,26,87.0,22,2,16.0,3,1.36,31.0,32.0,-1.0,-0.04,0.36,28.9,37.2,-8.3,-0.33,-0.11,Matches
Jesús Navas,es ESP,DF,37.0,29,2003.0,69.0,58.6,22.3,25,78.0,9,4,16.0,1,1.14,30.0,32.0,-2.0,-0.09,0.16,26.9,35.8,-8.9,-0.4,-0.27,Matches
Ørjan Nyland,no NOR,GK,32.0,24,2160.0,90.0,63.2,24.0,24,90.0,24,0,0.0,4,1.38,33.0,27.0,6.0,0.25,1.11,31.1,36.2,-5.0,-0.21,0.22,Matches
Nemanja Gudelj,rs SRB,"DF,MF",31.0,22,1742.0,79.0,50.9,19.4,20,86.0,16,2,16.0,2,1.05,29.0,24.0,5.0,0.26,0.85,21.2,25.8,-4.5,-0.23,0.12,Matches
Kike Salas,es ESP,DF,21.0,23,1605.0,70.0,46.9,17.8,19,81.0,13,4,17.0,6,0.96,24.0,28.0,-4.0,-0.22,-0.13,19.4,26.3,-7.0,-0.39,-0.19,Matches
Óliver Torres,es ESP,MF,28.0,27,1616.0,60.0,47.3,18.0,18,76.0,3,9,27.0,3,1.22,20.0,17.0,3.0,0.17,0.62,20.5,22.8,-2.3,-0.13,0.31,Matches
Djibril Sow,ch SUI,MF,26.0,24,1460.0,61.0,42.7,16.2,18,74.0,4,6,20.0,3,1.0,18.0,21.0,-3.0,-0.18,-0.05,20.1,24.0,-3.9,-0.24,0.09,Matches
Marcos Acuña,ar ARG,DF,31.0,21,1292.0,62.0,37.8,14.4,18,69.0,5,3,19.0,2,1.14,20.0,21.0,-1.0,-0.07,0.14,17.1,21.9,-4.8,-0.34,-0.07,Matches
Ivan Rakitić,hr CRO,MF,35.0,18,1425.0,79.0,41.7,15.8,16,83.0,13,2,52.0,2,0.56,14.0,23.0,-9.0,-0.57,-0.7,16.7,22.3,-5.6,-0.35,-0.11,Matches
Adrià Pedrosa,es ESP,DF,25.0,31,1753.0,57.0,51.3,19.5,15,87.0,9,16,28.0,4,1.03,25.0,31.0,-6.0,-0.31,-0.31,22.9,27.9,-5.0,-0.26,0.07,Matches
Suso,es ESP,"MF,FW",29.0,29,1517.0,52.0,44.4,16.9,15,77.0,6,14,26.0,1,1.03,30.0,35.0,-5.0,-0.3,-0.25,21.4,26.4,-5.0,-0.3,-0.01,Matches
Isaac Bernal,es ESP,FW,23.0,14,1039.0,74.0,30.4,11.5,14,74.0,3,0,0.0,0,1.57,15.0,13.0,2.0,0.17,0.48,13.4,16.2,-2.8,-0.24,0.07,Matches
Marko Dmitrović,rs SRB,GK,31.0,13,1170.0,90.0,34.2,13.0,13,90.0,13,0,0.0,23,0.62,14.0,25.0,-11.0,-0.85,-1.05,13.0,18.6,-5.6,-0.43,-0.21,Matches
Dodi Lukebakio,be BEL,"FW,MF",25.0,23,1125.0,49.0,32.9,12.5,12,70.0,3,11,26.0,1,1.17,18.0,20.0,-2.0,-0.16,0.0,17.2,18.4,-1.2,-0.1,0.29,Matches
Juanlu Sánchez,es ESP,DF,19.0,26,1181.0,45.0,34.5,13.1,11,84.0,7,15,17.0,11,1.12,13.0,20.0,-7.0,-0.53,-0.57,14.9,17.3,-2.4,-0.18,0.16,Matches
Lucien Agoume,fr FRA,MF,21.0,12,777.0,65.0,22.7,8.6,9,79.0,5,3,22.0,1,1.42,11.0,12.0,-1.0,-0.12,0.05,11.5,14.6,-3.1,-0.36,-0.09,Matches
Érik Lamela,ar ARG,"FW,MF",31.0,13,463.0,36.0,13.5,5.1,5,76.0,2,8,10.0,7,1.31,10.0,7.0,3.0,0.58,0.86,6.3,9.0,-2.7,-0.52,-0.27,Matches
Fernando,br BRA,MF,36.0,8,459.0,57.0,13.4,5.1,5,74.0,1,3,29.0,3,1.0,8.0,10.0,-2.0,-0.39,-0.27,5.4,7.3,-1.9,-0.37,-0.09,Matches
Joan Jordán,es ESP,MF,29.0,8,380.0,48.0,11.1,4.2,4,86.0,3,4,9.0,22,0.89,5.0,15.0,-10.0,-2.37,-2.49,3.3,9.3,-5.9,-1.41,-1.26,Matches
Rafa Mir,es ESP,"FW,MF",26.0,15,391.0,26.0,11.4,4.3,3,73.0,1,12,14.0,8,0.93,5.0,4.0,1.0,0.23,0.44,6.0,6.7,-0.6,-0.14,0.16,Matches
Marcão,br BRA,DF,27.0,7,355.0,51.0,10.4,3.9,3,83.0,2,4,26.0,13,1.0,5.0,8.0,-3.0,-0.76,-0.67,5.2,6.1,-0.8,-0.21,0.08,Matches
Tanguy Nianzou,fr FRA,DF,21.0,8,318.0,40.0,9.3,3.5,3,84.0,2,5,13.0,15,0.88,4.0,10.0,-6.0,-1.7,-1.7,5.0,7.5,-2.5,-0.71,-0.47,Matches
Mariano,do DOM,"FW,MF",29.0,9,244.0,27.0,7.1,2.7,2,75.0,0,7,14.0,5,0.33,4.0,7.0,-3.0,-1.11,-1.02,4.3,4.8,-0.5,-0.2,0.1,Matches
Manuel Sebastián,es ESP,MF,19.0,4,117.0,29.0,3.4,1.3,1,84.0,0,3,11.0,10,1.5,0.0,2.0,-2.0,-1.54,-1.43,1.1,1.9,-0.8,-0.61,-0.33,Matches
Hannibal Mejbri,tn TUN,MF,20.0,6,104.0,17.0,3.0,1.2,1,52.0,0,5,10.0,11,1.67,2.0,2.0,0.0,0.0,0.16,1.7,1.9,-0.2,-0.2,0.09,Matches
