Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
José Luis García Vayá,es ESP,MF,24.0,36.7,2132,1905,214,100,5,28,147,3,108,22,40,1,1671,13,27,Matches
Giorgi Mamardashvili,ge GEO,GK,22.0,36.5,1111,714,395,150,0,0,0,0,0,0,0,0,589,2,1,Matches
Hugo Duro,es ESP,FW,23.0,33.1,570,522,45,1,0,0,7,4,0,0,0,0,406,3,16,Matches
Cristhian Mosquera,co COL,DF,19.0,34.2,1646,1561,82,54,0,6,1,18,0,0,0,0,1454,3,13,Matches
Diego López,es ESP,"MF,FW",21.0,29.5,791,761,27,2,4,3,65,17,0,0,0,0,512,3,42,Matches
Javier Guerra,es ESP,MF,20.0,27.8,969,944,21,13,6,12,24,2,0,0,0,0,700,4,31,Matches
Francisco Perez,es ESP,"MF,FW",20.0,22.8,584,574,10,2,3,1,50,5,3,0,0,0,436,0,28,Matches
Thierry Correia,pt POR,DF,24.0,23.9,1340,1033,300,31,2,4,48,268,1,0,0,0,1017,7,19,Matches
José Luis Gayà,es ESP,DF,28.0,19.9,1062,851,206,24,1,11,82,182,0,0,0,0,801,5,28,Matches
Dimitri Foulquier,fr FRA,"DF,MF",30.0,20.5,1042,791,245,22,1,4,42,223,0,0,0,0,766,6,43,Matches
Cenk Özkacar,tr TUR,DF,22.0,17.8,860,810,48,25,1,9,6,21,0,0,0,0,698,2,15,Matches
Gabriel Paulista,br BRA,DF,32.0,15.5,816,771,41,37,2,10,0,0,0,0,0,0,699,4,2,Matches
Sergi Canós,es ESP,"MF,FW",26.0,13.7,405,392,8,1,6,2,35,5,2,1,0,0,260,5,21,Matches
Hugo Guillamón,es ESP,MF,23.0,14.6,695,649,43,42,2,11,6,0,0,0,0,0,564,3,9,Matches
Mouctar Diakhaby,gn GUI,"DF,MF",26.0,11.9,546,530,15,13,0,3,0,0,0,0,0,0,475,1,4,Matches
Domingos André Ribeiro Almeida,pt POR,"FW,MF",23.0,10.7,399,375,24,12,0,4,18,2,7,0,5,0,315,0,18,Matches
Roman Yaremchuk,ua UKR,FW,27.0,10.3,210,191,16,0,1,2,3,1,0,0,0,0,142,3,8,Matches
Yarek Hernandis,es ESP,DF,18.0,8.2,292,235,57,7,0,0,6,48,0,0,0,0,208,0,6,Matches
Selim Amallah,ma MAR,"FW,MF",26.0,6.7,164,162,2,0,2,0,4,0,0,0,0,0,120,0,5,Matches
Jesus Vazquez,es ESP,"DF,MF",20.0,8.0,262,196,62,1,0,1,18,61,0,0,0,0,173,4,15,Matches
Peter González,do DOM,"MF,FW",21.0,7.2,162,150,12,4,0,0,18,8,0,0,0,0,108,0,12,Matches
Alberto Marí,es ESP,FW,22.0,3.1,61,56,5,0,0,0,2,0,0,0,0,0,38,0,6,Matches
Pablo Gozalbez,es ESP,"MF,FW",22.0,1.1,32,31,0,0,0,0,1,0,0,0,0,0,16,1,2,Matches
Jaume Doménech,es ESP,GK,32.0,0.9,31,18,13,6,0,0,0,0,0,0,0,0,13,0,0,Matches
Hugo González,es ESP,"MF,FW",20.0,1.0,39,35,4,1,0,0,9,0,3,0,2,0,24,0,4,Matches
Cristian,es ESP,GK,25.0,0.6,18,13,5,2,0,0,0,0,0,0,0,0,13,0,0,Matches
Mario Dominguez,es ESP,FW,19.0,0.3,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
Ruben Lendinez,es ESP,DF,20.0,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
César Tárrega,es ESP,DF,21.0,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Squad Total,0,0,23.8,38.0,16255,14286,1900,550,36,111,593,868,124,23,47,1,12233,69,375,0
Opponent Total,0,0,27.1,38.0,20730,18759,1885,516,52,155,734,850,182,83,62,1,16672,86,344,0
