Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Filip Jørgensen,dk DEN,GK,21.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alex Baena,es ESP,"MF,FW",22.0,34,33,2579.0,28.7,2.0,14.0,16.0,2.0,0.0,1.0,11.0,1.0,7.9,7.1,9.2,16.3,84.0,165.0,181.0,0.07,0.49,0.56,0.07,0.56,0.27,0.32,0.6,0.25,0.57,Matches
Alexander Sørloth,no NOR,FW,27.0,34,30,2489.0,27.7,23.0,6.0,29.0,23.0,0.0,0.0,3.0,0.0,12.3,12.3,4.4,16.7,48.0,40.0,159.0,0.83,0.22,1.05,0.83,1.05,0.44,0.16,0.6,0.44,0.6,Matches
Daniel Parejo,es ESP,MF,34.0,33,29,2580.0,28.7,3.0,5.0,8.0,0.0,3.0,3.0,4.0,0.0,2.9,0.6,3.0,3.6,11.0,210.0,28.0,0.1,0.17,0.28,0.0,0.17,0.1,0.1,0.21,0.02,0.12,Matches
Gerard Moreno,es ESP,FW,31.0,30,28,2215.0,24.6,10.0,6.0,16.0,8.0,2.0,3.0,0.0,0.0,9.7,7.3,5.3,12.6,48.0,155.0,199.0,0.41,0.24,0.65,0.33,0.57,0.39,0.22,0.61,0.3,0.51,Matches
Raúl Albiol,es ESP,DF,37.0,26,24,2031.0,22.6,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.8,1.3,8.0,62.0,0.0,0.0,0.04,0.04,0.0,0.04,0.02,0.04,0.06,0.02,0.06,Matches
Jorge Cuenca,es ESP,DF,23.0,29,21,1963.0,21.8,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,1.2,1.2,0.2,1.5,11.0,78.0,30.0,0.14,0.05,0.18,0.14,0.18,0.06,0.01,0.07,0.06,0.07,Matches
Santi Comesaña,es ESP,MF,26.0,27,20,1653.0,18.4,2.0,0.0,2.0,2.0,0.0,0.0,8.0,2.0,1.9,1.9,2.0,3.8,23.0,92.0,48.0,0.11,0.0,0.11,0.11,0.11,0.1,0.11,0.21,0.1,0.21,Matches
Ilias Akhomach,ma MAR,"MF,FW",19.0,31,17,1511.0,16.8,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,3.2,3.2,2.6,5.7,68.0,45.0,160.0,0.12,0.12,0.24,0.12,0.24,0.19,0.15,0.34,0.19,0.34,Matches
Alberto Moreno,es ESP,DF,31.0,27,17,1484.0,16.5,2.0,2.0,4.0,2.0,0.0,0.0,5.0,2.0,0.7,0.7,1.6,2.4,26.0,55.0,79.0,0.12,0.12,0.24,0.12,0.24,0.04,0.1,0.14,0.04,0.14,Matches
Kiko Femenía,es ESP,DF,32.0,23,16,1583.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.6,0.6,46.0,100.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Étienne Capoue,fr FRA,MF,35.0,32,15,1455.0,16.2,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,0.6,1.6,24.0,80.0,38.0,0.06,0.06,0.12,0.06,0.12,0.06,0.04,0.1,0.06,0.1,Matches
Yerson Mosquera,co COL,DF,22.0,16,14,1229.0,13.7,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,0.3,1.9,8.0,36.0,12.0,0.15,0.07,0.22,0.15,0.22,0.11,0.02,0.14,0.11,0.14,Matches
Alfonso Pedraza,es ESP,DF,27.0,19,14,1116.0,12.4,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,0.6,0.6,3.6,4.2,56.0,31.0,97.0,0.08,0.24,0.32,0.08,0.32,0.05,0.29,0.34,0.05,0.34,Matches
Aïssa Mandi,dz ALG,DF,31.0,16,12,1113.0,12.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.7,1.3,6.0,55.0,4.0,0.08,0.0,0.08,0.08,0.08,0.05,0.05,0.1,0.05,0.1,Matches
Juan Foyth,ar ARG,DF,25.0,12,12,1062.0,11.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.9,1.3,19.0,51.0,28.0,0.08,0.08,0.17,0.08,0.17,0.03,0.08,0.11,0.03,0.11,Matches
Francis Coquelin,fr FRA,MF,32.0,17,10,910.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.1,0.2,5.0,47.0,14.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
