Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Filip Jørgensen,dk DEN,GK,21.0,36.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Alex Baena,es ESP,"MF,FW",22.0,28.7,2,72,25,34.7,2.51,0.87,0.03,0.08,20.8,5,0,1,7.9,7.1,0.1,-5.9,-5.1,Matches
Alexander Sørloth,no NOR,FW,27.0,27.7,23,78,36,46.2,2.82,1.3,0.29,0.64,12.1,0,0,0,12.3,12.3,0.16,10.7,10.7,Matches
Daniel Parejo,es ESP,MF,34.0,28.7,3,9,3,33.3,0.31,0.1,0.0,0.0,27.1,2,3,3,2.9,0.6,0.06,0.1,-0.6,Matches
Gerard Moreno,es ESP,FW,31.0,24.6,10,60,18,30.0,2.44,0.73,0.13,0.44,15.3,0,2,3,9.7,7.3,0.12,0.3,0.7,Matches
Raúl Albiol,es ESP,DF,37.0,22.6,0,6,1,16.7,0.27,0.04,0.0,0.0,9.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Jorge Cuenca,es ESP,DF,23.0,21.8,3,20,7,35.0,0.92,0.32,0.15,0.43,11.7,0,0,0,1.2,1.2,0.06,1.8,1.8,Matches
Santi Comesaña,es ESP,MF,26.0,18.4,2,17,7,41.2,0.93,0.38,0.12,0.29,13.0,0,0,0,1.9,1.9,0.11,0.1,0.1,Matches
Ilias Akhomach,ma MAR,"MF,FW",19.0,16.8,2,30,7,23.3,1.79,0.42,0.07,0.29,18.1,0,0,0,3.2,3.2,0.11,-1.2,-1.2,Matches
Alberto Moreno,es ESP,DF,31.0,16.5,2,17,5,29.4,1.03,0.3,0.12,0.4,19.8,0,0,0,0.7,0.7,0.04,1.3,1.3,Matches
Kiko Femenía,es ESP,DF,32.0,17.6,0,1,0,0.0,0.06,0.0,0.0,0.0,51.1,1,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Étienne Capoue,fr FRA,MF,35.0,16.2,1,14,5,35.7,0.87,0.31,0.07,0.2,15.0,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
Yerson Mosquera,co COL,DF,22.0,13.7,2,10,4,40.0,0.73,0.29,0.2,0.5,8.4,0,0,0,1.6,1.6,0.16,0.4,0.4,Matches
Alfonso Pedraza,es ESP,DF,27.0,12.4,1,9,4,44.4,0.73,0.32,0.11,0.25,16.5,0,0,0,0.6,0.6,0.07,0.4,0.4,Matches
Aïssa Mandi,dz ALG,DF,31.0,12.4,1,4,2,50.0,0.32,0.16,0.25,0.5,12.8,0,0,0,0.6,0.6,0.16,0.4,0.4,Matches
Juan Foyth,ar ARG,DF,25.0,11.8,1,6,2,33.3,0.51,0.17,0.17,0.5,12.8,0,0,0,0.4,0.4,0.07,0.6,0.6,Matches
Francis Coquelin,fr FRA,MF,32.0,10.1,0,3,0,0.0,0.3,0.0,0.0,0.0,16.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Adrià Altimira,es ESP,"DF,MF",22.0,8.6,0,1,0,0.0,0.12,0.0,0.0,0.0,27.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Gonçalo Guedes,pt POR,"FW,MF",26.0,10.6,3,26,8,30.8,2.46,0.76,0.12,0.38,19.6,0,0,0,2.3,2.3,0.09,0.7,0.7,Matches
Eric Bailly,ci CIV,DF,29.0,9.3,0,2,0,0.0,0.21,0.0,0.0,0.0,9.7,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
José Luis Morales,es ESP,"FW,MF",36.0,11.6,7,26,12,46.2,2.23,1.03,0.27,0.58,13.3,0,0,0,5.6,5.6,0.21,1.4,1.4,Matches
Yeremi Pino,es ESP,"MF,FW",20.0,5.3,0,9,4,44.4,1.71,0.76,0.0,0.0,12.5,0,0,0,1.4,1.4,0.16,-1.4,-1.4,Matches
Ramón Terrats,es ESP,"MF,DF",22.0,8.7,0,8,1,12.5,0.92,0.11,0.0,0.0,21.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Bertrand Traoré,bf BFA,MF,27.0,6.3,1,20,7,35.0,3.17,1.11,0.05,0.14,19.4,0,0,0,0.9,0.9,0.05,0.1,0.1,Matches
Matteo Gabbia,it ITA,DF,23.0,5.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Manu Trigueros,es ESP,MF,31.0,3.4,0,6,3,50.0,1.75,0.87,0.0,0.0,20.5,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Ben Brereton,cl CHI,"FW,MF",24.0,3.0,0,5,1,20.0,1.67,0.33,0.0,0.0,18.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Carlos Romero,es ESP,DF,21.0,2.9,0,2,1,50.0,0.69,0.34,0.0,0.0,11.1,0,0,0,0.4,0.4,0.2,-0.4,-0.4,Matches
Pepe Reina,es ESP,GK,40.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Denis Suárez,es ESP,"MF,FW",29.0,1.5,0,1,0,0.0,0.68,0.0,0.0,0.0,11.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Stefan Lekovic,rs SRB,DF,19.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Pascu,es ESP,FW,20.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,27.9,38.0,64,462,163,35.3,12.16,4.29,0.13,0.36,16.2,8,5,7,55.6,50.1,0.11,8.4,8.9,0
Opponent Total,0,0,27.1,38.0,64,580,208,35.9,15.26,5.47,0.1,0.28,17.6,21,6,6,58.7,54.0,0.09,5.3,4.0,0
