Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Andy Pelmard,fr FRA,DF,23.0,33.2,51,38,41,9,1,32,40,80.0,8,37,20,17,33,84,99,2,Matches
Mory Diaw,sn SEN,GK,30.0,30.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,13,5,Matches
Muhammed Cham,at AUT,"MF,FW",22.0,28.4,25,14,10,13,2,11,27,40.7,16,20,2,18,8,33,5,1,Matches
Neto Borges,br BRA,DF,26.0,28.0,48,24,25,18,5,28,63,44.4,35,28,6,22,57,105,84,0,Matches
Johan Gastien,fr FRA,MF,35.0,25.1,43,22,18,21,4,23,81,28.4,58,31,9,22,36,79,24,4,Matches
Jim Allevinah,ga GAB,"MF,DF",28.0,20.7,30,18,11,14,5,14,35,40.0,21,20,3,17,13,43,30,0,Matches
Maximiliano Caufriez,be BEL,DF,26.0,18.4,38,28,31,5,2,19,29,65.5,10,18,12,6,18,56,69,2,Matches
Yohann Magnin,fr FRA,MF,26.0,18.7,49,31,12,32,5,22,47,46.8,25,38,13,25,19,68,26,1,Matches
Shamar Nicholson,jm JAM,FW,26.0,16.5,6,2,0,4,2,1,4,25.0,3,6,2,4,0,6,15,0,Matches
Maxime Gonalons,fr FRA,MF,34.0,14.4,47,33,14,27,6,25,57,43.9,32,18,3,15,20,67,11,0,Matches
Mehdi Zeffane,dz ALG,"DF,MF",31.0,13.7,31,20,17,11,3,17,34,50.0,17,14,3,11,16,47,34,0,Matches
Elba Rashani,xk KVX,"MF,FW",30.0,13.1,30,18,4,17,9,11,24,45.8,13,17,3,14,12,42,15,0,Matches
Chrislain Matsima,fr FRA,DF,21.0,13.1,18,11,11,7,0,10,18,55.6,8,14,10,4,13,31,74,1,Matches
Alidu Seidu,gh GHA,DF,23.0,12.6,32,24,17,15,0,24,31,77.4,7,15,7,8,25,57,37,0,Matches
Habib Keita,ml MLI,MF,21.0,14.2,34,19,14,15,5,17,28,60.7,11,27,10,17,29,63,30,0,Matches
Cheick Konaté,ml MLI,DF,19.0,11.9,26,15,17,9,0,20,36,55.6,16,16,2,14,13,39,21,0,Matches
Alan Virginius,fr FRA,FW,20.0,10.4,9,5,4,4,1,4,11,36.4,7,7,0,7,3,12,7,0,Matches
Grejohn Kyei,fr FRA,FW,27.0,11.4,6,4,2,2,2,2,3,66.7,1,5,1,4,1,7,10,0,Matches
Bilal Boutobba,fr FRA,"FW,MF",24.0,10.3,22,12,6,10,6,10,23,43.5,13,9,0,9,8,30,3,0,Matches
Florent Ogier,fr FRA,DF,34.0,10.5,19,9,13,6,0,11,18,61.1,7,25,19,6,9,28,35,3,Matches
Massamba Ndiaye,sn SEN,GK,21.0,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,Matches
Jérémy Jacquet,fr FRA,DF,18.0,2.8,4,3,4,0,0,3,3,100.0,0,7,3,4,6,10,10,0,Matches
Yoël Armougom,fr FRA,"DF,MF",25.0,2.6,3,3,2,0,1,2,3,66.7,1,1,0,1,1,4,3,0,Matches
Mateusz Wieteska,pl POL,DF,26.0,1.9,4,1,3,1,0,3,5,60.0,2,4,2,2,5,9,8,0,Matches
Jérémie Bela,ao ANG,"MF,FW",30.0,2.3,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,1,0,Matches
Komnen Andrić,rs SRB,FW,28.0,1.9,2,1,0,1,1,0,4,0.0,4,2,0,2,0,2,1,0,Matches
Ilhan Fakili,fr FRA,"MF,FW",17.0,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Matches
Aïman Maurer,ma MAR,"MF,FW",18.0,0.6,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,Matches
Mohamed Bouchenna,fr FRA,"MF,FW",17.0,0.3,1,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0,Matches
Joshua M'Bahia,ci CIV,MF,18.0,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Abdellah Baallal,ma MAR,MF,18.0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,Matches
Squad Total,0,0,26.8,34.0,581,358,279,242,60,312,633,49.3,321,382,130,252,347,928,667,19,0
Opponent Total,0,0,25.7,34.0,555,331,232,239,84,286,538,53.2,252,359,110,249,352,907,588,10,0
