Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Andy Pelmard,fr FRA,DF,23.0,33.2,1928,220,844,1011,94,4,1928,10,7,70.0,2,20.0,1393,9458,4757,39,24,2,10,3,1256,7,Matches
Mory Diaw,sn SEN,GK,30.0,30.0,1352,1016,1316,37,0,0,1352,4,3,75.0,1,25.0,971,5154,3362,0,0,0,2,0,655,0,Matches
Muhammed Cham,at AUT,"MF,FW",22.0,28.4,1609,20,208,846,576,69,1604,65,34,52.3,28,43.1,1216,7659,3240,71,77,13,57,42,1177,142,Matches
Neto Borges,br BRA,DF,26.0,28.0,1743,122,597,749,420,49,1743,54,28,51.9,21,38.9,1131,7202,3464,58,45,17,31,11,1021,165,Matches
Johan Gastien,fr FRA,MF,35.0,25.1,1918,70,475,1199,257,9,1918,25,8,32.0,14,56.0,1458,6939,2842,21,27,0,29,9,1353,21,Matches
Jim Allevinah,ga GAB,"MF,DF",28.0,20.7,1008,48,223,443,360,67,1008,67,28,41.8,35,52.2,726,5623,2680,87,55,13,54,26,676,120,Matches
Maximiliano Caufriez,be BEL,DF,26.0,18.4,1087,169,498,522,76,7,1087,14,7,50.0,4,28.6,724,4578,2184,24,27,0,11,11,670,11,Matches
Yohann Magnin,fr FRA,MF,26.0,18.7,1066,38,249,641,186,28,1066,11,3,27.3,7,63.6,730,3478,1227,14,15,2,36,12,669,47,Matches
Shamar Nicholson,jm JAM,FW,26.0,16.5,536,18,39,279,223,74,534,26,8,30.8,17,65.4,378,2045,646,18,16,14,33,18,406,110,Matches
Maxime Gonalons,fr FRA,MF,34.0,14.4,921,32,196,652,84,10,921,17,8,47.1,7,41.2,659,3461,1158,8,14,2,18,13,610,10,Matches
Mehdi Zeffane,dz ALG,"DF,MF",31.0,13.7,816,45,229,414,179,17,816,10,2,20.0,8,80.0,537,2582,1112,14,15,2,16,4,501,48,Matches
Elba Rashani,xk KVX,"MF,FW",30.0,13.1,550,17,93,238,227,42,550,46,17,37.0,26,56.5,403,2377,803,19,16,6,22,22,367,102,Matches
Chrislain Matsima,fr FRA,DF,21.0,13.1,807,123,391,397,20,5,807,5,2,40.0,1,20.0,549,3316,1799,13,4,1,6,4,496,1,Matches
Alidu Seidu,gh GHA,DF,23.0,12.6,905,68,372,488,55,1,905,25,11,44.0,12,48.0,651,4153,1861,16,17,0,13,6,560,3,Matches
Habib Keita,ml MLI,MF,21.0,14.2,878,53,215,509,159,7,878,24,14,58.3,10,41.7,629,3404,1402,9,21,3,23,15,579,23,Matches
Cheick Konaté,ml MLI,DF,19.0,11.9,631,34,128,310,202,20,631,43,22,51.2,20,46.5,412,2487,1113,22,19,8,19,13,375,86,Matches
Alan Virginius,fr FRA,FW,20.0,10.4,300,7,38,127,138,40,300,20,10,50.0,10,50.0,209,1559,806,22,11,10,24,11,211,64,Matches
Grejohn Kyei,fr FRA,FW,27.0,11.4,406,12,18,204,185,57,405,30,10,33.3,20,66.7,284,1478,493,12,11,3,38,19,312,85,Matches
Bilal Boutobba,fr FRA,"FW,MF",24.0,10.3,536,7,64,256,226,38,536,46,16,34.8,25,54.3,411,2689,1191,38,29,11,26,15,381,86,Matches
Florent Ogier,fr FRA,DF,34.0,10.5,616,117,354,246,19,12,616,1,1,100.0,0,0.0,413,2281,957,4,3,0,3,0,388,0,Matches
Massamba Ndiaye,sn SEN,GK,21.0,4.0,188,147,185,3,0,0,188,0,0,0.0,0,0.0,141,693,375,0,0,0,0,0,95,0,Matches
Jérémy Jacquet,fr FRA,DF,18.0,2.8,157,15,49,77,32,2,157,2,1,50.0,1,50.0,75,533,268,5,3,1,2,2,72,4,Matches
Yoël Armougom,fr FRA,"DF,MF",25.0,2.6,148,5,26,72,50,1,148,3,1,33.3,1,33.3,105,601,358,6,5,0,2,0,104,25,Matches
Mateusz Wieteska,pl POL,DF,26.0,1.9,139,15,73,64,3,3,139,1,0,0.0,1,100.0,88,513,339,0,0,0,0,0,86,1,Matches
Jérémie Bela,ao ANG,"MF,FW",30.0,2.3,121,3,7,59,58,3,121,7,4,57.1,3,42.9,94,664,340,14,9,0,4,3,99,33,Matches
Komnen Andrić,rs SRB,FW,28.0,1.9,83,2,3,44,36,3,83,5,2,40.0,3,60.0,59,272,42,0,4,1,8,6,66,24,Matches
Ilhan Fakili,fr FRA,"MF,FW",17.0,1.0,45,0,3,19,23,4,45,6,1,16.7,5,83.3,33,181,73,2,1,2,5,2,35,7,Matches
Aïman Maurer,ma MAR,"MF,FW",18.0,0.6,38,2,5,9,24,4,38,3,2,66.7,1,33.3,27,173,43,1,1,1,3,1,25,8,Matches
Mohamed Bouchenna,fr FRA,"MF,FW",17.0,0.3,20,0,5,11,6,2,20,5,2,40.0,3,60.0,15,91,38,0,1,1,3,0,10,3,Matches
Joshua M'Bahia,ci CIV,MF,18.0,0.2,15,0,6,4,5,0,15,0,0,0.0,0,0.0,13,77,51,0,0,0,0,1,13,2,Matches
Abdellah Baallal,ma MAR,MF,18.0,0.0,5,0,2,2,1,0,5,0,0,0.0,0,0.0,3,17,6,0,0,0,0,0,2,0,Matches
Squad Total,0,0,26.8,34.0,20572,2425,6911,9932,3924,578,20564,575,252,43.8,286,49.7,14537,85738,39030,537,470,113,498,269,13270,1238,0
Opponent Total,0,0,25.7,34.0,21388,1955,6056,10203,5361,841,21379,665,321,48.3,312,46.9,15503,87754,41427,635,565,161,538,269,14154,1561,0
