Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Arthur Desmas,fr FRA,GK,29.0,33.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Gautier Lloris,fr FRA,DF,28.0,30.9,2,16,4,25.0,0.52,0.13,0.13,0.5,8.4,0,0,0,2.1,2.1,0.13,-0.1,-0.1,Matches
Arouna Sangante,sn SEN,DF,21.0,29.9,0,16,3,18.8,0.54,0.1,0.0,0.0,15.2,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Christopher Operi,ci CIV,DF,26.0,27.2,3,22,9,40.9,0.81,0.33,0.14,0.33,24.3,7,0,0,1.2,1.2,0.05,1.8,1.8,Matches
Abdoulaye Touré,gn GUI,MF,29.0,25.4,2,31,8,25.8,1.22,0.32,0.0,0.0,27.4,0,2,2,3.0,1.4,0.04,-1.0,-1.4,Matches
Josué Casimir,fr FRA,"FW,DF",21.0,22.4,0,22,4,18.2,0.98,0.18,0.0,0.0,18.3,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Matches
Daler Kuzyaev,ru RUS,MF,30.0,23.2,2,16,5,31.3,0.69,0.22,0.13,0.4,17.7,0,0,0,1.8,1.8,0.12,0.2,0.2,Matches
Etienne Youte Kinkoue,fr FRA,DF,21.0,21.6,0,6,0,0.0,0.28,0.0,0.0,0.0,11.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Yassine Kechta,ma MAR,MF,21.0,20.5,2,20,9,45.0,0.97,0.44,0.1,0.22,22.5,0,0,0,1.6,1.6,0.08,0.4,0.4,Matches
Emmanuel Sabbi,us USA,"FW,MF",25.0,17.6,5,29,10,34.5,1.65,0.57,0.1,0.3,16.4,0,2,2,4.1,2.5,0.09,0.9,0.5,Matches
Yoann Salmier,gf GUF,DF,30.0,17.4,1,10,5,50.0,0.57,0.29,0.1,0.2,14.2,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches
Loïc Nego,hu HUN,"DF,MF",32.0,17.3,0,18,4,22.2,1.04,0.23,0.0,0.0,17.0,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
Mohamed Lamine Bayo,gn GUI,FW,25.0,15.4,5,43,15,34.9,2.79,0.97,0.07,0.2,13.2,0,2,2,7.2,5.7,0.13,-2.2,-2.7,Matches
André Ayew,gh GHA,FW,33.0,12.3,5,32,12,37.5,2.61,0.98,0.16,0.42,15.1,1,0,0,3.1,3.1,0.1,1.9,1.9,Matches
Oussama Targhalline,ma MAR,MF,21.0,11.4,0,6,0,0.0,0.53,0.0,0.0,0.0,28.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Nabil Alioui,fr FRA,"MF,FW",24.0,11.2,4,28,9,32.1,2.5,0.8,0.14,0.44,19.0,1,0,0,2.4,2.4,0.09,1.6,1.6,Matches
Antoine Joujou,fr FRA,"FW,MF",20.0,8.7,0,20,3,15.0,2.31,0.35,0.0,0.0,19.1,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
Rassoul Ndiaye,sn SEN,"MF,FW",21.0,5.8,0,6,1,16.7,1.03,0.17,0.0,0.0,26.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Samuel Grandsir,fr FRA,"MF,FW",26.0,6.7,1,14,5,35.7,2.08,0.74,0.07,0.2,18.5,2,0,1,2.6,1.9,0.13,-1.6,-0.9,Matches
Oualid El Hajjam,ma MAR,"DF,MF",32.0,4.4,0,8,3,37.5,1.83,0.69,0.0,0.0,19.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Issa Soumaré,sn SEN,"FW,MF",22.0,2.6,0,5,1,20.0,1.9,0.38,0.0,0.0,22.8,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Andy Logbo,fr FRA,FW,19.0,2.8,0,4,0,0.0,1.45,0.0,0.0,0.0,13.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Steve Ngoura,fr FRA,"FW,MF",18.0,2.5,0,7,2,28.6,2.83,0.81,0.0,0.0,16.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Mathieu Gorgelin,fr FRA,GK,32.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Nolan Mbemba,cg CGO,MF,28.0,0.2,1,2,1,50.0,8.18,4.09,0.5,1.0,27.1,0,0,0,0.0,0.0,0.02,1.0,1.0,Matches
Simon Ebonog,cm CMR,MF,18.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Alois Confais,fr FRA,"MF,FW",26.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,26.2,34.0,33,381,113,29.7,11.21,3.32,0.07,0.24,18.2,11,6,7,37.3,31.8,0.09,-4.3,-4.8,0
Opponent Total,0,0,26.0,34.0,43,455,155,34.1,13.38,4.56,0.09,0.26,17.1,14,2,4,50.6,47.3,0.11,-7.6,-6.3,0
