Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Brice Samba,fr FRA,GK,29.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,0.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Facundo Medina,ar ARG,DF,24.0,31,30,2714.0,30.2,1.0,3.0,4.0,1.0,0.0,0.0,11.0,0.0,1.1,1.1,1.8,2.9,51.0,219.0,20.0,0.03,0.1,0.13,0.03,0.13,0.04,0.06,0.1,0.04,0.1,Matches
Kevin Danso,at AUT,DF,24.0,30,30,2655.0,29.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,0.4,2.2,27.0,133.0,3.0,0.03,0.0,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07,Matches
Florian Sotoca,fr FRA,"MF,FW",32.0,32,29,2598.0,28.9,7.0,6.0,13.0,3.0,4.0,4.0,4.0,1.0,9.1,5.9,6.5,12.4,56.0,156.0,253.0,0.24,0.21,0.45,0.1,0.31,0.32,0.22,0.54,0.21,0.43,Matches
Jonathan Gradit,fr FRA,DF,30.0,26,26,2112.0,23.5,1.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,0.3,0.3,0.1,0.5,21.0,177.0,6.0,0.04,0.0,0.04,0.04,0.04,0.01,0.01,0.02,0.01,0.02,Matches
Przemysław Frankowski,pl POL,DF,28.0,30,24,2192.0,24.4,3.0,2.0,5.0,2.0,1.0,2.0,4.0,0.0,3.7,2.1,3.8,5.9,56.0,112.0,210.0,0.12,0.08,0.21,0.08,0.16,0.15,0.16,0.31,0.09,0.24,Matches
Ruben Aguilar,fr FRA,DF,30.0,25,22,1922.0,21.4,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,2.9,4.3,36.0,110.0,162.0,0.05,0.14,0.19,0.05,0.19,0.07,0.14,0.2,0.07,0.2,Matches
Elye Wahi,fr FRA,FW,20.0,27,20,1692.0,18.8,9.0,3.0,12.0,8.0,1.0,1.0,10.0,1.0,11.5,10.7,2.6,13.4,52.0,15.0,171.0,0.48,0.16,0.64,0.43,0.59,0.61,0.14,0.75,0.57,0.71,Matches
Neil El Aynaoui,fr FRA,MF,22.0,25,17,1566.0,17.4,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.4,2.4,0.8,3.2,25.0,59.0,44.0,0.06,0.11,0.17,0.06,0.17,0.14,0.05,0.19,0.14,0.19,Matches
Salis Abdul Samed,gh GHA,MF,23.0,27,17,1519.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.5,1.3,9.0,78.0,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches
David Pereira da Costa,pt POR,MF,22.0,25,17,1494.0,16.6,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,3.0,3.0,3.5,6.5,53.0,73.0,101.0,0.24,0.12,0.36,0.24,0.36,0.18,0.21,0.39,0.18,0.39,Matches
Angelo Fulgini,fr FRA,MF,26.0,29,16,1376.0,15.3,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,3.2,3.2,3.2,6.4,35.0,74.0,117.0,0.07,0.13,0.2,0.07,0.2,0.21,0.21,0.42,0.21,0.42,Matches
Andy Diouf,fr FRA,MF,20.0,25,16,1314.0,14.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,1.1,2.6,63.0,80.0,55.0,0.07,0.0,0.07,0.07,0.07,0.1,0.08,0.18,0.1,0.18,Matches
Adrien Thomasson,fr FRA,MF,29.0,29,13,1193.0,13.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,3.8,3.8,3.9,7.7,20.0,68.0,121.0,0.08,0.15,0.23,0.08,0.23,0.29,0.29,0.58,0.29,0.58,Matches
Deiver Machado,co COL,DF,29.0,19,13,1124.0,12.5,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,1.7,1.7,1.3,2.9,22.0,26.0,74.0,0.32,0.0,0.32,0.32,0.32,0.13,0.1,0.24,0.13,0.24,Matches
Nampalys Mendy,sn SEN,MF,31.0,16,13,1052.0,11.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.1,1.3,21.0,84.0,13.0,0.0,0.09,0.09,0.0,0.09,0.02,0.09,0.11,0.02,0.11,Matches
