Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Brice Samba,fr FRA,GK,29.0,33,2970.0,90.0,97.1,33.0,33,90.0,33,0,0.0,0,1.52,43.0,35.0,8.0,0.24,0.24,48.8,45.9,3.0,0.09,-4.32,Matches
Facundo Medina,ar ARG,DF,24.0,31,2714.0,88.0,88.7,30.2,30,90.0,29,1,17.0,0,1.45,42.0,36.0,6.0,0.2,-0.32,48.9,43.0,5.9,0.2,-0.17,Matches
Kevin Danso,at AUT,DF,24.0,30,2655.0,89.0,86.8,29.5,30,89.0,29,0,0.0,0,1.53,37.0,32.0,5.0,0.17,-0.5,44.2,39.2,5.0,0.17,-0.36,Matches
Florian Sotoca,fr FRA,"MF,FW",32.0,32,2598.0,81.0,84.9,28.9,29,86.0,20,3,30.0,0,1.47,36.0,34.0,2.0,0.07,-1.1,44.6,38.2,6.4,0.22,0.03,Matches
Jonathan Gradit,fr FRA,DF,30.0,26,2112.0,81.0,69.0,23.5,26,81.0,19,0,0.0,1,1.54,33.0,23.0,10.0,0.43,0.62,40.0,29.6,10.4,0.44,0.73,Matches
Przemysław Frankowski,pl POL,DF,28.0,30,2192.0,73.0,71.6,24.4,24,84.0,17,6,31.0,2,1.4,28.0,23.0,5.0,0.21,-0.11,39.3,32.2,7.1,0.29,0.27,Matches
Ruben Aguilar,fr FRA,DF,30.0,25,1922.0,77.0,62.8,21.4,22,86.0,16,3,13.0,3,1.8,33.0,19.0,14.0,0.66,1.13,37.1,30.6,6.5,0.31,0.24,Matches
Elye Wahi,fr FRA,FW,20.0,27,1692.0,63.0,55.3,18.8,20,75.0,2,7,28.0,1,1.52,25.0,18.0,7.0,0.37,0.31,31.4,22.8,8.6,0.46,0.54,Matches
Neil El Aynaoui,fr FRA,MF,22.0,25,1566.0,63.0,51.2,17.4,17,84.0,8,8,18.0,1,1.76,26.0,16.0,10.0,0.57,0.7,27.4,26.5,0.9,0.05,-0.34,Matches
Salis Abdul Samed,gh GHA,MF,23.0,27,1519.0,56.0,49.6,16.9,17,81.0,11,10,15.0,4,1.74,20.0,18.0,2.0,0.12,-0.23,24.6,24.2,0.4,0.02,-0.39,Matches
David Pereira da Costa,pt POR,MF,22.0,25,1494.0,60.0,48.8,16.6,17,80.0,4,8,16.0,2,1.44,26.0,19.0,7.0,0.42,0.36,27.5,24.4,3.1,0.19,-0.06,Matches
Angelo Fulgini,fr FRA,MF,26.0,29,1376.0,47.0,45.0,15.3,16,69.0,0,13,21.0,5,1.34,16.0,16.0,0.0,0.0,-0.43,21.9,18.7,3.3,0.21,-0.01,Matches
Andy Diouf,fr FRA,MF,20.0,25,1314.0,53.0,42.9,14.6,16,73.0,1,9,17.0,8,1.2,20.0,19.0,1.0,0.07,-0.29,21.1,20.9,0.3,0.02,-0.35,Matches
Adrien Thomasson,fr FRA,MF,29.0,29,1193.0,41.0,39.0,13.3,13,71.0,1,16,17.0,4,1.45,14.0,15.0,-1.0,-0.08,-0.51,22.5,18.2,4.3,0.32,0.17,Matches
Deiver Machado,co COL,DF,29.0,19,1124.0,59.0,36.7,12.5,13,75.0,4,6,24.0,1,1.42,18.0,16.0,2.0,0.16,-0.12,19.6,14.7,4.9,0.4,0.28,Matches
Nampalys Mendy,sn SEN,MF,31.0,16,1052.0,66.0,34.4,11.7,13,77.0,5,3,16.0,8,1.69,15.0,10.0,5.0,0.43,0.29,21.3,13.6,7.7,0.66,0.67,Matches
Wesley Saïd,fr FRA,"FW,MF",28.0,27,1020.0,38.0,33.3,11.3,11,65.0,0,16,19.0,1,1.48,16.0,13.0,3.0,0.26,0.04,17.7,17.0,0.7,0.06,-0.23,Matches
Abduqodir Xusanov,uz UZB,DF,19.0,11,809.0,74.0,26.4,9.0,9,84.0,6,2,25.0,16,1.45,12.0,10.0,2.0,0.22,-0.02,15.3,12.8,2.5,0.28,0.09,Matches
