Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Yvon Mvogo,ch SUI,GK,29.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,0.0,0,0.85,43.0,66.0,-23.0,-0.68,0.0,37.2,54.3,-17.2,-0.5,0.0,Matches
Laurent Abergel,fr FRA,MF,30.0,33,2860.0,87.0,93.5,31.8,32,89.0,29,1,23.0,0,0.88,41.0,59.0,-18.0,-0.57,1.68,34.8,50.1,-15.3,-0.48,0.37,Matches
Julien Ponceau,fr FRA,MF,22.0,32,2244.0,70.0,73.3,24.9,27,79.0,12,5,23.0,2,0.81,29.0,52.0,-23.0,-0.92,-0.92,26.4,41.1,-14.7,-0.59,-0.31,Matches
Montassar Talbi,tn TUN,DF,25.0,25,2204.0,88.0,72.0,24.5,25,88.0,24,0,0.0,1,1.0,36.0,46.0,-10.0,-0.41,0.96,27.6,38.2,-10.6,-0.43,0.26,Matches
Souleymane Touré,fr FRA,DF,20.0,24,2051.0,85.0,67.0,22.8,23,87.0,21,1,45.0,2,0.79,26.0,43.0,-17.0,-0.75,-0.21,23.1,33.1,-10.0,-0.44,0.2,Matches
Julien Laporte,fr FRA,DF,29.0,23,1818.0,79.0,59.4,20.2,20,85.0,17,3,39.0,10,0.83,31.0,47.0,-16.0,-0.79,-0.28,24.1,36.1,-12.0,-0.59,-0.21,Matches
Romain Faivre,fr FRA,"MF,FW",25.0,17,1453.0,85.0,47.5,16.1,16,89.0,15,1,28.0,0,0.71,19.0,34.0,-15.0,-0.93,-0.48,14.8,24.8,-10.0,-0.62,-0.22,Matches
Théo Le Bris,fr FRA,"DF,MF",20.0,26,1516.0,58.0,49.5,16.8,15,84.0,8,11,23.0,8,1.0,22.0,27.0,-5.0,-0.3,0.75,16.0,25.0,-9.0,-0.53,-0.05,Matches
Tiemoué Bakayoko,fr FRA,MF,28.0,20,1314.0,66.0,42.9,14.6,15,80.0,8,5,24.0,2,0.95,16.0,26.0,-10.0,-0.68,-0.01,13.9,23.6,-9.7,-0.66,-0.28,Matches
Nathaniel Adjei,gh GHA,DF,20.0,15,1243.0,83.0,40.6,13.8,14,88.0,13,1,12.0,0,0.93,15.0,27.0,-12.0,-0.87,-0.32,15.9,23.5,-7.6,-0.55,-0.08,Matches
