Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Maxence Caqueret,fr FRA,MF,23.0,33.6,113,3.37,85,16,4,3,2,3,7,0.21,5,0,1,1,0,0,Matches
Anthony Lopes,pt POR,GK,32.0,31.0,3,0.1,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Jake O'Brien,ie IRL,DF,22.0,26.3,14,0.53,8,1,0,5,0,0,2,0.08,0,0,0,2,0,0,Matches
Alexandre Lacazette,fr FRA,FW,32.0,25.5,56,2.2,39,0,5,6,6,0,9,0.35,4,0,2,1,2,0,Matches
Clinton Mata,ao ANG,DF,30.0,24.7,31,1.26,26,0,1,2,2,0,4,0.16,3,0,0,1,0,0,Matches
Nicolás Tagliafico,ar ARG,DF,30.0,23.6,42,1.78,28,6,1,3,3,1,2,0.08,1,0,0,0,1,0,Matches
Duje Ćaleta-Car,hr CRO,DF,26.0,22.1,12,0.54,10,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Ernest Nuamah,gh GHA,"FW,MF",19.0,20.4,73,3.58,47,6,8,7,5,0,6,0.29,4,1,0,1,0,0,Matches
Corentin Tolisso,fr FRA,MF,28.0,19.3,52,2.69,40,1,0,9,1,1,3,0.16,1,0,0,2,0,0,Matches
Rayan Cherki,fr FRA,"MF,FW",19.0,19.1,106,5.55,52,23,21,7,2,1,14,0.73,9,2,1,2,0,0,Matches
Ainsley Maitland-Niles,eng ENG,"DF,MF",25.0,15.9,33,2.07,27,0,0,4,1,1,7,0.44,7,0,0,0,0,0,Matches
Nemanja Matić,rs SRB,MF,34.0,13.9,23,1.65,21,0,2,0,0,0,3,0.22,3,0,0,0,0,0,Matches
Sinaly Diomande,ci CIV,DF,22.0,9.9,6,0.61,5,0,0,1,0,0,1,0.1,1,0,0,0,0,0,Matches
Saïd Benrahma,dz ALG,"FW,MF",27.0,8.6,38,4.44,26,6,2,2,1,1,4,0.47,4,0,0,0,0,0,Matches
Sael Kumbedi,fr FRA,DF,18.0,10.3,16,1.56,15,0,1,0,0,0,2,0.19,2,0,0,0,0,0,Matches
Dejan Lovren,hr CRO,DF,34.0,8.0,4,0.5,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Henrique,br BRA,DF,29.0,6.7,9,1.33,6,1,1,0,1,0,1,0.15,1,0,0,0,0,0,Matches
Skelly Alvero,fr FRA,MF,21.0,4.7,12,2.54,7,1,1,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Gift Orban,ng NGA,FW,21.0,5.3,8,1.52,6,0,1,0,1,0,1,0.19,1,0,0,0,0,0,Matches
Malick Fofana,be BEL,FW,18.0,6.2,19,3.05,11,0,2,3,2,1,3,0.48,1,0,0,1,1,0,Matches
Mama Samba Baldé,gw GNB,"FW,MF",27.0,6.1,21,3.42,13,0,5,2,1,0,7,1.14,3,0,4,0,0,0,Matches
Orel Mangala,be BEL,MF,25.0,4.4,13,2.95,11,0,1,0,1,0,1,0.23,1,0,0,0,0,0,Matches
Mahamadou Diawara,fr FRA,MF,18.0,4.0,9,2.26,6,0,0,1,2,0,1,0.25,0,0,0,1,0,0,Matches
Paul Akouokou,ci CIV,MF,25.0,3.4,6,1.75,4,0,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Diego Moreira,pt POR,"FW,MF",18.0,3.0,4,1.34,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Jeffinho,br BRA,"FW,MF",23.0,3.4,17,4.98,12,0,1,2,1,1,3,0.88,2,0,0,0,1,0,Matches
Bradley Barcola,fr FRA,FW,20.0,3.0,5,1.67,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rémy Riou,fr FRA,GK,35.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tino Kadewere,zw ZIM,"FW,MF",27.0,3.3,9,2.73,8,0,0,0,1,0,1,0.3,1,0,0,0,0,0,Matches
Johann Lepenant,fr FRA,MF,20.0,2.8,7,2.48,6,0,0,1,0,0,1,0.35,1,0,0,0,0,0,Matches
Amin Sarr,se SWE,"FW,MF",22.0,1.1,3,2.73,1,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Chaim El Djebali,tn TUN,MF,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mamadou Sarr,fr FRA,DF,17.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Adryelson,br BRA,"DF,FW",25.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mohamed El Arouch,fr FRA,FW,19.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,26.6,34.0,764,22.47,533,62,58,64,35,12,84,2.47,56,3,8,12,5,0,0
Opponent Total,0,0,25.5,34.0,817,24.03,602,55,51,46,38,25,90,2.65,59,6,8,9,6,2,0
