Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Maxence Caqueret,fr FRA,MF,23.0,33.6,1,0,0,34,30,1,86,48,64,0,1,0,236,9,12,42.9,Matches
Anthony Lopes,pt POR,GK,32.0,31.0,0,0,0,1,6,0,0,0,0,0,1,0,33,5,0,100.0,Matches
Jake O'Brien,ie IRL,DF,22.0,26.3,4,1,0,17,10,0,1,12,16,0,0,0,126,44,25,63.8,Matches
Alexandre Lacazette,fr FRA,FW,32.0,25.5,3,1,0,50,36,13,10,8,12,1,0,0,60,27,40,40.3,Matches
Clinton Mata,ao ANG,DF,30.0,24.7,6,0,0,29,37,1,52,40,24,0,0,0,145,27,27,50.0,Matches
Nicolás Tagliafico,ar ARG,DF,30.0,23.6,7,1,1,37,32,0,40,28,34,1,0,0,76,20,15,57.1,Matches
Duje Ćaleta-Car,hr CRO,DF,26.0,22.1,2,1,0,16,5,0,0,18,11,0,0,0,86,57,15,79.2,Matches
Ernest Nuamah,gh GHA,"FW,MF",19.0,20.4,4,0,0,50,34,12,75,8,14,0,1,0,86,10,25,28.6,Matches
Corentin Tolisso,fr FRA,MF,28.0,19.3,5,0,0,24,23,1,36,10,21,0,1,0,117,37,22,62.7,Matches
Rayan Cherki,fr FRA,"MF,FW",19.0,19.1,0,0,0,10,31,2,71,7,15,0,0,0,98,1,8,11.1,Matches
Ainsley Maitland-Niles,eng ENG,"DF,MF",25.0,15.9,1,1,0,5,11,1,21,17,18,0,0,0,93,18,21,46.2,Matches
Nemanja Matić,rs SRB,MF,34.0,13.9,2,0,0,8,8,0,4,16,11,0,0,1,103,20,10,66.7,Matches
Sinaly Diomande,ci CIV,DF,22.0,9.9,2,0,0,12,8,0,1,15,4,0,0,0,73,16,13,55.2,Matches
Saïd Benrahma,dz ALG,"FW,MF",27.0,8.6,2,0,0,1,10,7,67,1,7,0,0,0,41,1,15,6.3,Matches
Sael Kumbedi,fr FRA,DF,18.0,10.3,3,0,0,23,12,2,28,14,20,0,0,0,60,4,9,30.8,Matches
Dejan Lovren,hr CRO,DF,34.0,8.0,2,1,0,12,1,0,3,12,7,0,0,0,33,24,10,70.6,Matches
Henrique,br BRA,DF,29.0,6.7,2,0,0,7,8,0,17,10,6,0,0,0,24,5,5,50.0,Matches
Skelly Alvero,fr FRA,MF,21.0,4.7,2,0,0,12,3,0,2,2,7,0,1,0,20,9,7,56.3,Matches
Gift Orban,ng NGA,FW,21.0,5.3,2,0,0,9,10,2,3,1,3,0,0,0,14,3,15,16.7,Matches
Malick Fofana,be BEL,FW,18.0,6.2,0,0,0,3,11,0,20,5,4,1,0,0,18,0,7,0.0,Matches
Mama Samba Baldé,gw GNB,"FW,MF",27.0,6.1,1,0,0,8,9,4,5,3,5,0,0,0,26,10,17,37.0,Matches
Orel Mangala,be BEL,MF,25.0,4.4,0,0,0,11,4,0,2,5,3,0,1,0,9,5,8,38.5,Matches
Mahamadou Diawara,fr FRA,MF,18.0,4.0,2,0,0,10,7,0,2,4,6,0,0,0,18,3,4,42.9,Matches
Paul Akouokou,ci CIV,MF,25.0,3.4,1,0,0,9,3,0,0,6,9,0,0,0,25,8,5,61.5,Matches
Diego Moreira,pt POR,"FW,MF",18.0,3.0,1,0,0,4,3,1,6,2,0,0,0,0,17,5,8,38.5,Matches
Jeffinho,br BRA,"FW,MF",23.0,3.4,0,0,0,4,5,1,2,0,4,1,0,0,15,4,3,57.1,Matches
Bradley Barcola,fr FRA,FW,20.0,3.0,1,0,0,4,2,2,0,2,2,0,0,0,11,9,2,81.8,Matches
Rémy Riou,fr FRA,GK,35.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,1,66.7,Matches
Tino Kadewere,zw ZIM,"FW,MF",27.0,3.3,0,0,0,6,2,2,2,5,1,0,0,0,23,10,11,47.6,Matches
Johann Lepenant,fr FRA,MF,20.0,2.8,1,0,0,6,3,0,2,4,3,0,0,0,22,1,2,33.3,Matches
Amin Sarr,se SWE,"FW,MF",22.0,1.1,0,0,0,2,2,0,1,0,0,0,0,0,2,2,3,40.0,Matches
Chaim El Djebali,tn TUN,MF,19.0,0.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,Matches
Mamadou Sarr,fr FRA,DF,17.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Adryelson,br BRA,"DF,FW",25.0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,Matches
Mohamed El Arouch,fr FRA,FW,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Squad Total,0,0,26.6,34.0,57,6,1,425,367,52,560,304,331,4,6,1,1715,396,367,51.9,0
Opponent Total,0,0,25.5,34.0,63,3,1,387,407,51,594,362,397,5,4,1,1735,367,396,48.1,0
