Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Pau López,es ESP,GK,28.0,32.7,924,1195,77.3,21981,14438,212,213,99.5,499,506,98.6,202,462,43.7,0,0.5,0.1,-0.5,2,19,2,0,0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,34.0,29.1,444,660,67.3,6310,1446,261,357,73.1,141,204,69.1,16,39,41.0,8,5.6,4.4,2.4,27,29,27,5,58,Matches
Leonardo Balerdi,ar ARG,DF,24.0,25.2,1402,1628,86.1,26569,9543,520,562,92.5,678,753,90.0,169,260,65.0,0,0.2,0.5,-0.2,5,115,3,0,122,Matches
Chancel Mbemba,cd COD,DF,28.0,24.5,1222,1398,87.4,24175,8626,372,410,90.7,701,770,91.0,130,188,69.1,2,1.0,1.5,1.0,7,124,11,3,131,Matches
Jonathan Clauss,fr FRA,DF,30.0,23.0,1153,1526,75.6,19885,6946,545,642,84.9,480,598,80.3,103,214,48.1,4,4.6,5.3,-0.6,46,99,50,18,137,Matches
Jordan Veretout,fr FRA,MF,30.0,24.3,1049,1341,78.2,19875,6368,374,428,87.4,522,623,83.8,120,226,53.1,2,5.0,4.6,-3.0,48,144,34,9,194,Matches
Amine Harit,ma MAR,"MF,FW",26.0,20.2,815,966,84.4,12457,3325,404,449,90.0,311,351,88.6,49,88,55.7,2,3.7,3.6,-1.7,39,86,33,5,127,Matches
Samuel Gigot,fr FRA,DF,29.0,19.2,846,964,87.8,14337,4728,350,384,91.1,436,480,90.8,36,64,56.3,0,0.9,0.5,-0.9,7,31,3,2,54,Matches
Iliman Ndiaye,sn SEN,"FW,MF",23.0,18.0,465,562,82.7,6725,1493,241,279,86.4,188,219,85.8,13,20,65.0,3,2.6,2.9,0.4,22,37,15,3,62,Matches
Geoffrey Kondogbia,cf CTA,MF,30.0,16.3,832,952,87.4,14691,4488,359,389,92.3,379,413,91.8,72,108,66.7,0,0.5,1.0,-0.5,11,105,11,1,93,Matches
Ismaila Sarr,sn SEN,"FW,MF",25.0,16.1,366,483,75.8,4949,1093,229,269,85.1,107,152,70.4,10,21,47.6,4,2.5,2.3,1.5,20,10,15,5,36,Matches
Azzedine Ounahi,ma MAR,MF,23.0,13.4,722,817,88.4,11181,3153,367,407,90.2,281,300,93.7,35,50,70.0,0,1.4,1.7,-1.4,15,81,17,3,98,Matches
Renan Lodi,br BRA,DF,25.0,13.7,579,748,77.4,9900,2568,252,283,89.0,264,325,81.2,47,95,49.5,0,1.3,1.3,-1.3,14,37,11,7,51,Matches
Michael Amir Murillo,pa PAN,DF,27.0,11.1,492,602,81.7,8248,2497,220,257,85.6,222,268,82.8,35,54,64.8,2,1.2,1.2,0.8,7,26,8,2,35,Matches
Vitinha,pt POR,FW,23.0,10.3,159,217,73.3,2217,594,87,103,84.5,51,66,77.3,8,14,57.1,2,2.9,2.4,-0.9,18,13,10,3,23,Matches
Ulisses Garcia,ch SUI,DF,27.0,10.1,449,570,78.8,7183,1975,224,249,90.0,186,233,79.8,27,54,50.0,0,0.9,1.1,-0.9,8,30,7,5,52,Matches
Valentin Rongier,fr FRA,MF,28.0,9.5,504,577,87.3,9308,2852,178,209,85.2,267,285,93.7,43,62,69.4,0,0.8,1.2,-0.8,9,72,10,1,73,Matches
Pape Gueye,sn SEN,"MF,DF",24.0,8.5,396,487,81.3,7394,2225,140,163,85.9,200,222,90.1,44,77,57.1,0,0.8,0.5,-0.8,4,52,6,0,61,Matches
Luis Henrique,br BRA,"FW,DF",21.0,8.7,300,387,77.5,5161,1430,145,172,84.3,121,152,79.6,27,45,60.0,0,0.7,0.9,-0.7,10,25,14,5,40,Matches
Quentin Merlin,fr FRA,DF,21.0,7.8,360,465,77.4,6916,2515,130,155,83.9,170,207,82.1,52,85,61.2,1,1.1,1.2,-0.1,12,48,9,6,46,Matches
Bamo Meïté,ci CIV,DF,21.0,7.1,462,507,91.1,7455,2273,216,229,94.3,206,221,93.2,25,36,69.4,0,0.0,0.1,0.0,1,26,1,0,29,Matches
Joaquín Correa,ar ARG,"FW,MF",28.0,4.8,131,167,78.4,2086,576,61,80,76.3,60,62,96.8,7,9,77.8,0,0.7,0.6,-0.7,5,10,11,0,25,Matches
Jean Onana,cm CMR,MF,23.0,6.3,398,458,86.9,6747,1578,166,178,93.3,199,217,91.7,20,39,51.3,0,0.1,0.2,-0.1,2,38,4,0,32,Matches
Faris Pemi Moumbagna,cm CMR,FW,23.0,6.1,74,107,69.2,1071,269,45,62,72.6,26,35,74.3,1,3,33.3,1,1.1,0.3,-0.1,4,3,4,1,16,Matches
François Mughe,cm CMR,"MF,DF",19.0,2.0,29,45,64.4,492,219,12,18,66.7,12,17,70.6,3,4,75.0,0,0.1,0.2,-0.1,2,1,5,3,7,Matches
Rubén Blanco,es ESP,GK,28.0,1.3,43,51,84.3,1046,765,15,15,100.0,17,17,100.0,11,19,57.9,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Bilal Nadir,fr FRA,"MF,FW",19.0,1.3,41,47,87.2,570,100,26,26,100.0,12,15,80.0,2,2,100.0,0,0.1,0.1,-0.1,2,3,2,0,4,Matches
Emran Soglo,eng ENG,"MF,DF",18.0,1.2,31,39,79.5,442,90,21,24,87.5,9,11,81.8,1,2,50.0,1,0.2,0.0,0.8,2,2,1,1,3,Matches
Raimane Daou,km COM,"DF,MF",18.0,0.3,11,13,84.6,120,30,11,11,100.0,0,2,0.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Mattéo Guendouzi,fr FRA,MF,24.0,0.2,9,12,75.0,127,53,5,5,100.0,4,4,100.0,0,2,0.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Sofiane Sidi Ali,fr FRA,MF,28.0,0.2,6,7,85.7,121,38,2,2,100.0,2,3,66.7,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Keyliane Abdallah,fr FRA,FW,17.0,0.0,1,1,100.0,8,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Noam Mayoka-Tika,be BEL,MF,19.0,0.0,1,1,100.0,22,8,0,0,0.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Squad Total,0,0,27.3,34.0,14716,18000,81.8,259769,88302,6191,7031,88.1,6752,7732,87.3,1310,2344,55.9,32,40.3,39.7,-8.3,349,1272,324,88,1613,0
Opponent Total,0,0,25.9,34.0,12519,15560,80.5,225461,80616,5290,6100,86.7,5485,6331,86.6,1341,2333,57.5,27,26.5,25.4,0.5,282,872,232,52,1228,0
