Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Alexandre Oukidja,dz ALG,GK,35.0,33.2,1002,593,407,115,0,6,0,0,0,0,0,0,513,2,2,Matches
Matthieu Udol,fr FRA,DF,27.0,30.0,1300,1028,266,30,2,3,73,235,1,0,1,0,969,6,34,Matches
Danley Jean-Jacques,ht HAI,MF,23.0,29.8,743,728,14,14,1,8,20,0,0,0,0,0,572,1,20,Matches
Lamine Camara,sn SEN,MF,19.0,25.1,983,840,140,61,1,19,119,3,74,33,40,0,715,3,20,Matches
Ismaël Traoré,ci CIV,DF,36.0,24.7,777,753,23,23,0,3,0,0,0,0,0,0,674,1,5,Matches
Maxime Colin,fr FRA,DF,31.0,20.4,925,684,235,19,0,2,34,216,0,0,0,0,660,6,30,Matches
Kévin Van Den Kerkhof,dz ALG,"FW,MF",27.0,21.3,551,483,68,9,1,3,128,34,25,12,12,0,315,0,46,Matches
Fali Candé,gw GNB,DF,25.0,20.5,799,723,73,37,0,18,8,35,1,0,1,0,628,3,8,Matches
Georges Mikautadze,ge GEO,FW,22.0,19.4,430,358,67,9,2,1,34,4,8,3,3,0,299,5,16,Matches
Christophe Hérelle,mq MTQ,DF,30.0,18.0,609,580,28,27,0,2,1,1,0,0,0,0,543,1,4,Matches
Kévin N'Doram,fr FRA,MF,27.0,17.8,611,566,43,39,1,19,2,2,0,0,0,0,481,2,10,Matches
Cheikh Tidiane Sabaly,sn SEN,"FW,MF",24.0,15.3,370,367,3,0,1,2,12,3,0,0,0,0,290,0,13,Matches
Arthur Atta,fr FRA,"MF,FW",20.0,10.3,401,378,20,10,1,4,10,6,1,1,0,0,301,3,11,Matches
Ablie Jallow,gm GAM,"MF,FW",24.0,10.2,318,295,21,6,2,8,23,2,12,8,3,0,248,2,7,Matches
Koffi Kouao,ci CIV,DF,25.0,9.6,401,317,81,6,0,1,16,75,0,0,0,0,317,3,7,Matches
Joel Asoro,se SWE,"FW,MF",24.0,9.4,147,136,10,4,0,0,19,1,2,2,0,0,94,1,10,Matches
Papa Amadou Diallo,sn SEN,FW,19.0,9.9,257,255,2,1,2,0,14,1,0,0,0,0,167,0,7,Matches
Sadibou Sané,sn SEN,DF,19.0,9.4,317,290,27,4,0,1,8,23,0,0,0,0,254,0,3,Matches
Simon Elisor,fr FRA,FW,24.0,8.5,157,139,18,0,0,0,4,0,0,0,0,0,111,0,5,Matches
Joseph Nduquidi,fr FRA,"MF,DF",18.0,8.3,212,194,17,4,1,2,0,13,0,0,0,0,173,1,1,Matches
Didier Lamkel Zé,cm CMR,"FW,MF",26.0,6.1,190,179,10,5,0,6,13,1,2,1,0,0,137,1,5,Matches
Oscar Estupiñan,co COL,FW,26.0,2.9,61,54,5,0,0,0,1,0,0,0,0,0,41,2,1,Matches
Abou Lô,sn SEN,"MF,DF",23.0,2.2,74,73,1,1,0,0,0,0,0,0,0,0,65,0,1,Matches
Youssef Maziz,fr FRA,"FW,MF",25.0,1.4,39,33,5,1,1,2,4,1,3,2,1,0,30,1,0,Matches
Benjamin Tetteh,gh GHA,"FW,MF",26.0,3.1,77,71,6,0,0,0,1,0,0,0,0,0,49,0,4,Matches
Malick Mbaye,sn SEN,"MF,FW",19.0,1.7,54,49,5,1,0,0,13,0,3,0,3,0,34,0,5,Matches
Habib Maïga,ci CIV,"MF,FW",27.0,1.6,63,62,0,0,0,0,1,0,0,0,0,0,47,1,1,Matches
Jean Frederic N'Guessan,ci CIV,"MF,FW",20.0,1.2,46,44,2,2,0,0,1,0,0,0,0,0,37,0,1,Matches
Ibou Sané,sn SEN,"MF,FW",18.0,1.4,46,40,6,0,0,0,4,3,1,0,1,0,37,0,2,Matches
Guillaume Dietsch,fr FRA,GK,22.0,0.8,26,12,14,7,0,0,0,0,0,0,0,0,15,0,0,Matches
Squad Total,0,0,26.5,34.0,11986,10324,1617,435,16,110,563,659,133,62,65,0,8816,45,279,0
Opponent Total,0,0,25.6,34.0,21875,20255,1569,436,36,72,736,668,182,65,97,0,18493,51,345,0
