Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Alexandre Oukidja,dz ALG,GK,35.0,33.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Matthieu Udol,fr FRA,DF,27.0,30.0,3,19,7,36.8,0.63,0.23,0.16,0.43,12.3,0,0,0,1.4,1.4,0.07,1.6,1.6,Matches
Danley Jean-Jacques,ht HAI,MF,23.0,29.8,0,34,5,14.7,1.14,0.17,0.0,0.0,20.4,0,0,0,2.9,2.9,0.08,-2.9,-2.9,Matches
Lamine Camara,sn SEN,MF,19.0,25.1,1,29,8,27.6,1.16,0.32,0.03,0.13,28.4,4,0,1,2.2,1.4,0.05,-1.2,-0.4,Matches
Ismaël Traoré,ci CIV,DF,36.0,24.7,2,10,4,40.0,0.41,0.16,0.2,0.5,11.9,0,0,0,0.8,0.8,0.08,1.2,1.2,Matches
Maxime Colin,fr FRA,DF,31.0,20.4,0,6,0,0.0,0.29,0.0,0.0,0.0,22.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Kévin Van Den Kerkhof,dz ALG,"FW,MF",27.0,21.3,1,21,7,33.3,0.99,0.33,0.05,0.14,19.3,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
Fali Candé,gw GNB,DF,25.0,20.5,0,13,7,53.8,0.63,0.34,0.0,0.0,21.4,2,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Georges Mikautadze,ge GEO,FW,22.0,19.4,13,55,24,43.6,2.83,1.24,0.18,0.42,17.7,4,3,3,9.5,7.2,0.13,3.5,2.8,Matches
Christophe Hérelle,mq MTQ,DF,30.0,18.0,0,4,0,0.0,0.22,0.0,0.0,0.0,21.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Kévin N'Doram,fr FRA,MF,27.0,17.8,0,7,1,14.3,0.39,0.06,0.0,0.0,20.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Cheikh Tidiane Sabaly,sn SEN,"FW,MF",24.0,15.3,3,21,9,42.9,1.37,0.59,0.14,0.33,17.6,0,0,0,2.7,2.7,0.13,0.3,0.3,Matches
Arthur Atta,fr FRA,"MF,FW",20.0,10.3,1,9,4,44.4,0.88,0.39,0.11,0.25,16.2,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Ablie Jallow,gm GAM,"MF,FW",24.0,10.2,3,17,6,35.3,1.67,0.59,0.12,0.33,21.7,1,1,1,2.0,1.2,0.07,1.0,0.8,Matches
Koffi Kouao,ci CIV,DF,25.0,9.6,0,5,1,20.0,0.52,0.1,0.0,0.0,21.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Joel Asoro,se SWE,"FW,MF",24.0,9.4,2,6,3,50.0,0.64,0.32,0.33,0.67,15.4,0,0,0,0.6,0.6,0.1,1.4,1.4,Matches
Papa Amadou Diallo,sn SEN,FW,19.0,9.9,2,13,5,38.5,1.32,0.51,0.15,0.4,14.7,0,0,0,2.6,2.6,0.2,-0.6,-0.6,Matches
Sadibou Sané,sn SEN,DF,19.0,9.4,0,5,0,0.0,0.53,0.0,0.0,0.0,14.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Simon Elisor,fr FRA,FW,24.0,8.5,1,13,6,46.2,1.53,0.7,0.08,0.17,16.7,0,0,1,2.3,1.5,0.11,-1.3,-0.5,Matches
Joseph Nduquidi,fr FRA,"MF,DF",18.0,8.3,0,4,1,25.0,0.48,0.12,0.0,0.0,19.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Didier Lamkel Zé,cm CMR,"FW,MF",26.0,6.1,1,11,3,27.3,1.8,0.49,0.09,0.33,16.4,0,0,0,1.6,1.6,0.14,-0.6,-0.6,Matches
Oscar Estupiñan,co COL,FW,26.0,2.9,0,6,1,16.7,2.08,0.35,0.0,0.0,15.0,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Abou Lô,sn SEN,"MF,DF",23.0,2.2,0,1,0,0.0,0.46,0.0,0.0,0.0,7.8,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches
