Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Youssouf Fofana,fr FRA,MF,24.0,30.0,100,3.34,79,3,2,11,2,3,10,0.33,6,0,0,4,0,0,Matches
Wissam Ben Yedder,fr FRA,FW,32.0,25.7,74,2.88,62,0,3,7,1,1,8,0.31,8,0,0,0,0,0,Matches
Aleksandr Golovin,ru RUS,"MF,FW",27.0,23.9,102,4.28,62,29,3,3,3,2,7,0.29,6,0,0,1,0,0,Matches
Takumi Minamino,jp JPN,MF,28.0,23.5,74,3.15,56,3,2,5,6,2,12,0.51,10,0,0,1,1,0,Matches
Wilfried Singo,ci CIV,DF,22.0,24.3,36,1.48,31,1,0,2,1,1,2,0.08,2,0,0,0,0,0,Matches
Denis Zakaria,ch SUI,"MF,DF",26.0,23.7,36,1.52,26,0,3,4,0,3,3,0.13,2,0,1,0,0,0,Matches
Philipp Köhn,ch SUI,GK,25.0,22.0,3,0.14,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Guillermo Maripán,cl CHI,DF,29.0,19.6,9,0.46,7,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Vanderson,br BRA,DF,22.0,18.2,42,2.3,32,3,2,4,0,1,4,0.22,3,0,0,1,0,0,Matches
Folarin Balogun,us USA,FW,22.0,18.8,61,3.24,40,0,6,10,5,0,8,0.43,4,0,2,1,1,0,Matches
Maghnes Akliouche,fr FRA,"MF,FW",21.0,17.9,88,4.91,59,11,6,3,4,5,9,0.5,7,0,0,0,0,2,Matches
Ismail Jakobs,sn SEN,DF,23.0,16.3,50,3.07,32,9,1,4,2,2,8,0.49,6,1,0,1,0,0,Matches
Soungoutou Magassa,fr FRA,"DF,MF",19.0,15.0,13,0.87,11,0,0,1,0,1,1,0.07,1,0,0,0,0,0,Matches
Thilo Kehrer,de GER,DF,26.0,14.7,19,1.29,13,1,0,5,0,0,4,0.27,3,0,0,1,0,0,Matches
Mohamed Camara,ml MLI,MF,23.0,11.5,41,3.57,37,0,1,1,1,1,7,0.61,7,0,0,0,0,0,Matches
Krépin Diatta,sn SEN,"DF,FW",24.0,13.4,41,3.06,34,4,2,0,1,0,8,0.6,7,0,1,0,0,0,Matches
Radosław Majecki,pl POL,GK,23.0,12.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mohammed Salisu,gh GHA,DF,24.0,11.5,10,0.87,9,0,0,0,0,1,2,0.17,2,0,0,0,0,0,Matches
Kassoum Ouattara,fr FRA,"DF,FW",18.0,7.1,14,1.98,10,1,1,1,0,1,1,0.14,0,0,1,0,0,0,Matches
Caio Henrique Oliveira Silva,br BRA,DF,26.0,6.9,25,3.61,14,8,2,0,0,1,5,0.72,2,3,0,0,0,0,Matches
Eliesse Ben Seghir,ma MAR,"MF,FW",18.0,4.8,20,4.21,12,0,2,1,5,0,5,1.05,2,0,1,0,2,0,Matches
Chrislain Matsima,fr FRA,DF,21.0,3.3,7,2.11,7,0,0,0,0,0,1,0.3,1,0,0,0,0,0,Matches
Breel Embolo,ch SUI,FW,26.0,2.0,10,4.95,8,0,2,0,0,0,1,0.49,1,0,0,0,0,0,Matches
Mamadou Coulibaly,fr FRA,MF,19.0,1.3,5,3.81,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Edan Diop,fr FRA,"MF,DF",18.0,1.8,1,0.55,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eliot Matazo,be BEL,MF,21.0,1.1,2,1.78,2,0,0,0,0,0,1,0.89,1,0,0,0,0,0,Matches
Myron Boadu,nl NED,FW,22.0,0.9,1,1.06,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Saïmon Bouabré,fr FRA,MF,17.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Antonin Cartillier,fr FRA,DF,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Michel,fr FRA,FW,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,25.0,34.0,884,26.0,650,73,38,65,32,26,107,3.15,81,4,6,10,4,2,0
Opponent Total,0,0,25.7,34.0,687,20.21,484,60,53,35,42,13,74,2.18,51,5,5,5,7,1,0
