Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Youssouf Fofana,fr FRA,MF,24.0,32,31,2697.0,30.0,4.0,4.0,8.0,4.0,0.0,0.0,3.0,0.0,5.0,5.0,3.4,8.4,53.0,249.0,86.0,0.13,0.13,0.27,0.13,0.27,0.17,0.11,0.28,0.17,0.28,Matches
Wissam Ben Yedder,fr FRA,FW,32.0,32,26,2316.0,25.7,16.0,2.0,18.0,15.0,1.0,1.0,2.0,0.0,12.4,11.6,4.3,15.9,52.0,96.0,229.0,0.62,0.08,0.7,0.58,0.66,0.48,0.17,0.65,0.45,0.62,Matches
Aleksandr Golovin,ru RUS,"MF,FW",27.0,25,25,2147.0,23.9,6.0,6.0,12.0,6.0,0.0,0.0,8.0,1.0,3.4,3.4,4.7,8.0,50.0,172.0,157.0,0.25,0.25,0.5,0.25,0.5,0.14,0.2,0.34,0.14,0.34,Matches
Takumi Minamino,jp JPN,MF,28.0,30,25,2117.0,23.5,9.0,6.0,15.0,9.0,0.0,0.0,4.0,0.0,5.9,5.9,4.9,10.8,48.0,97.0,198.0,0.38,0.26,0.64,0.38,0.64,0.25,0.21,0.46,0.25,0.46,Matches
Wilfried Singo,ci CIV,DF,22.0,25,24,2187.0,24.3,1.0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,0.8,0.8,1.0,1.9,38.0,145.0,31.0,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.08,0.03,0.08,Matches
Denis Zakaria,ch SUI,"MF,DF",26.0,25,24,2137.0,23.7,4.0,0.0,4.0,4.0,0.0,0.0,13.0,2.0,1.4,1.4,1.1,2.5,27.0,107.0,23.0,0.17,0.0,0.17,0.17,0.17,0.06,0.05,0.11,0.06,0.11,Matches
Philipp Köhn,ch SUI,GK,25.0,22,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Guillermo Maripán,cl CHI,DF,29.0,23,21,1767.0,19.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4,0.4,0.5,0.9,4.0,59.0,5.0,0.05,0.0,0.05,0.05,0.05,0.02,0.02,0.05,0.02,0.05,Matches
Vanderson,br BRA,DF,22.0,20,20,1641.0,18.2,3.0,1.0,4.0,3.0,0.0,0.0,6.0,1.0,2.1,2.1,1.4,3.5,26.0,71.0,129.0,0.16,0.05,0.22,0.16,0.22,0.12,0.08,0.19,0.12,0.19,Matches
Folarin Balogun,us USA,FW,22.0,29,19,1692.0,18.8,7.0,5.0,12.0,7.0,0.0,3.0,1.0,0.0,11.0,8.5,3.3,11.8,35.0,30.0,199.0,0.37,0.27,0.64,0.37,0.64,0.59,0.18,0.76,0.45,0.63,Matches
Maghnes Akliouche,fr FRA,"MF,FW",21.0,28,18,1613.0,17.9,7.0,4.0,11.0,7.0,0.0,0.0,5.0,0.0,5.4,5.4,3.5,8.9,46.0,93.0,135.0,0.39,0.22,0.61,0.39,0.61,0.3,0.19,0.49,0.3,0.49,Matches
