Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Téji Savanier,fr FRA,MF,31.0,30.7,184,5.99,100,55,6,11,8,4,19,0.62,11,5,1,2,0,0,Matches
Benjamin Lecomte,fr FRA,GK,32.0,30.0,8,0.27,6,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Joris Chotard,fr FRA,MF,21.0,28.7,46,1.6,38,2,0,2,2,2,4,0.14,4,0,0,0,0,0,Matches
Akor Adams,ng NGA,FW,23.0,25.0,43,1.72,29,0,5,8,1,0,3,0.12,0,0,2,1,0,0,Matches
Becir Omeragic,ch SUI,"DF,MF",21.0,25.7,25,0.97,22,0,0,1,2,0,1,0.04,1,0,0,0,0,0,Matches
Musa Al-Taamari,jo JOR,FW,26.0,21.4,70,3.27,34,2,12,6,14,2,8,0.37,3,0,3,0,2,0,Matches
Jordan Ferri,fr FRA,MF,31.0,22.6,67,2.97,58,2,2,1,3,1,2,0.09,2,0,0,0,0,0,Matches
Boubakar Kouyaté,ml MLI,DF,26.0,21.4,11,0.51,6,0,0,4,1,0,2,0.09,1,0,0,1,0,0,Matches
Issiaga Sylla,gn GUI,"DF,FW",29.0,16.2,31,1.92,22,5,1,2,0,1,2,0.12,2,0,0,0,0,0,Matches
Falaye Sacko,ml MLI,DF,28.0,15.4,27,1.76,23,1,0,0,2,1,4,0.26,4,0,0,0,0,0,Matches
Arnaud Nordin,fr FRA,"FW,MF",25.0,13.8,56,4.04,39,0,6,4,7,0,6,0.43,5,0,0,0,1,0,Matches
Christopher Jullien,fr FRA,DF,30.0,13.7,10,0.74,8,0,0,1,0,1,1,0.07,1,0,0,0,0,0,Matches
Wahbi Khazri,tn TUN,FW,32.0,12.6,26,2.07,15,1,4,2,4,0,2,0.16,1,0,0,1,0,0,Matches
Modibo Sagnan,ml MLI,DF,24.0,11.7,8,0.68,7,0,0,0,0,1,1,0.09,1,0,0,0,0,0,Matches
Maxime Estève,fr FRA,DF,21.0,11.1,11,0.93,9,1,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches
Lucas Mincarelli,fr FRA,"DF,MF",19.0,10.9,11,1.01,11,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Enzo Tchato,cm CMR,DF,20.0,12.5,18,1.44,13,3,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches
Khalil Fayad,fr FRA,"FW,MF",19.0,11.4,19,1.67,10,0,0,2,6,1,0,0.0,0,0,0,0,0,0,Matches
Silvan Hefti,ch SUI,"DF,FW",25.0,7.9,11,1.39,9,1,0,1,0,0,3,0.38,3,0,0,0,0,0,Matches
Tanguy Coulibaly,fr FRA,"FW,MF",22.0,6.9,20,2.89,13,0,3,2,2,0,3,0.43,1,0,0,1,1,0,Matches
Dimitry Bertaud,cd COD,GK,25.0,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Léo Leroy,fr FRA,MF,23.0,5.5,8,1.44,6,0,0,2,0,0,1,0.18,1,0,0,0,0,0,Matches
Théo Sainte-Luce,fr FRA,DF,24.0,3.8,3,0.78,0,1,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches
Yann Karamoh,fr FRA,"FW,MF",25.0,3.2,9,2.85,6,0,1,1,1,0,1,0.32,0,0,0,1,0,0,Matches
Axel Gueguin,fr FRA,"DF,FW",18.0,1.5,2,1.36,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Othmane Maamma,fr FRA,FW,17.0,1.0,7,7.16,3,0,3,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Kelvin Yeboah,it ITA,FW,23.0,3.1,9,2.93,7,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Sacha Delaye,fr FRA,"MF,FW",21.0,1.4,6,4.15,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Elye Wahi,fr FRA,FW,20.0,0.2,1,6.92,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yanis Issoufou,fr FRA,MF,16.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mamadou Sakho,fr FRA,DF,33.0,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,26.1,34.0,748,22.0,503,76,45,51,57,16,66,1.94,44,5,6,7,4,0,0
Opponent Total,0,0,25.8,34.0,948,27.88,689,77,59,56,49,18,81,2.38,57,6,4,5,8,1,0
