Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Pedro Chirivella,es ESP,MF,26.0,28.8,1743,1628,105,67,7,10,29,4,13,8,2,0,1494,10,13,Matches
Alban Lafont,fr FRA,GK,24.0,27.7,1006,770,235,69,0,3,0,0,0,0,0,0,720,1,0,Matches
Jean-Charles Castelletto,cm CMR,DF,28.0,27.4,1340,1267,71,24,1,2,20,47,0,0,0,0,1147,2,10,Matches
Florent Mollet,fr FRA,"MF,FW",31.0,23.1,1063,902,160,36,1,2,142,15,95,41,42,0,826,1,23,Matches
Mostafa Mohamed,eg EGY,FW,25.0,22.2,369,341,26,0,5,2,14,2,0,0,0,0,238,2,13,Matches
Eray Cömert,ch SUI,DF,25.0,22.2,1063,1006,57,37,1,19,3,3,0,0,0,0,941,0,9,Matches
Douglas,br BRA,MF,26.0,19.7,1040,991,47,34,4,8,20,2,11,8,2,0,904,2,11,Matches
Moussa Sissoko,fr FRA,MF,33.0,20.2,681,655,24,11,3,3,18,11,1,0,0,0,547,2,19,Matches
Moses Simon,ng NGA,"FW,MF",28.0,19.9,508,472,30,4,4,4,114,6,13,3,5,0,318,6,41,Matches
Marcus Coco,fr FRA,"DF,FW",27.0,16.5,641,561,78,3,3,1,46,75,0,0,0,0,473,2,15,Matches
Nicolas Pallois,fr FRA,DF,35.0,17.7,774,729,42,21,0,2,13,16,0,0,0,0,620,3,7,Matches
Jean-Kevin Duverne,ht HAI,DF,26.0,15.0,743,653,86,15,0,2,13,71,0,0,0,0,597,4,11,Matches
Quentin Merlin,fr FRA,DF,21.0,14.3,841,689,148,11,8,6,63,121,16,6,5,0,615,4,17,Matches
Matthis Abline,fr FRA,FW,20.0,11.6,231,218,12,0,2,1,7,1,0,0,0,0,162,1,11,Matches
Samuel Moutoussamy,cd COD,MF,26.0,12.3,498,491,6,5,1,0,2,1,0,0,0,0,417,1,7,Matches
Nathan Zeze,fr FRA,DF,18.0,11.4,481,471,10,8,0,2,1,2,0,0,0,0,407,0,4,Matches
Kelvin Amian,fr FRA,DF,25.0,8.9,350,266,84,8,1,0,14,76,0,0,0,0,268,0,15,Matches
Nicolas Cozza,fr FRA,DF,24.0,9.9,366,282,83,3,0,0,13,80,0,0,0,0,270,1,8,Matches
Tino Kadewere,zw ZIM,"FW,MF",27.0,8.7,213,203,8,0,1,1,6,4,1,0,0,0,154,2,7,Matches
Ronaël Pierre-Gabriel,fr FRA,DF,25.0,6.6,289,238,50,5,0,0,9,45,0,0,0,0,227,1,11,Matches
Rémy Descamps,fr FRA,GK,27.0,6.0,212,123,89,18,0,0,0,0,0,0,0,0,128,0,1,Matches
Bénie Adama Traore,ci CIV,"FW,MF",20.0,5.6,148,129,18,3,4,0,20,2,6,2,3,0,99,1,11,Matches
Adson,br BRA,"MF,FW",22.0,2.6,130,128,2,0,0,0,2,2,0,0,0,0,115,0,2,Matches
Ignatius Ganago,cm CMR,"FW,MF",24.0,2.0,53,52,0,0,1,0,6,0,0,0,0,0,31,1,3,Matches
Abdoul Kader Bamba,fr FRA,"FW,MF",29.0,6.8,336,307,26,11,3,1,26,6,9,4,3,0,267,3,1,Matches
Marquinhos,br BRA,"FW,MF",20.0,1.7,67,62,5,1,0,0,5,3,0,0,0,0,50,0,2,Matches
Fabien Centonze,fr FRA,DF,27.0,1.0,51,45,6,0,0,0,7,6,0,0,0,0,37,0,0,Matches
Bastien Meupiyou,fr FRA,DF,17.0,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Jaouen Hadjam,dz ALG,DF,20.0,1.2,103,96,7,1,0,0,12,6,0,0,0,0,80,0,1,Matches
Stredair Appuah,fr FRA,"FW,MF",19.0,0.9,23,23,0,0,0,0,2,0,0,0,0,0,14,0,2,Matches
Denis Petrić,rs SRB,GK,35.0,0.3,8,5,2,2,0,0,0,0,0,0,0,0,6,1,0,Matches
Hugo Boutsingkham,fr FRA,"MF,FW",20.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Adel Mahamoud,km COM,FW,20.0,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Enzo Mongo,fr FRA,DF,18.0,0.1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,Matches
Lamine Diack,sn SEN,MF,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,26.8,34.0,15383,13813,1519,397,50,69,627,609,165,72,62,0,12180,51,275,0
Opponent Total,0,0,25.8,34.0,19173,17524,1608,464,39,114,621,684,176,58,91,0,15934,41,271,0
