Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Pedro Chirivella,es ESP,MF,26.0,32,2594.0,81.0,84.8,28.8,31,83.0,21,1,20.0,0,1.03,28.0,45.0,-17.0,-0.59,0.96,31.8,46.4,-14.6,-0.51,-0.33,Matches
Alban Lafont,fr FRA,GK,24.0,28,2496.0,89.0,81.6,27.7,28,89.0,27,0,0.0,1,0.89,20.0,43.0,-23.0,-0.83,-0.51,30.3,40.3,-10.0,-0.36,0.51,Matches
Jean-Charles Castelletto,cm CMR,DF,28.0,28,2464.0,88.0,80.5,27.4,28,88.0,26,0,0.0,0,1.04,25.0,45.0,-20.0,-0.73,0.02,29.4,45.7,-16.2,-0.59,-0.71,Matches
Florent Mollet,fr FRA,"MF,FW",31.0,29,2083.0,72.0,68.1,23.1,24,82.0,11,5,25.0,2,0.9,20.0,34.0,-14.0,-0.6,0.41,25.1,32.0,-6.9,-0.3,0.49,Matches
Mostafa Mohamed,eg EGY,FW,25.0,29,2002.0,69.0,65.4,22.2,24,75.0,5,5,39.0,0,0.9,21.0,33.0,-12.0,-0.54,0.57,20.6,34.5,-13.9,-0.63,-0.49,Matches
Eray Cömert,ch SUI,DF,25.0,25,1995.0,80.0,65.2,22.2,23,84.0,18,2,27.0,3,1.04,21.0,32.0,-11.0,-0.5,0.69,26.2,31.9,-5.8,-0.26,0.56,Matches
Douglas,br BRA,MF,26.0,25,1772.0,71.0,57.9,19.7,22,78.0,9,3,16.0,0,1.0,19.0,27.0,-8.0,-0.41,0.78,20.5,30.1,-9.7,-0.49,-0.08,Matches
Moussa Sissoko,fr FRA,MF,33.0,26,1821.0,70.0,59.5,20.2,21,84.0,13,5,13.0,6,1.0,14.0,32.0,-18.0,-0.89,-0.38,19.9,28.9,-9.0,-0.45,0.02,Matches
Moses Simon,ng NGA,"FW,MF",28.0,22,1788.0,81.0,58.4,19.9,21,84.0,15,1,17.0,0,0.95,21.0,31.0,-10.0,-0.5,0.56,22.5,30.7,-8.2,-0.41,0.1,Matches
Marcus Coco,fr FRA,"DF,FW",27.0,28,1481.0,53.0,48.4,16.5,18,72.0,2,10,19.0,4,1.04,17.0,25.0,-8.0,-0.49,0.48,18.4,24.5,-6.1,-0.37,0.16,Matches
Nicolas Pallois,fr FRA,DF,35.0,23,1589.0,69.0,51.9,17.7,17,84.0,15,6,27.0,11,0.96,12.0,30.0,-18.0,-1.02,-0.59,18.3,27.4,-9.1,-0.51,-0.12,Matches
Jean-Kevin Duverne,ht HAI,DF,26.0,19,1348.0,71.0,44.1,15.0,15,86.0,9,4,15.0,8,1.42,14.0,17.0,-3.0,-0.2,0.96,15.7,20.1,-4.4,-0.29,0.29,Matches
Quentin Merlin,fr FRA,DF,21.0,16,1283.0,80.0,41.9,14.3,15,84.0,7,1,18.0,0,0.88,18.0,25.0,-7.0,-0.49,0.42,17.1,24.7,-7.6,-0.54,-0.14,Matches
Matthis Abline,fr FRA,FW,20.0,22,1044.0,47.0,34.1,11.6,12,72.0,1,10,18.0,5,0.95,11.0,17.0,-6.0,-0.52,0.33,14.9,15.5,-0.6,-0.05,0.61,Matches
Samuel Moutoussamy,cd COD,MF,26.0,26,1107.0,43.0,36.2,12.3,11,77.0,3,15,17.0,4,1.0,9.0,20.0,-11.0,-0.89,-0.25,16.0,18.0,-2.1,-0.17,0.45,Matches
Nathan Zeze,fr FRA,DF,18.0,13,1022.0,79.0,33.4,11.4,11,88.0,10,2,26.0,10,0.77,6.0,21.0,-15.0,-1.32,-0.88,10.1,16.2,-6.1,-0.54,-0.13,Matches
Kelvin Amian,fr FRA,DF,25.0,12,798.0,67.0,26.1,8.9,11,72.0,6,1,11.0,0,0.75,6.0,17.0,-11.0,-1.24,-0.68,9.2,14.6,-5.3,-0.6,-0.2,Matches
Nicolas Cozza,fr FRA,DF,24.0,13,895.0,69.0,29.2,9.9,10,86.0,7,3,13.0,1,0.85,6.0,21.0,-15.0,-1.51,-1.09,9.7,16.5,-6.8,-0.69,-0.33,Matches
Tino Kadewere,zw ZIM,"FW,MF",27.0,14,781.0,56.0,25.5,8.7,8,75.0,2,6,30.0,0,0.86,5.0,9.0,-4.0,-0.46,0.37,9.9,8.3,1.6,0.19,0.87,Matches
Ronaël Pierre-Gabriel,fr FRA,DF,25.0,12,598.0,50.0,19.5,6.6,6,85.0,4,6,15.0,3,1.25,8.0,12.0,-4.0,-0.6,0.17,7.8,13.4,-5.6,-0.84,-0.47,Matches
Rémy Descamps,fr FRA,GK,27.0,6,540.0,90.0,17.6,6.0,6,90.0,6,0,0.0,18,1.33,10.0,11.0,-1.0,-0.17,0.69,7.1,12.6,-5.5,-0.92,-0.56,Matches
