Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Pedro Chirivella,es ESP,MF,26.0,28.8,1935,61,373,1260,310,26,1935,8,5,62.5,2,25.0,1529,6608,2446,10,23,4,23,14,1440,55,Matches
Alban Lafont,fr FRA,GK,24.0,27.7,1081,914,1075,6,0,0,1081,1,0,0.0,0,0.0,768,3646,1792,0,0,0,1,0,561,0,Matches
Jean-Charles Castelletto,cm CMR,DF,28.0,27.4,1560,149,659,758,150,22,1560,14,8,57.1,6,42.9,1111,5891,2885,24,22,1,15,7,1004,31,Matches
Florent Mollet,fr FRA,"MF,FW",31.0,23.1,1298,27,170,628,508,58,1298,35,13,37.1,20,57.1,939,4799,1549,27,31,9,40,15,867,145,Matches
Mostafa Mohamed,eg EGY,FW,25.0,22.2,673,34,85,322,280,103,670,35,15,42.9,18,51.4,430,2709,740,23,18,10,82,37,456,115,Matches
Eray Cömert,ch SUI,DF,25.0,22.2,1280,204,680,581,32,9,1280,2,1,50.0,1,50.0,910,4794,2354,7,6,0,5,1,825,3,Matches
Douglas,br BRA,MF,26.0,19.7,1248,66,310,757,195,14,1248,8,2,25.0,4,50.0,892,4287,1756,12,16,1,16,8,806,18,Matches
Moussa Sissoko,fr FRA,MF,33.0,20.2,823,47,175,452,211,19,823,22,10,45.5,11,50.0,580,3296,1644,30,25,1,23,8,512,59,Matches
Moses Simon,ng NGA,"FW,MF",28.0,19.9,706,6,50,233,441,117,705,89,47,52.8,38,42.7,571,5417,2905,146,53,55,60,37,561,214,Matches
Marcus Coco,fr FRA,"DF,FW",27.0,16.5,831,49,208,401,231,14,831,31,12,38.7,12,38.7,539,3134,1306,28,31,1,26,11,483,65,Matches
Nicolas Pallois,fr FRA,DF,35.0,17.7,1005,180,521,450,42,7,1005,12,9,75.0,3,25.0,596,3249,1623,6,6,0,6,3,520,2,Matches
Jean-Kevin Duverne,ht HAI,DF,26.0,15.0,894,53,324,444,133,6,894,15,9,60.0,6,40.0,621,3240,1644,18,28,1,21,8,556,23,Matches
Quentin Merlin,fr FRA,DF,21.0,14.3,984,39,245,452,297,19,984,19,10,52.6,9,47.4,661,3678,1787,34,38,5,17,6,596,62,Matches
Matthis Abline,fr FRA,FW,20.0,11.6,386,9,36,153,209,65,386,33,19,57.6,14,42.4,294,1979,906,28,24,14,50,14,287,87,Matches
Samuel Moutoussamy,cd COD,MF,26.0,12.3,634,20,144,361,134,21,634,12,5,41.7,6,50.0,446,2333,1197,20,17,2,19,9,393,33,Matches
Nathan Zeze,fr FRA,DF,18.0,11.4,580,65,298,273,9,3,580,0,0,0.0,0,0.0,399,2126,1219,1,2,0,4,0,369,2,Matches
Kelvin Amian,fr FRA,DF,25.0,8.9,430,34,130,193,107,4,430,7,3,42.9,4,57.1,242,1402,609,12,10,0,11,7,232,21,Matches
Nicolas Cozza,fr FRA,DF,24.0,9.9,485,24,164,214,113,11,485,10,2,20.0,4,40.0,263,1352,588,11,9,2,10,8,242,30,Matches
Tino Kadewere,zw ZIM,"FW,MF",27.0,8.7,315,9,36,159,125,30,314,24,9,37.5,12,50.0,214,1179,407,15,5,6,26,19,215,53,Matches
Ronaël Pierre-Gabriel,fr FRA,DF,25.0,6.6,376,35,153,146,82,8,376,8,4,50.0,4,50.0,216,1426,659,12,13,0,9,3,202,12,Matches
Rémy Descamps,fr FRA,GK,27.0,6.0,237,209,237,0,0,0,237,0,0,0.0,0,0.0,132,787,511,0,0,0,0,0,76,0,Matches
Bénie Adama Traore,ci CIV,"FW,MF",20.0,5.6,212,4,19,91,110,23,212,25,13,52.0,11,44.0,152,1195,585,23,15,7,19,9,140,45,Matches
Adson,br BRA,"MF,FW",22.0,2.6,163,0,18,81,68,10,163,8,5,62.5,3,37.5,137,934,451,18,9,4,4,4,127,19,Matches
Ignatius Ganago,cm CMR,"FW,MF",24.0,2.0,77,1,4,24,51,10,77,1,0,0.0,1,100.0,64,438,109,7,2,3,4,3,62,26,Matches
Abdoul Kader Bamba,fr FRA,"FW,MF",29.0,6.8,423,8,46,177,204,26,423,31,10,32.3,14,45.2,346,2364,1179,41,25,13,17,13,327,73,Matches
Marquinhos,br BRA,"FW,MF",20.0,1.7,99,3,17,42,40,8,99,7,4,57.1,3,42.9,66,308,115,2,2,1,2,6,60,11,Matches
Fabien Centonze,fr FRA,DF,27.0,1.0,63,2,14,31,20,1,63,3,0,0.0,3,100.0,43,288,131,5,4,0,0,0,39,5,Matches
Bastien Meupiyou,fr FRA,DF,17.0,0.1,7,1,4,3,1,0,7,0,0,0.0,0,0.0,4,42,5,0,0,0,1,0,3,0,Matches
Jaouen Hadjam,dz ALG,DF,20.0,1.2,120,5,25,57,39,2,120,0,0,0.0,0,0.0,91,592,301,6,3,0,4,3,84,17,Matches
Stredair Appuah,fr FRA,"FW,MF",19.0,0.9,42,1,7,20,15,3,42,6,4,66.7,2,33.3,27,188,92,3,1,1,4,1,26,2,Matches
Denis Petrić,rs SRB,GK,35.0,0.3,8,7,8,0,0,0,8,0,0,0.0,0,0.0,6,38,16,0,0,0,0,0,4,0,Matches
Hugo Boutsingkham,fr FRA,"MF,FW",20.0,0.1,3,1,3,0,0,0,3,1,0,0.0,1,100.0,1,4,0,0,0,0,0,0,1,0,Matches
Adel Mahamoud,km COM,FW,20.0,0.1,5,0,0,3,2,0,5,1,1,100.0,0,0.0,3,12,4,0,0,0,1,0,2,1,Matches
Enzo Mongo,fr FRA,DF,18.0,0.1,5,1,3,2,0,0,5,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,Matches
Lamine Diack,sn SEN,MF,22.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,26.8,34.0,18988,2268,6241,8774,4159,639,18983,468,220,47.0,212,45.3,13293,73735,33515,569,438,141,520,254,12078,1229,0
Opponent Total,0,0,25.8,34.0,22696,2046,6322,11430,5176,738,22686,661,318,48.1,298,45.1,16967,93973,44646,617,557,144,490,284,15777,1599,0
