Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Pedro Chirivella,es ESP,MF,26.0,28.8,1,17,6,35.3,0.59,0.21,0.06,0.17,19.8,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
Alban Lafont,fr FRA,GK,24.0,27.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Jean-Charles Castelletto,cm CMR,DF,28.0,27.4,2,10,6,60.0,0.37,0.22,0.2,0.33,12.1,0,0,0,0.6,0.6,0.06,1.4,1.4,Matches
Florent Mollet,fr FRA,"MF,FW",31.0,23.1,4,64,26,40.6,2.77,1.12,0.06,0.15,19.4,8,0,0,5.9,5.9,0.09,-1.9,-1.9,Matches
Mostafa Mohamed,eg EGY,FW,25.0,22.2,8,62,23,37.1,2.79,1.03,0.08,0.22,15.6,4,3,3,7.8,5.5,0.09,0.2,-0.5,Matches
Eray Cömert,ch SUI,DF,25.0,22.2,2,9,3,33.3,0.41,0.14,0.22,0.67,17.1,1,0,0,0.7,0.7,0.08,1.3,1.3,Matches
Douglas,br BRA,MF,26.0,19.7,0,16,5,31.3,0.81,0.25,0.0,0.0,20.0,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
Moussa Sissoko,fr FRA,MF,33.0,20.2,0,10,3,30.0,0.49,0.15,0.0,0.0,16.0,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches
Moses Simon,ng NGA,"FW,MF",28.0,19.9,3,33,12,36.4,1.66,0.6,0.06,0.17,16.5,0,1,1,4.1,3.3,0.1,-1.1,-1.3,Matches
Marcus Coco,fr FRA,"DF,FW",27.0,16.5,1,9,2,22.2,0.55,0.12,0.11,0.5,20.0,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches
Nicolas Pallois,fr FRA,DF,35.0,17.7,0,4,1,25.0,0.23,0.06,0.0,0.0,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Jean-Kevin Duverne,ht HAI,DF,26.0,15.0,0,4,1,25.0,0.27,0.07,0.0,0.0,20.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Quentin Merlin,fr FRA,DF,21.0,14.3,0,14,3,21.4,0.98,0.21,0.0,0.0,20.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Matthis Abline,fr FRA,FW,20.0,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,3.8,3.8,0.09,1.2,1.2,Matches
Samuel Moutoussamy,cd COD,MF,26.0,12.3,1,15,5,33.3,1.22,0.41,0.07,0.2,17.1,0,0,0,1.8,1.8,0.12,-0.8,-0.8,Matches
Nathan Zeze,fr FRA,DF,18.0,11.4,0,3,0,0.0,0.26,0.0,0.0,0.0,16.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Kelvin Amian,fr FRA,DF,25.0,8.9,0,1,0,0.0,0.11,0.0,0.0,0.0,22.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Nicolas Cozza,fr FRA,DF,24.0,9.9,0,5,0,0.0,0.5,0.0,0.0,0.0,12.2,0,0,0,0.7,0.7,0.14,-0.7,-0.7,Matches
Tino Kadewere,zw ZIM,"FW,MF",27.0,8.7,1,9,4,44.4,1.04,0.46,0.11,0.25,21.9,0,0,1,1.9,1.2,0.13,-0.9,-0.2,Matches
Ronaël Pierre-Gabriel,fr FRA,DF,25.0,6.6,0,7,0,0.0,1.05,0.0,0.0,0.0,20.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Rémy Descamps,fr FRA,GK,27.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Bénie Adama Traore,ci CIV,"FW,MF",20.0,5.6,0,7,4,57.1,1.25,0.71,0.0,0.0,18.7,1,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches
Adson,br BRA,"MF,FW",22.0,2.6,0,5,0,0.0,1.89,0.0,0.0,0.0,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Ignatius Ganago,cm CMR,"FW,MF",24.0,2.0,0,6,0,0.0,2.93,0.0,0.0,0.0,10.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Abdoul Kader Bamba,fr FRA,"FW,MF",29.0,6.8,2,14,5,35.7,2.06,0.74,0.14,0.4,16.1,1,0,0,2.1,2.1,0.16,-0.1,-0.1,Matches
Marquinhos,br BRA,"FW,MF",20.0,1.7,0,5,1,20.0,2.92,0.58,0.0,0.0,20.7,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Fabien Centonze,fr FRA,DF,27.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Bastien Meupiyou,fr FRA,DF,17.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Jaouen Hadjam,dz ALG,DF,20.0,1.2,0,1,0,0.0,0.8,0.0,0.0,0.0,15.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Stredair Appuah,fr FRA,"FW,MF",19.0,0.9,0,4,0,0.0,4.29,0.0,0.0,0.0,23.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
Denis Petrić,rs SRB,GK,35.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Hugo Boutsingkham,fr FRA,"MF,FW",20.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Adel Mahamoud,km COM,FW,20.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Enzo Mongo,fr FRA,DF,18.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Lamine Diack,sn SEN,MF,22.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,26.8,34.0,30,376,129,34.3,11.06,3.79,0.07,0.2,17.7,16,4,5,37.6,33.6,0.09,-7.6,-7.6,0
Opponent Total,0,0,25.8,34.0,55,418,147,35.2,12.29,4.32,0.11,0.31,17.3,19,9,10,53.0,45.7,0.11,2.0,0.3,0
