Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Gianluigi Donnarumma,it ITA,GK,24.0,24.1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,9,4,Matches
Kylian Mbappé,fr FRA,FW,24.0,24.0,4,1,1,1,2,4,9,44.4,5,4,0,4,2,6,2,0,Matches
Vitinha,pt POR,MF,23.0,23.6,39,24,12,16,11,16,48,33.3,32,29,11,18,23,62,30,2,Matches
Lucas Hernández,fr FRA,DF,27.0,21.2,52,36,28,15,9,29,50,58.0,21,21,5,16,27,79,38,0,Matches
Danilo Pereira,pt POR,DF,31.0,22.2,22,12,14,6,2,9,17,52.9,8,29,26,3,23,45,100,1,Matches
Warren Zaïre-Emery,fr FRA,"MF,DF",17.0,21.8,51,28,18,24,9,28,51,54.9,23,32,8,24,15,66,22,2,Matches
Manuel Ugarte Ribeiro,uy URU,MF,22.0,21.5,98,57,39,43,16,43,89,48.3,46,27,6,21,40,138,25,2,Matches
Achraf Hakimi,ma MAR,DF,24.0,21.5,29,19,14,9,6,17,34,50.0,17,28,4,24,12,41,28,2,Matches
Marquinhos,br BRA,DF,29.0,17.1,19,11,10,7,2,11,17,64.7,6,29,19,10,17,36,58,1,Matches
Lee Kang-in,kr KOR,"FW,MF",22.0,16.3,26,13,7,9,10,15,36,41.7,21,7,0,7,6,32,3,0,Matches
Bradley Barcola,fr FRA,"FW,MF",20.0,15.2,34,16,12,13,9,7,25,28.0,18,27,2,25,10,44,13,1,Matches
Milan Škriniar,sk SVK,DF,28.0,18.1,24,18,17,7,0,14,22,63.6,8,19,10,9,12,36,51,2,Matches
Ousmane Dembélé,fr FRA,"MF,FW",26.0,16.7,19,14,2,7,10,6,13,46.2,7,11,0,11,5,24,4,1,Matches
Gonçalo Ramos,pt POR,FW,22.0,15.8,25,15,4,12,9,6,20,30.0,14,12,2,10,5,30,16,0,Matches
Fabián Ruiz Peña,es ESP,MF,27.0,13.3,34,23,17,14,3,23,42,54.8,19,8,2,6,11,45,21,2,Matches
Randal Kolo Muani,fr FRA,"FW,MF",24.0,14.1,10,8,5,3,2,5,13,38.5,8,5,0,5,4,14,10,0,Matches
Marco Asensio,es ESP,"MF,FW",27.0,12.4,12,10,4,7,1,4,13,30.8,9,7,0,7,5,17,2,0,Matches
Carlos Soler,es ESP,"MF,DF",26.0,12.1,15,10,9,2,4,6,21,28.6,15,10,3,7,5,20,11,1,Matches
Lucas Beraldo,br BRA,DF,19.0,11.2,22,14,14,8,0,10,25,40.0,15,15,6,9,20,42,25,0,Matches
Nordi Mukiele,fr FRA,DF,25.0,8.8,12,8,6,5,1,8,15,53.3,7,17,4,13,14,26,28,0,Matches
Arnau Tenas,es ESP,GK,22.0,5.9,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Yoram Zague,fr FRA,DF,17.0,4.1,18,8,11,4,3,11,24,45.8,13,3,0,3,4,22,9,1,Matches
Keylor Navas,cr CRC,GK,36.0,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,Matches
Senny Mayulu,fr FRA,"FW,MF",17.0,3.6,13,8,6,6,1,6,7,85.7,1,1,0,1,3,16,0,0,Matches
Nuno Mendes,pt POR,DF,21.0,3.0,5,5,4,1,0,4,7,57.1,3,4,0,4,4,9,2,0,Matches
Ethan Mbappé,fr FRA,"MF,DF",16.0,0.5,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,Matches
Cher Ndour,it ITA,MF,19.0,0.3,2,2,0,2,0,1,2,50.0,1,0,0,0,0,2,0,0,Matches
Hugo Ekitike,fr FRA,FW,21.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Layvin Kurzawa,fr FRA,DF,30.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,24.7,34.0,585,360,254,221,110,283,602,47.0,319,346,108,238,268,853,509,22,0
Opponent Total,0,0,25.8,34.0,652,391,354,229,69,364,765,47.6,401,442,145,297,375,1027,614,13,0
