Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Gianluigi Donnarumma,it ITA,GK,24.0,24.1,842,739,838,4,0,0,842,1,1,100.0,0,0.0,622,2547,1432,0,0,0,1,0,459,0,Matches
Kylian Mbappé,fr FRA,FW,24.0,24.0,1264,1,31,441,801,207,1256,133,61,45.9,62,46.6,1148,6749,3213,114,69,66,56,35,1130,286,Matches
Vitinha,pt POR,MF,23.0,23.6,2094,64,334,1093,685,50,2094,52,32,61.5,19,36.5,1705,8354,3462,41,68,11,31,23,1622,122,Matches
Lucas Hernández,fr FRA,DF,27.0,21.2,2041,91,578,1247,234,19,2041,16,9,56.3,5,31.3,1583,7311,3507,30,33,4,16,5,1476,22,Matches
Danilo Pereira,pt POR,DF,31.0,22.2,2430,240,827,1543,70,15,2430,5,3,60.0,2,40.0,2016,10737,6336,28,23,0,4,1,1902,2,Matches
Warren Zaïre-Emery,fr FRA,"MF,DF",17.0,21.8,1642,48,261,874,524,35,1642,39,16,41.0,21,53.8,1332,7036,3098,54,61,12,30,34,1295,90,Matches
Manuel Ugarte Ribeiro,uy URU,MF,22.0,21.5,1597,89,327,987,307,12,1597,40,21,52.5,15,37.5,1230,5575,2111,16,35,4,25,24,1099,24,Matches
Achraf Hakimi,ma MAR,DF,24.0,21.5,2217,68,425,976,835,67,2217,57,27,47.4,30,52.6,1762,9215,4942,84,78,22,33,33,1679,230,Matches
Marquinhos,br BRA,DF,29.0,17.1,1957,196,669,1175,124,9,1957,1,1,100.0,0,0.0,1657,9112,5224,18,25,0,8,2,1589,3,Matches
Lee Kang-in,kr KOR,"FW,MF",22.0,16.3,1149,11,114,486,559,41,1149,49,25,51.0,20,40.8,904,4962,2178,50,50,17,15,17,883,150,Matches
Bradley Barcola,fr FRA,"FW,MF",20.0,15.2,802,16,97,251,475,103,802,94,46,48.9,43,45.7,639,4527,2538,93,50,50,45,11,613,216,Matches
Milan Škriniar,sk SVK,DF,28.0,18.1,1959,197,751,1176,38,5,1959,3,2,66.7,0,0.0,1630,7441,3525,5,11,0,6,1,1541,1,Matches
Ousmane Dembélé,fr FRA,"MF,FW",26.0,16.7,1256,6,56,500,726,97,1256,139,65,46.8,67,48.2,1069,8120,4413,160,105,53,37,24,1045,247,Matches
Gonçalo Ramos,pt POR,FW,22.0,15.8,592,17,76,238,282,93,591,21,8,38.1,11,52.4,432,1766,518,11,10,10,37,16,439,88,Matches
Fabián Ruiz Peña,es ESP,MF,27.0,13.3,987,47,226,558,220,20,987,20,16,80.0,2,10.0,812,3729,1523,16,25,1,12,3,761,40,Matches
Randal Kolo Muani,fr FRA,"FW,MF",24.0,14.1,545,15,56,205,293,73,545,72,28,38.9,40,55.6,432,2710,1105,36,18,16,52,21,422,125,Matches
Marco Asensio,es ESP,"MF,FW",27.0,12.4,747,6,74,323,358,38,747,22,10,45.5,10,45.5,612,3466,1413,36,36,6,13,9,586,92,Matches
Carlos Soler,es ESP,"MF,DF",26.0,12.1,872,27,183,423,273,36,872,10,5,50.0,4,40.0,707,3403,1302,15,23,2,14,8,673,59,Matches
Lucas Beraldo,br BRA,DF,19.0,11.2,1056,80,410,592,58,5,1056,4,3,75.0,1,25.0,832,4228,2168,7,22,0,2,2,777,2,Matches
Nordi Mukiele,fr FRA,DF,25.0,8.8,676,62,278,296,107,15,676,11,8,72.7,1,9.1,480,2242,996,12,6,3,15,11,444,26,Matches
Arnau Tenas,es ESP,GK,22.0,5.9,220,199,218,2,0,0,220,0,0,0.0,0,0.0,168,710,397,0,0,0,0,0,131,0,Matches
Yoram Zague,fr FRA,DF,17.0,4.1,375,14,107,220,51,3,375,4,2,50.0,1,25.0,297,1310,606,2,7,0,2,1,277,4,Matches
Keylor Navas,cr CRC,GK,36.0,4.0,103,91,102,1,0,0,103,0,0,0.0,0,0.0,78,316,123,0,0,0,0,0,56,0,Matches
Senny Mayulu,fr FRA,"FW,MF",17.0,3.6,221,1,20,91,111,17,221,10,5,50.0,5,50.0,179,841,367,4,3,3,14,3,174,38,Matches
Nuno Mendes,pt POR,DF,21.0,3.0,245,5,48,126,72,10,245,10,6,60.0,4,40.0,187,995,530,12,11,2,2,3,174,25,Matches
Ethan Mbappé,fr FRA,"MF,DF",16.0,0.5,49,1,8,24,17,2,49,0,0,0.0,0,0.0,44,200,64,1,3,1,0,0,44,4,Matches
Cher Ndour,it ITA,MF,19.0,0.3,30,0,4,21,6,0,30,1,1,100.0,0,0.0,25,90,20,0,0,0,2,0,22,1,Matches
Hugo Ekitike,fr FRA,FW,21.0,0.1,11,0,0,1,10,2,11,0,0,0.0,0,0.0,11,56,6,0,0,1,2,1,11,3,Matches
Layvin Kurzawa,fr FRA,DF,30.0,0.1,14,0,6,6,2,0,14,1,0,0.0,1,100.0,10,51,27,0,0,0,0,0,10,1,Matches
Squad Total,0,0,24.7,34.0,27993,2331,7124,13880,7238,974,27984,815,401,49.2,364,44.7,22603,117799,57144,845,772,284,474,288,21334,1901,0
Opponent Total,0,0,25.8,34.0,16780,2288,6075,6819,4104,675,16775,646,319,49.4,283,43.8,11341,66099,28491,488,430,168,481,302,9998,1044,0
