Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Lucas Perrin,fr FRA,DF,24.0,30.3,14,0.46,12,0,0,1,1,0,1,0.03,1,0,0,0,0,0,Matches
Frederic Guilbert,fr FRA,"DF,MF",28.0,27.7,42,1.52,25,10,2,3,1,1,2,0.07,1,0,1,0,0,0,Matches
Habib Diarra,sn SEN,"MF,FW",19.0,25.6,51,1.99,38,0,5,1,4,3,4,0.16,2,0,1,0,1,0,Matches
Dilane Bakwa,fr FRA,"FW,MF",20.0,24.2,107,4.42,54,27,13,5,7,1,10,0.41,4,4,1,1,0,0,Matches
Thomas Delaine,fr FRA,"DF,MF",31.0,22.7,49,2.16,34,8,4,1,2,0,6,0.26,1,2,1,0,2,0,Matches
Marvin Senaya,tg TOG,"DF,MF",22.0,23.8,42,1.77,27,4,3,2,3,3,3,0.13,1,1,0,0,0,1,Matches
Emanuel Emegha,nl NED,FW,20.0,23.1,28,1.21,16,0,5,3,4,0,5,0.22,1,0,1,2,1,0,Matches
Abakar Sylla,ci CIV,DF,20.0,19.9,14,0.7,12,0,0,0,0,2,1,0.05,0,0,0,0,0,1,Matches
Matz Sels,be BEL,GK,31.0,19.0,2,0.11,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ismaël Doukouré,fr FRA,"MF,DF",20.0,18.4,24,1.3,19,1,0,0,1,3,0,0.0,0,0,0,0,0,0,Matches
Ibrahima Sissoko,ml MLI,MF,25.0,18.2,35,1.92,26,0,3,2,2,2,3,0.16,1,0,0,2,0,0,Matches
Junior Mwanga,fr FRA,"MF,FW",20.0,16.1,32,1.98,24,1,1,3,2,1,3,0.19,3,0,0,0,0,0,Matches
Alaa Bellaarouch,ma MAR,GK,21.0,15.0,1,0.07,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kévin Gameiro,fr FRA,"FW,MF",36.0,15.0,52,3.48,43,0,2,6,1,0,5,0.33,2,0,0,3,0,0,Matches
Gerzino Nyamsi,fr FRA,DF,26.0,12.1,10,0.82,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ângelo Borges,br BRA,"FW,MF",18.0,12.2,54,4.45,43,2,5,1,2,1,6,0.49,5,0,0,0,1,0,Matches
Andrey Santos,br BRA,MF,19.0,9.2,19,2.06,14,0,3,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Jessy Deminguet,fr FRA,"MF,FW",25.0,7.7,8,1.04,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Saidou Sow,gn GUI,DF,21.0,8.0,5,0.63,5,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
Dion Moise Sahi,ci CIV,"MF,FW",21.0,7.0,11,1.57,10,0,1,0,0,0,1,0.14,1,0,0,0,0,0,Matches
Lebo Mothiba,za RSA,FW,27.0,6.9,12,1.75,8,0,1,1,2,0,1,0.15,0,0,0,1,0,0,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",25.0,3.0,6,2.01,4,0,2,0,0,0,3,1.0,2,0,1,0,0,0,Matches
Jérémy Sebas,mq MTQ,"FW,MF",20.0,4.4,10,2.24,6,0,2,1,1,0,3,0.67,1,0,1,0,1,0,Matches
Rabby Nzingoula,cg CGO,"MF,FW",17.0,1.5,3,2.03,2,0,0,0,1,0,1,0.68,1,0,0,0,0,0,Matches
Aboubacar Ali,fr FRA,"MF,FW",17.0,1.4,1,0.69,1,0,0,0,0,0,1,0.69,1,0,0,0,0,0,Matches
Sanjin Prcić,ba BIH,MF,29.0,1.0,4,4.09,4,0,0,0,0,0,1,1.02,1,0,0,0,0,0,Matches
Eduard Sobol,ua UKR,DF,28.0,0.3,1,3.6,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mohamed Bechikh,fr FRA,"FW,MF",18.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Patrick Ouotro,ci CIV,FW,17.0,0.1,1,11.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Steven Baseya,fr FRA,DF,18.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,24.1,34.0,638,18.76,449,53,52,31,36,17,61,1.79,30,7,7,9,6,2,0
Opponent Total,0,0,26.0,34.0,706,20.76,505,66,27,61,35,12,78,2.29,61,3,3,6,4,1,0
