D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-13,20:45,Ligue 1,Matchweek 1,Sun,Home,W,2,1,Lyon,1.3,1.7,36,25410,Matz Sels,3-5-2,Jérôme Brisard,Match Report,0
2023-08-20,19:00,Ligue 1,Matchweek 2,Sun,Away,L,0,3,Monaco,0.5,0.9,44,10100,Matz Sels,3-5-2,Ruddy Buquet,Match Report,0
2023-08-27,15:00,Ligue 1,Matchweek 3,Sun,Home,W,2,0,Toulouse,3.4,0.3,39,25090,Matz Sels,3-4-3,Benoît Bastien,Match Report,0
2023-09-03,17:05,Ligue 1,Matchweek 4,Sun,Away,L,0,2,Nice,0.2,2.2,38,20215,Matz Sels,3-4-3,Jeremy Stinat,Match Report,0
2023-09-17,15:00,Ligue 1,Matchweek 5,Sun,Home,D,2,2,Montpellier,2.3,1.1,44,25128,Matz Sels,4-2-3-1,Pierre Gaillouste,Match Report,0
2023-09-24,13:00,Ligue 1,Matchweek 6,Sun,Away,W,1,0,Metz,0.4,1.1,48,26661,Matz Sels,4-3-3,Clément Turpin,Match Report,0
2023-09-29,21:00,Ligue 1,Matchweek 7,Fri,Home,L,0,1,Lens,0.3,0.8,48,26001,Matz Sels,4-3-3,Jérôme Brisard,Match Report,0
2023-10-06,21:00,Ligue 1,Matchweek 8,Fri,Home,L,1,2,Nantes,0.7,1.9,43,25274,Matz Sels,3-4-3,Stéphanie Frappart,Match Report,0
2023-10-21,17:00,Ligue 1,Matchweek 9,Sat,Away,L,0,3,Paris S-G,0.4,2.0,24,41261,Matz Sels,4-5-1,Bastien Dechepy,Match Report,0
2023-10-29,17:05,Ligue 1,Matchweek 10,Sun,Away,D,1,1,Rennes,1.0,1.1,39,28100,Matz Sels,4-2-3-1,Florent Batta,Match Report,0
2023-11-05,15:00,Ligue 1,Matchweek 11,Sun,Home,D,0,0,Clermont Foot,1.0,0.9,39,25039,Matz Sels,4-2-3-1,Jeremy Stinat,Match Report,0
2023-11-25,21:00,Ligue 1,Matchweek 13,Sat,Home,D,1,1,Marseille,1.1,1.4,40,25443,Matz Sels,4-4-1-1,Jérôme Brisard,Match Report,0
2023-12-01,21:00,Ligue 1,Matchweek 14,Fri,Away,L,1,2,Reims,1.7,1.3,49,14500,Matz Sels,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,0
2023-12-07,20:30,Ligue 1,Matchweek 12,Thu,Away,D,1,1,Brest,1.5,1.1,39,14569,Matz Sels,4-2-3-1,Jérémie Pignard,Match Report,0
2023-12-10,15:00,Ligue 1,Matchweek 15,Sun,Home,W,2,1,Le Havre,1.6,1.3,44,25173,Matz Sels,4-2-3-1,Benoît Millot,Match Report,0
2023-12-17,15:00,Ligue 1,Matchweek 16,Sun,Away,W,2,1,Lorient,0.9,0.8,48,14580,Matz Sels,4-2-3-1,Bastien Dechepy,Match Report,0
2023-12-20,21:00,Ligue 1,Matchweek 17,Wed,Home,W,2,1,Lille,0.8,0.5,32,25373,Matz Sels,4-2-3-1,Clément Turpin,Match Report,0
2024-01-06,18:00,Coupe de France,Round of 64,Sat,Away,W,4,0,Avoine Olympique CC,0.0,0.0,72,9484,Kévin Gameiro,4-2-3-1,Jeremy Stinat,Match Report,0
2024-01-12,21:00,Ligue 1,Matchweek 18,Fri,Away,D,1,1,Marseille,1.2,1.4,53,53616,Matz Sels,4-2-3-1,Marc Bollengier,Match Report,0
2024-01-21,17:30,Coupe de France,Round of 32,Sun,Away,W,3,1,Clermont Foot,0.0,0.0,51,8128,Frederic Guilbert,4-2-3-1,Mathieu Vernice,Match Report,0
2024-01-28,15:00,Ligue 1,Matchweek 19,Sun,Away,D,1,1,Clermont Foot,1.0,1.5,47,9047,Matz Sels,4-3-3,Benoît Millot,Match Report,0
2024-02-02,21:00,Ligue 1,Matchweek 20,Fri,Home,L,1,2,Paris S-G,2.7,2.0,38,25834,Frederic Guilbert,4-4-2,Ruddy Buquet,Match Report,0
2024-02-07,20:30,Coupe de France,Round of 16,Wed,Home,W,3,1,Le Havre,0.0,0.0,50,19563,Frederic Guilbert,4-2-3-1,Clément Turpin,Match Report,0
2024-02-10,17:00,Ligue 1,Matchweek 21,Sat,Away,L,1,3,Lens,1.8,1.6,50,38161,Frederic Guilbert,4-4-1-1,Willy Delajod,Match Report,0
2024-02-18,13:00,Ligue 1,Matchweek 22,Sun,Home,L,1,3,Lorient,1.5,2.0,62,25103,Frederic Guilbert,4-4-1-1,Thomas Léonard,Match Report,0
2024-02-24,21:00,Ligue 1,Matchweek 23,Sat,Home,L,0,3,Brest,0.2,1.8,48,25140,Frederic Guilbert,4-4-2,Jérôme Brisard,Match Report,0
2024-02-27,20:45,Coupe de France,Quarter-finals,Tue,Away,D,0 (3),0 (4),Lyon,0.0,0.0,37,55602,Frederic Guilbert,3-4-3,Benoît Bastien,Match Report,Lyon won on penalty kicks following extra time
2024-03-03,15:00,Ligue 1,Matchweek 24,Sun,Away,D,2,2,Montpellier,1.7,1.7,40,11635,Lucas Perrin,3-4-3,Stéphanie Frappart,Match Report,0
2024-03-10,15:00,Ligue 1,Matchweek 25,Sun,Home,L,0,1,Monaco,0.4,1.3,34,25391,Frederic Guilbert,3-4-3,Clément Turpin,Match Report,0
2024-03-16,17:00,Ligue 1,Matchweek 26,Sat,Away,W,3,1,Nantes,1.9,1.1,37,29487,Frederic Guilbert,3-4-3,Jérémie Pignard,Match Report,0
2024-03-31,17:05,Ligue 1,Matchweek 27,Sun,Home,W,2,0,Rennes,2.5,1.1,41,25407,Frederic Guilbert,3-4-3,Hakim Ben El Hadj Salem,Match Report,0
2024-04-07,15:00,Ligue 1,Matchweek 28,Sun,Away,D,0,0,Toulouse,0.5,1.0,52,23495,Frederic Guilbert,3-4-3,Ruddy Buquet,Match Report,0
2024-04-13,17:00,Ligue 1,Matchweek 29,Sat,Home,W,3,1,Reims,2.2,0.5,48,25000,Frederic Guilbert,3-4-3,Willy Delajod,Match Report,0
2024-04-21,15:00,Ligue 1,Matchweek 30,Sun,Away,L,0,1,Lille,1.3,0.8,47,40381,Frederic Guilbert,3-4-3,Benoît Millot,Match Report,0
2024-04-28,15:00,Ligue 1,Matchweek 31,Sun,Home,L,1,3,Nice,0.6,1.6,48,25181,Frederic Guilbert,3-4-3,Thomas Léonard,Match Report,0
2024-05-04,15:00,Ligue 1,Matchweek 32,Sat,Away,L,1,3,Le Havre,1.0,1.8,61,22293,Frederic Guilbert,3-4-3,Jérôme Brisard,Match Report,0
2024-05-12,21:00,Ligue 1,Matchweek 33,Sun,Home,W,2,1,Metz,1.3,1.1,70,25686,Frederic Guilbert,4-3-3,François Letexier,Match Report,0
2024-05-19,21:00,Ligue 1,Matchweek 34,Sun,Away,L,1,2,Lyon,1.1,2.8,37,57027,Frederic Guilbert,4-3-3,Eric Wattellier,Match Report,0
