Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Lucas Perrin,fr FRA,DF,24.0,30.3,3,0,0,34,28,1,5,28,30,1,2,1,134,48,34,58.5,Matches
Frederic Guilbert,fr FRA,"DF,MF",28.0,27.7,3,0,0,35,15,2,85,71,50,0,0,0,136,23,41,35.9,Matches
Habib Diarra,sn SEN,"MF,FW",19.0,25.6,3,0,0,40,41,1,22,17,23,0,0,0,112,14,25,35.9,Matches
Dilane Bakwa,fr FRA,"FW,MF",20.0,24.2,4,1,0,32,75,3,155,20,22,0,0,0,114,12,22,35.3,Matches
Thomas Delaine,fr FRA,"DF,MF",31.0,22.7,5,0,0,39,21,1,104,17,19,0,1,0,77,17,17,50.0,Matches
Marvin Senaya,tg TOG,"DF,MF",22.0,23.8,5,1,1,36,52,0,79,41,53,0,1,0,83,41,28,59.4,Matches
Emanuel Emegha,nl NED,FW,20.0,23.1,3,0,0,26,24,12,1,2,5,1,0,0,41,33,66,33.3,Matches
Abakar Sylla,ci CIV,DF,20.0,19.9,4,0,0,30,4,1,3,26,23,0,0,1,124,32,21,60.4,Matches
Matz Sels,be BEL,GK,31.0,19.0,2,0,0,0,3,0,0,0,0,0,0,0,13,4,0,100.0,Matches
Ismaël Doukouré,fr FRA,"MF,DF",20.0,18.4,4,0,0,19,11,0,0,19,16,0,0,1,100,14,17,45.2,Matches
Ibrahima Sissoko,ml MLI,MF,25.0,18.2,7,0,0,44,14,0,2,19,33,0,0,0,108,29,20,59.2,Matches
Junior Mwanga,fr FRA,"MF,FW",20.0,16.1,3,0,0,22,22,1,4,18,20,0,1,0,78,12,9,57.1,Matches
Alaa Bellaarouch,ma MAR,GK,21.0,15.0,1,0,0,0,3,0,0,1,0,0,0,0,18,4,0,100.0,Matches
Kévin Gameiro,fr FRA,"FW,MF",36.0,15.0,0,0,0,3,6,3,10,3,10,0,0,0,48,4,12,25.0,Matches
Gerzino Nyamsi,fr FRA,DF,26.0,12.1,1,0,0,13,0,0,1,10,14,0,0,0,75,20,11,64.5,Matches
Ângelo Borges,br BRA,"FW,MF",18.0,12.2,1,0,0,12,22,2,42,9,11,1,0,0,82,2,7,22.2,Matches
Andrey Santos,br BRA,MF,19.0,9.2,4,0,0,10,24,1,3,10,18,0,0,0,61,12,9,57.1,Matches
Jessy Deminguet,fr FRA,"MF,FW",25.0,7.7,1,0,0,16,9,1,9,9,9,0,0,0,40,6,6,50.0,Matches
Saidou Sow,gn GUI,DF,21.0,8.0,2,0,0,8,10,0,0,12,12,0,0,0,39,14,8,63.6,Matches
Dion Moise Sahi,ci CIV,"MF,FW",21.0,7.0,0,0,0,11,1,2,5,1,5,0,0,0,20,5,7,41.7,Matches
Lebo Mothiba,za RSA,FW,27.0,6.9,0,0,0,13,11,4,1,0,2,0,0,0,12,22,29,43.1,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",25.0,3.0,2,0,0,3,8,0,8,4,3,0,0,0,19,0,5,0.0,Matches
Jérémy Sebas,mq MTQ,"FW,MF",20.0,4.4,0,0,0,5,4,0,4,1,1,1,0,0,12,3,7,30.0,Matches
Rabby Nzingoula,cg CGO,"MF,FW",17.0,1.5,1,0,0,6,2,0,3,5,3,0,0,0,9,2,4,33.3,Matches
Aboubacar Ali,fr FRA,"MF,FW",17.0,1.4,0,0,0,4,1,0,6,1,0,0,0,0,5,1,5,16.7,Matches
Sanjin Prcić,ba BIH,MF,29.0,1.0,0,0,0,0,1,0,0,3,0,0,0,0,5,0,0,0.0,Matches
Eduard Sobol,ua UKR,DF,28.0,0.3,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0.0,Matches
Mohamed Bechikh,fr FRA,"FW,MF",18.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Patrick Ouotro,ci CIV,FW,17.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Steven Baseya,fr FRA,DF,18.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0.0,Matches
Squad Total,0,0,24.1,34.0,59,2,1,462,413,35,554,347,383,4,5,3,1568,374,413,47.5,0
Opponent Total,0,0,26.0,34.0,68,1,1,430,441,75,576,287,368,4,4,2,1630,413,374,52.5,0
