Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Lucas Perrin,fr FRA,DF,24.0,30.3,2122,350,1141,937,58,24,2122,10,5,50.0,4,40.0,1553,9267,5259,17,11,2,15,4,1446,8,Matches
Frederic Guilbert,fr FRA,"DF,MF",28.0,27.7,1843,143,652,831,379,17,1843,34,19,55.9,14,41.2,1151,6306,2506,32,35,3,26,13,1028,70,Matches
Habib Diarra,sn SEN,"MF,FW",19.0,25.6,1107,30,202,623,308,30,1106,60,33,55.0,20,33.3,859,5471,2388,59,62,10,37,28,786,88,Matches
Dilane Bakwa,fr FRA,"FW,MF",20.0,24.2,1158,20,127,487,577,75,1158,121,52,43.0,62,51.2,806,6019,2898,94,76,24,49,38,756,204,Matches
Thomas Delaine,fr FRA,"DF,MF",31.0,22.7,1097,59,304,415,386,26,1097,33,19,57.6,14,42.4,692,4524,2037,63,45,5,33,11,627,151,Matches
Marvin Senaya,tg TOG,"DF,MF",22.0,23.8,1465,81,458,693,329,27,1465,72,27,37.5,35,48.6,875,5438,2495,48,43,6,37,12,802,81,Matches
Emanuel Emegha,nl NED,FW,20.0,23.1,504,28,44,237,232,88,503,34,10,29.4,22,64.7,352,2016,598,24,19,13,46,29,366,115,Matches
Abakar Sylla,ci CIV,DF,20.0,19.9,1490,201,717,729,56,18,1490,13,9,69.2,4,30.8,1060,5999,3215,8,11,0,14,7,962,2,Matches
Matz Sels,be BEL,GK,31.0,19.0,664,582,657,7,0,0,664,0,0,0.0,0,0.0,452,2379,1252,0,0,0,0,0,345,0,Matches
Ismaël Doukouré,fr FRA,"MF,DF",20.0,18.4,919,56,273,585,72,2,919,31,22,71.0,9,29.0,672,3877,1720,15,16,0,11,24,607,7,Matches
Ibrahima Sissoko,ml MLI,MF,25.0,18.2,952,58,234,550,185,29,952,21,11,52.4,7,33.3,625,3371,1422,15,30,1,27,23,563,18,Matches
Junior Mwanga,fr FRA,"MF,FW",20.0,16.1,714,44,188,370,168,25,714,46,28,60.9,15,32.6,471,3113,1427,28,20,6,32,24,425,37,Matches
Alaa Bellaarouch,ma MAR,GK,21.0,15.0,542,413,540,3,0,0,542,0,0,0.0,0,0.0,415,2305,1282,0,1,1,0,0,300,0,Matches
Kévin Gameiro,fr FRA,"FW,MF",36.0,15.0,571,5,51,272,256,46,569,13,7,53.8,5,38.5,448,2487,909,26,25,10,25,15,428,81,Matches
Gerzino Nyamsi,fr FRA,DF,26.0,12.1,739,122,416,314,13,10,739,3,3,100.0,0,0.0,552,2838,1185,3,1,0,5,1,489,3,Matches
Ângelo Borges,br BRA,"FW,MF",18.0,12.2,593,7,76,261,282,27,593,56,30,53.6,23,41.1,464,4032,1883,50,47,6,44,24,411,109,Matches
Andrey Santos,br BRA,MF,19.0,9.2,614,15,135,398,86,7,614,19,8,42.1,9,47.4,476,2609,1018,5,19,0,12,10,437,15,Matches
Jessy Deminguet,fr FRA,"MF,FW",25.0,7.7,334,10,67,199,75,8,334,7,2,28.6,4,57.1,238,1408,438,7,10,1,11,5,209,13,Matches
Saidou Sow,gn GUI,DF,21.0,8.0,440,60,230,202,14,6,440,6,4,66.7,1,16.7,315,1797,1010,1,3,0,3,3,281,0,Matches
Dion Moise Sahi,ci CIV,"MF,FW",21.0,7.0,268,4,35,129,109,29,268,13,4,30.8,9,69.2,187,1154,503,13,10,4,22,6,179,42,Matches
Lebo Mothiba,za RSA,FW,27.0,6.9,183,13,17,64,103,37,183,5,4,80.0,1,20.0,141,806,280,8,6,5,16,11,152,27,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",25.0,3.0,135,2,27,68,44,5,135,15,8,53.3,5,33.3,102,751,275,9,7,1,6,13,88,10,Matches
Jérémy Sebas,mq MTQ,"FW,MF",20.0,4.4,123,4,14,44,69,14,123,18,10,55.6,8,44.4,97,797,329,13,9,7,9,8,97,39,Matches
Rabby Nzingoula,cg CGO,"MF,FW",17.0,1.5,68,3,16,31,23,2,68,4,2,50.0,2,50.0,40,283,125,3,3,1,3,2,33,6,Matches
Aboubacar Ali,fr FRA,"MF,FW",17.0,1.4,56,1,4,19,35,7,56,3,1,33.3,2,66.7,41,312,79,3,1,1,4,2,36,12,Matches
