Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Guillaume Restes,fr FRA,GK,18.0,34.0,897,604,291,97,0,0,0,1,0,0,0,0,666,2,2,Matches
Rasmus Nicolaisen,dk DEN,DF,26.0,32.5,1679,1616,61,42,1,4,0,4,0,0,0,0,1426,2,6,Matches
Logan Costa,cv CPV,DF,22.0,29.4,1784,1676,106,52,0,14,12,19,0,0,0,0,1491,2,14,Matches
Thijs Dallinga,nl NED,FW,22.0,27.9,621,591,28,1,0,7,14,2,0,0,0,0,416,2,24,Matches
Gabriel Suazo,cl CHI,DF,25.0,26.2,1482,1220,258,48,8,8,101,189,21,8,11,0,1163,4,41,Matches
Vincent Sierro,ch SUI,MF,27.0,25.1,1316,1146,166,59,4,13,111,6,81,30,44,0,1020,4,28,Matches
Cristian Cásseres Jr.,ve VEN,MF,23.0,21.6,1030,961,67,39,3,6,22,10,10,4,3,0,837,2,24,Matches
Aron Dønnum,no NOR,"FW,MF",25.0,17.7,571,545,24,5,4,13,28,10,9,2,5,0,428,2,17,Matches
Mikkel Desler,dk DEN,DF,28.0,17.2,944,775,169,20,0,1,30,149,0,0,0,0,788,0,23,Matches
Stijn Spierings,nl NED,MF,27.0,16.8,1089,1037,48,38,3,15,11,7,2,1,1,0,944,4,17,Matches
Moussa Diarra,ml MLI,DF,22.0,15.5,680,587,90,25,1,2,16,59,0,0,0,0,550,3,19,Matches
Niklas Schmidt,de GER,MF,25.0,14.1,840,777,56,25,3,11,50,7,18,6,9,0,679,7,14,Matches
Frank Magri,cm CMR,"FW,MF",23.0,16.0,333,323,9,0,3,1,17,4,0,0,0,0,231,1,11,Matches
Yann Gboho,fr FRA,"MF,FW",22.0,13.3,285,277,2,1,5,0,15,0,0,0,0,0,211,6,26,Matches
Waren Kamanzi,no NOR,"DF,FW",22.0,13.2,604,537,63,6,0,1,20,57,0,0,0,0,502,4,10,Matches
Christian Mawissa,fr FRA,DF,18.0,12.4,617,562,55,7,0,3,4,44,0,0,0,0,511,0,9,Matches
Gelabert,es ESP,"MF,FW",22.0,8.4,356,339,16,5,6,3,9,2,5,0,3,0,275,1,16,Matches
Zakaria Aboukhlal,ma MAR,"MF,FW",23.0,8.4,196,185,11,1,0,0,5,9,0,0,0,0,140,0,7,Matches
Kévin Keben Biakolo,cm CMR,DF,19.0,5.8,260,222,38,3,0,0,3,35,0,0,0,0,209,0,7,Matches
Denis Genreau,au AUS,"MF,FW",24.0,5.2,205,197,8,1,2,0,7,2,0,0,0,0,148,0,15,Matches
Shavy Babicka,ga GAB,"FW,MF",23.0,4.1,127,122,3,0,0,0,13,3,0,0,0,0,77,2,10,Matches
Yanis Begraoui,ma MAR,"FW,MF",22.0,3.3,97,89,6,1,0,0,5,1,2,0,1,0,70,2,1,Matches
Ibrahim Cissoko,nl NED,"FW,MF",20.0,2.7,116,114,2,0,0,0,20,2,0,0,0,0,89,0,4,Matches
Naatan Skyttä,fi FIN,"MF,FW",21.0,1.3,61,59,2,0,0,0,2,0,1,1,0,0,56,0,0,Matches
Mamady Bangré,bf BFA,"FW,MF",22.0,1.1,74,74,0,0,0,0,4,0,0,0,0,0,59,0,3,Matches
Fares Chaïbi,dz ALG,"FW,MF",20.0,0.6,40,38,2,0,0,0,7,0,2,1,1,0,28,0,0,Matches
Squad Total,0,0,23.8,34.0,16304,14673,1581,476,43,102,526,622,151,53,78,0,13014,50,348,0
Opponent Total,0,0,25.9,34.0,17445,15791,1618,527,30,75,605,618,177,72,75,2,14170,36,318,0
