Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Manuel Fuster,es ESP,"MF,FW",26-243,38.5,40,22,17,18,5,19,73,26.0,54,31,3,28,15,55,23,0,Matches
Antonio Cristian Glauder García,es ESP,DF,28-247,37.6,72,36,40,31,1,37,50,74.0,13,41,27,14,52,124,157,0,Matches
Riki Rodríguez,es ESP,MF,26-270,36.1,64,36,19,32,13,33,61,54.1,28,37,14,23,47,111,42,1,Matches
Lander Olaetxea,es ESP,"MF,DF",31-070,34.0,81,52,35,38,8,46,89,51.7,43,39,19,20,52,133,71,0,Matches
Agus Medina,es ESP,MF,29-287,29.0,77,43,32,36,9,39,89,43.8,50,43,8,35,37,114,35,0,Matches
Alberto Quiles,es ESP,"FW,MF",29-055,26.6,25,15,6,14,5,6,17,35.3,11,15,1,14,7,32,25,1,Matches
Bernabé Barragán,es ESP,GK,31-124,25.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,15,0,Matches
Juanma,es ESP,"FW,MF",31-122,24.1,24,16,11,10,3,11,25,44.0,14,29,0,29,9,33,6,0,Matches
Julio Alonso,es ESP,DF,25-190,23.6,61,31,31,23,7,30,52,57.7,22,31,6,25,20,81,39,0,Matches
Mohammed Djetei,cm CMR,DF,29-308,21.5,16,11,12,4,0,8,11,72.7,3,23,18,5,31,47,106,3,Matches
Carlos Isaac,es ESP,"DF,MF",26-052,21.5,46,32,22,18,6,23,42,54.8,19,20,3,17,26,72,57,0,Matches
Dani Escriche,es ESP,FW,26-089,20.9,21,7,4,11,6,3,9,33.3,6,17,1,16,12,33,18,0,Matches
Álvaro Rodríguez,es ESP,DF,29-335,19.9,43,32,27,8,8,23,58,39.7,35,22,6,16,14,57,41,0,Matches
Jonathan Silva,ar ARG,DF,29-358,18.4,49,31,20,24,5,30,41,73.2,11,18,4,14,11,60,38,0,Matches
Higinio Marín,es ESP,FW,30-246,14.9,16,9,2,12,2,3,7,42.9,4,17,5,12,2,18,16,0,Matches
Tomáš Vaclík,cz CZE,GK,35-084,12.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0,Matches
Juan Antonio Ros,es ESP,DF,28-098,12.2,11,10,9,2,0,6,7,85.7,1,4,2,2,15,26,57,2,Matches
Kaiky,br BRA,DF,20-161,10.5,8,3,5,3,0,3,5,60.0,2,10,7,3,7,15,61,0,Matches
Fidel,es ESP,"MF,FW",34-238,8.3,10,6,5,5,0,4,12,33.3,8,6,1,5,2,12,2,1,Matches
Rai Marchán,es ESP,MF,30-315,6.3,18,13,9,9,0,4,9,44.4,5,12,2,10,6,24,10,0,Matches
Altube,es ESP,GK,24-120,5.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,Matches
Antonio Pacheco,es ESP,MF,22-170,6.7,22,15,11,7,4,13,27,48.1,14,4,1,3,8,30,3,0,Matches
Toni Datković,hr CRO,DF,30-228,3.6,6,3,2,4,0,0,3,0.0,3,1,0,1,3,9,15,0,Matches
Samuel Shashoua,eng ENG,"FW,MF",25-039,2.8,11,9,5,4,2,2,3,66.7,1,9,0,9,0,11,0,0,Matches
Pedro Benito,es ESP,FW,24-086,0.6,2,0,0,2,0,0,0,0.0,0,0,0,0,0,2,0,0,Matches
Jovanny Bolívar,ve VEN,FW,22-188,0.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,Matches
Javi Vargas,es ESP,MF,23-107,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,28.7,42.0,723,432,324,315,84,343,690,49.7,347,430,128,302,376,1099,845,8,0
Opponent Total,0,0,27.7,42.0,686,422,381,244,61,315,598,52.7,283,524,142,382,393,1079,998,11,0
