Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Manuel Fuster,es ESP,"MF,FW",26-243,38.5,1479,2011,73.5,28015,8125,669,783,85.4,527,654,80.6,237,416,57.0,11,7.5,8.7,3.5,75,158,88,12,266,Matches
Antonio Cristian Glauder García,es ESP,DF,28-247,37.6,1296,1604,80.8,26300,10220,346,411,84.2,781,846,92.3,157,307,51.1,1,0.4,0.2,0.6,1,81,0,0,77,Matches
Riki Rodríguez,es ESP,MF,26-270,36.1,1383,1660,83.3,24892,7515,576,653,88.2,641,721,88.9,138,207,66.7,3,1.4,2.9,1.6,34,201,30,1,239,Matches
Lander Olaetxea,es ESP,"MF,DF",31-070,34.0,1157,1487,77.8,20076,7220,515,605,85.1,525,638,82.3,97,166,58.4,2,2.1,1.6,-0.1,15,124,16,0,146,Matches
Agus Medina,es ESP,MF,29-287,29.0,890,1245,71.5,14121,5414,476,575,82.8,282,379,74.4,86,168,51.2,1,3.4,4.6,-2.4,47,96,34,8,137,Matches
Alberto Quiles,es ESP,"FW,MF",29-055,26.6,413,578,71.5,5248,1353,269,336,80.1,90,125,72.0,17,33,51.5,3,2.1,1.9,0.9,15,35,15,2,55,Matches
Bernabé Barragán,es ESP,GK,31-124,25.0,404,628,64.3,12604,10098,73,73,100.0,175,179,97.8,154,370,41.6,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Juanma,es ESP,"FW,MF",31-122,24.1,607,823,73.8,7943,2418,382,460,83.0,159,214,74.3,20,48,41.7,2,2.4,2.3,-0.4,27,35,23,3,88,Matches
Julio Alonso,es ESP,DF,25-190,23.6,932,1313,71.0,14729,6299,528,605,87.3,291,425,68.5,77,196,39.3,0,2.2,2.5,-2.2,30,76,36,17,91,Matches
Mohammed Djetei,cm CMR,DF,29-308,21.5,775,962,80.6,15564,4896,228,265,86.0,445,504,88.3,95,169,56.2,0,0.0,0.1,0.0,0,41,1,0,38,Matches
Carlos Isaac,es ESP,"DF,MF",26-052,21.5,838,1207,69.4,12885,5609,455,530,85.8,306,458,66.8,49,134,36.6,1,1.7,2.4,-0.7,18,63,31,10,87,Matches
Dani Escriche,es ESP,FW,26-089,20.9,330,498,66.3,4436,849,202,270,74.8,93,137,67.9,15,27,55.6,4,3.6,2.5,0.4,29,20,13,2,43,Matches
Álvaro Rodríguez,es ESP,DF,29-335,19.9,785,1146,68.5,12941,6044,391,463,84.4,314,452,69.5,58,156,37.2,3,2.3,3.1,0.7,22,58,30,12,84,Matches
Jonathan Silva,ar ARG,DF,29-358,18.4,584,859,68.0,9748,4798,300,348,86.2,218,311,70.1,48,152,31.6,0,1.7,2.2,-1.7,15,46,22,12,64,Matches
Higinio Marín,es ESP,FW,30-246,14.9,160,245,65.3,2175,362,84,119,70.6,57,83,68.7,5,8,62.5,3,3.0,1.5,0.0,15,12,3,0,17,Matches
Tomáš Vaclík,cz CZE,GK,35-084,12.0,225,324,69.4,7192,5760,42,42,100.0,90,90,100.0,92,191,48.2,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Juan Antonio Ros,es ESP,DF,28-098,12.2,549,650,84.5,10883,4366,173,191,90.6,316,349,90.5,59,102,57.8,0,0.1,0.2,-0.1,3,34,1,1,31,Matches
Kaiky,br BRA,DF,20-161,10.5,319,411,77.6,6627,2986,85,96,88.5,186,211,88.2,41,90,45.6,0,0.0,0.1,0.0,0,20,1,0,23,Matches
Fidel,es ESP,"MF,FW",34-238,8.3,324,469,69.1,4897,1661,184,216,85.2,88,127,69.3,27,72,37.5,2,2.6,1.9,-0.6,23,29,18,3,55,Matches
Rai Marchán,es ESP,MF,30-315,6.3,275,334,82.3,4606,1634,129,151,85.4,117,133,88.0,20,31,64.5,0,0.0,0.2,0.0,1,28,2,0,33,Matches
Altube,es ESP,GK,24-120,5.0,70,133,52.6,2572,2021,7,7,100.0,29,30,96.7,34,96,35.4,0,0.0,0.0,0.0,0,4,0,0,0,Matches
Antonio Pacheco,es ESP,MF,22-170,6.7,345,397,86.9,5252,1613,190,208,91.3,121,135,89.6,19,27,70.4,1,1.1,0.9,-0.1,11,53,5,0,44,Matches
