Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Manuel Fuster,es ESP,"MF,FW",26-243,42,40,3468.0,38.5,8.0,11.0,19.0,8.0,0.0,2.0,3.0,0.0,9.7,8.1,7.5,15.6,131.0,266.0,270.0,0.21,0.29,0.49,0.21,0.49,0.25,0.2,0.45,0.21,0.41,Matches
Antonio Cristian Glauder García,es ESP,DF,28-247,39,39,3381.0,37.6,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,1.5,1.5,0.4,1.9,10.0,77.0,2.0,0.08,0.03,0.11,0.08,0.11,0.04,0.01,0.05,0.04,0.05,Matches
Riki Rodríguez,es ESP,MF,26-270,39,37,3247.0,36.1,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,1.4,1.4,1.4,2.8,40.0,239.0,41.0,0.0,0.08,0.08,0.0,0.08,0.04,0.04,0.08,0.04,0.08,Matches
Lander Olaetxea,es ESP,"MF,DF",31-070,37,36,3061.0,34.0,2.0,2.0,4.0,2.0,0.0,0.0,14.0,0.0,2.3,2.3,2.1,4.4,15.0,146.0,44.0,0.06,0.06,0.12,0.06,0.12,0.07,0.06,0.13,0.07,0.13,Matches
Agus Medina,es ESP,MF,29-287,35,31,2612.0,29.0,4.0,1.0,5.0,4.0,0.0,0.0,7.0,1.0,3.8,3.8,3.4,7.2,38.0,137.0,138.0,0.14,0.03,0.17,0.14,0.17,0.13,0.12,0.25,0.13,0.25,Matches
Alberto Quiles,es ESP,"FW,MF",29-055,42,25,2391.0,26.6,10.0,3.0,13.0,8.0,2.0,3.0,4.0,0.0,10.2,8.0,2.1,10.1,49.0,55.0,148.0,0.38,0.11,0.49,0.3,0.41,0.39,0.08,0.47,0.3,0.38,Matches
Bernabé Barragán,es ESP,GK,31-124,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juanma,es ESP,"FW,MF",31-122,37,24,2167.0,24.1,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,3.5,3.5,2.4,6.0,24.0,88.0,159.0,0.12,0.08,0.21,0.12,0.21,0.15,0.1,0.25,0.15,0.25,Matches
Julio Alonso,es ESP,DF,25-190,34,23,2123.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,2.2,2.8,45.0,91.0,132.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,Matches
Mohammed Djetei,cm CMR,DF,29-308,26,23,1935.0,21.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.0,0.8,7.0,38.0,1.0,0.05,0.0,0.05,0.05,0.05,0.04,0.0,0.04,0.04,0.04,Matches
Carlos Isaac,es ESP,"DF,MF",26-052,32,22,1939.0,21.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,1.7,2.7,39.0,87.0,136.0,0.05,0.05,0.09,0.05,0.09,0.04,0.08,0.12,0.04,0.12,Matches
Dani Escriche,es ESP,FW,26-089,33,22,1882.0,20.9,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,6.3,6.3,3.6,9.8,45.0,43.0,167.0,0.14,0.19,0.33,0.14,0.33,0.3,0.17,0.47,0.3,0.47,Matches
Álvaro Rodríguez,es ESP,DF,29-335,30,21,1789.0,19.9,2.0,3.0,5.0,2.0,0.0,0.0,8.0,1.0,0.9,0.9,2.3,3.2,51.0,84.0,113.0,0.1,0.15,0.25,0.1,0.25,0.04,0.12,0.16,0.04,0.16,Matches
