Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Manuel Fuster,es ESP,"MF,FW",26-243,38.5,2448,33,241,1042,1201,125,2446,119,51,42.9,58,48.7,1484,8429,4294,131,120,26,75,81,1766,270,Matches
Antonio Cristian Glauder García,es ESP,DF,28-247,37.6,2015,277,1099,864,60,38,2015,5,4,80.0,1,20.0,987,4420,2206,10,7,1,27,5,1145,2,Matches
Riki Rodríguez,es ESP,MF,26-270,36.1,2005,61,353,1239,432,28,2005,48,32,66.7,14,29.2,1069,5484,2544,40,44,8,39,22,1284,41,Matches
Lander Olaetxea,es ESP,"MF,DF",31-070,34.0,1845,108,550,1020,286,48,1845,23,13,56.5,10,43.5,846,3727,1632,15,19,4,30,15,1033,44,Matches
Agus Medina,es ESP,MF,29-287,29.0,1593,45,287,726,603,87,1593,51,19,37.3,29,56.9,723,3549,1582,38,35,9,48,30,959,138,Matches
Alberto Quiles,es ESP,"FW,MF",29-055,26.6,879,26,95,362,433,100,876,50,24,48.0,21,42.0,490,2847,1283,49,33,23,73,36,634,148,Matches
Bernabé Barragán,es ESP,GK,31-124,25.0,679,583,678,1,0,0,679,0,0,0.0,0,0.0,295,1817,1118,0,0,0,1,0,211,0,Matches
Juanma,es ESP,"FW,MF",31-122,24.1,1046,12,113,403,537,69,1046,32,9,28.1,20,62.5,522,2029,835,24,23,8,48,32,723,159,Matches
Julio Alonso,es ESP,DF,25-190,23.6,1569,63,448,648,490,33,1569,35,20,57.1,10,28.6,715,3453,1863,45,26,5,36,13,810,132,Matches
Mohammed Djetei,cm CMR,DF,29-308,21.5,1182,165,652,499,41,15,1182,5,2,40.0,3,60.0,589,2675,1392,7,3,2,12,4,658,1,Matches
Carlos Isaac,es ESP,"DF,MF",26-052,21.5,1443,56,333,586,533,39,1443,25,11,44.0,13,52.0,700,3032,1613,39,31,8,31,8,826,136,Matches
Dani Escriche,es ESP,FW,26-089,20.9,828,20,62,316,451,129,828,49,13,26.5,34,69.4,461,2680,1078,45,32,18,73,45,585,167,Matches
Álvaro Rodríguez,es ESP,DF,29-335,19.9,1366,46,293,601,492,33,1366,58,28,48.3,29,50.0,583,3419,1717,51,38,9,24,8,691,113,Matches
Jonathan Silva,ar ARG,DF,29-358,18.4,1062,56,297,446,322,34,1062,25,8,32.0,16,64.0,432,1919,1062,29,18,6,27,9,507,83,Matches
Higinio Marín,es ESP,FW,30-246,14.9,454,18,35,184,245,83,454,37,12,32.4,23,62.2,250,1288,483,13,13,6,53,29,328,73,Matches
Tomáš Vaclík,cz CZE,GK,35-084,12.0,352,319,350,2,0,0,352,0,0,0.0,0,0.0,133,722,492,0,0,0,1,0,82,0,Matches
Juan Antonio Ros,es ESP,DF,28-098,12.2,760,106,409,331,22,10,760,2,1,50.0,0,0.0,383,1633,900,4,4,1,4,0,472,0,Matches
Kaiky,br BRA,DF,20-161,10.5,512,99,293,212,8,3,512,4,2,50.0,2,50.0,260,1334,886,1,0,0,3,2,267,0,Matches
Fidel,es ESP,"MF,FW",34-238,8.3,560,6,62,224,282,35,560,34,19,55.9,13,38.2,330,1608,755,24,9,8,26,16,406,66,Matches
Rai Marchán,es ESP,MF,30-315,6.3,399,20,131,235,38,7,399,2,0,0.0,2,100.0,156,640,312,4,2,0,3,3,219,2,Matches
Altube,es ESP,GK,24-120,5.0,145,120,143,2,0,0,145,0,0,0.0,0,0.0,64,404,255,0,0,0,0,0,48,0,Matches
Antonio Pacheco,es ESP,MF,22-170,6.7,480,9,78,268,138,16,480,16,7,43.8,7,43.8,281,1380,618,12,11,4,9,6,348,17,Matches
Toni Datković,hr CRO,DF,30-228,3.6,127,13,69,51,8,5,127,0,0,0.0,0,0.0,36,143,25,0,0,0,2,0,52,0,Matches
Samuel Shashoua,eng ENG,"FW,MF",25-039,2.8,213,2,18,71,125,18,213,11,3,27.3,7,63.6,140,824,381,11,11,3,12,5,159,27,Matches
Pedro Benito,es ESP,FW,24-086,0.6,24,0,3,14,7,1,24,5,2,40.0,3,60.0,12,147,45,3,3,0,1,2,11,4,Matches
Jovanny Bolívar,ve VEN,FW,22-188,0.5,8,2,2,3,3,1,8,3,3,100.0,0,0.0,3,53,41,2,1,1,0,0,5,1,Matches
Javi Vargas,es ESP,MF,23-107,0.0,3,0,2,1,0,0,3,0,0,0.0,0,0.0,2,3,2,0,0,0,1,0,1,0,Matches
Squad Total,0,0,28.7,42.0,23997,2265,7096,10351,6757,957,23992,639,283,44.3,315,49.3,11946,59659,29414,597,483,150,659,371,14230,1624,0
Opponent Total,0,0,27.7,42.0,24984,2750,8536,11068,5626,760,24974,736,347,47.1,343,46.6,13092,69368,34314,666,504,126,754,380,15120,1415,0
