D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-11,19:00,La Liga 2,Matchweek 1,Fri,Home,D,1,1,Levante,1.4,1.3,42.0,1297,Iker Seguín,4-2-3-1,Dámaso Arcediano,Match Report,0.0
2023-08-20,22:00,La Liga 2,Matchweek 2,Sun,Away,D,2,2,Albacete,1.5,1.7,40.0,10231,Xabier Etxeita,4-2-3-1,Iosu Galech,Match Report,0.0
2023-08-27,19:30,La Liga 2,Matchweek 3,Sun,Home,W,3,0,FC Andorra,0.7,0.8,25.0,1015,Iker Seguín,4-2-3-1,Germán Cid Camacho,Match Report,0.0
2023-09-03,18:30,La Liga 2,Matchweek 4,Sun,Away,L,2,3,Espanyol,0.9,3.4,41.0,19510,Xabier Etxeita,4-4-2,Manuel Orellana,Match Report,0.0
2023-09-10,16:15,La Liga 2,Matchweek 5,Sun,Away,L,0,1,Racing Sant,0.2,0.8,59.0,12488,Xabier Etxeita,4-4-2,Miguel González,Match Report,0.0
2023-09-17,14:00,La Liga 2,Matchweek 6,Sun,Home,W,2,0,CD Mirandés,1.2,0.9,42.0,1248,Xabier Etxeita,4-2-3-1,Daniel Trujillo,Match Report,0.0
2023-09-24,14:00,La Liga 2,Matchweek 7,Sun,Away,L,1,3,Villarreal B,0.6,2.1,47.0,1233,Xabier Etxeita,4-1-4-1,Luis Milla,Match Report,0.0
2023-10-01,18:30,La Liga 2,Matchweek 8,Sun,Home,D,0,0,Cartagena,0.3,0.5,57.0,1141,Josué Dorrio,4-2-3-1,Oliver De La Fuente,Match Report,0.0
2023-10-05,21:30,La Liga 2,Matchweek 9,Thu,Away,L,0,1,Racing Ferrol,0.1,0.7,54.0,5832,Iker Seguín,4-4-2,Saúl Ais,Match Report,0.0
2023-10-08,14:00,La Liga 2,Matchweek 10,Sun,Home,L,1,2,Eibar,1.4,2.2,46.0,2031,Josué Dorrio,4-2-3-1,Raúl González,Match Report,0.0
2023-10-15,18:30,La Liga 2,Matchweek 11,Sun,Away,L,0,6,Leganés,0.7,2.3,54.0,7696,Josué Dorrio,4-2-3-1,Andrés Fuentes,Match Report,0.0
2023-10-21,16:15,La Liga 2,Matchweek 12,Sat,Home,D,0,0,Oviedo,0.5,1.3,35.0,1493,Xabier Etxeita,4-4-2,José Guzmán,Match Report,0.0
2023-10-28,14:00,La Liga 2,Matchweek 13,Sat,Away,L,0,2,Eldense,0.6,1.2,52.0,3205,Josué Dorrio,4-4-2,Daniel Trujillo,Match Report,0.0
2023-11-05,16:15,La Liga 2,Matchweek 14,Sun,Home,L,0,1,Huesca,0.2,1.7,50.0,1137,Iker Seguín,4-4-1-1,Oliver De La Fuente,Match Report,0.0
2023-11-11,21:00,La Liga 2,Matchweek 15,Sat,Away,D,1,1,Sporting Gijón,0.7,1.8,38.0,18972,Kwasi Sibo,3-4-3,Iván Caparrós,Match Report,0.0
2023-11-18,18:30,La Liga 2,Matchweek 16,Sat,Home,W,2,0,Tenerife,0.4,1.8,36.0,1193,Jon Mikel Magunagoitia,3-4-3,Salvador Lax,Match Report,0.0
2023-11-26,16:15,La Liga 2,Matchweek 17,Sun,Away,L,0,2,Elche,0.7,0.8,40.0,14042,Josué Dorrio,3-4-3,Dámaso Arcediano,Match Report,0.0
2023-12-03,21:00,La Liga 2,Matchweek 18,Sun,Home,L,0,1,Burgos,0.6,0.4,57.0,1088,Josué Dorrio,5-4-1,Iosu Galech,Match Report,0.0
2023-12-06,19:00,Copa del Rey,Second round,Wed,Away,W,1,0,Levante,0.0,0.0,0.0,11216,Iker Seguín,4-4-2,Miguel Sesma,Match Report,0.0
2023-12-09,16:15,La Liga 2,Matchweek 19,Sat,Away,L,1,2,Valladolid,0.9,1.6,34.0,15467,Jon Mikel Magunagoitia,3-4-3,Rafael Sánchez,Match Report,0.0
2023-12-17,18:30,La Liga 2,Matchweek 20,Sun,Home,D,1,1,Zaragoza,2.2,1.4,49.0,1604,Eneko Jauregi,4-4-2,José López,Match Report,0.0
2023-12-21,21:30,La Liga 2,Matchweek 21,Thu,Home,L,1,2,Alcorcón,1.3,1.9,69.0,890,Eneko Jauregi,4-4-2,Luis Milla,Match Report,0.0
2024-01-07,12:00,Copa del Rey,Round of 32,Sun,Home,L,2,4,Celta Vigo,0.0,0.0,45.0,1300,Iker Seguín,4-4-2,José Luis Munuera,Match Report,0.0
2024-01-13,18:30,La Liga 2,Matchweek 22,Sat,Away,D,1,1,Oviedo,1.0,0.6,42.0,16307,Xabier Etxeita,4-4-2,Oliver De La Fuente,Match Report,0.0
2024-01-20,16:15,La Liga 2,Matchweek 23,Sat,Home,L,0,2,Eldense,0.4,0.9,57.0,927,Xabier Etxeita,4-4-2,Álvaro Moreno,Match Report,0.0
2024-01-27,16:15,La Liga 2,Matchweek 24,Sat,Away,L,0,1,Cartagena,0.6,1.3,57.0,9997,Xabier Etxeita,4-4-2,Raúl González,Match Report,0.0
2024-02-04,16:15,La Liga 2,Matchweek 25,Sun,Home,L,0,1,Racing Sant,0.7,1.2,55.0,1766,Xabier Etxeita,4-4-2,Iván Caparrós,Match Report,0.0
2024-02-10,16:15,La Liga 2,Matchweek 26,Sat,Home,W,1,0,Elche,1.1,1.6,30.0,747,Iker Seguín,3-4-3,Miguel González,Match Report,0.0
