Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Josué Dorrio,es ESP,"MF,FW",30-110,37.5,3,0,0,42,52,4,179,18,24,2,0,0,140,26,67,28.0,Matches
Kwasi Sibo,gh GHA,MF,25-363,34.9,8,1,0,54,19,3,6,37,49,0,2,0,235,66,62,51.6,Matches
Núñez,es ESP,"DF,MF",23-350,35.0,8,0,0,32,36,2,166,34,34,0,0,0,163,24,40,37.5,Matches
Felix Garreta,es ESP,DF,20-061,27.6,6,1,0,29,9,1,4,43,29,0,0,1,124,51,37,58.0,Matches
Pablo Cuñat,es ESP,GK,22-054,26.0,1,0,0,0,4,0,0,0,0,0,0,0,45,7,0,100.0,Matches
Xabier Etxeita,es ESP,DF,36-234,25.3,5,0,0,18,7,0,1,22,18,0,1,0,83,26,39,40.0,Matches
Eneko Jauregi,es ESP,FW,27-344,25.2,3,0,0,42,51,9,10,6,2,0,0,0,50,100,103,49.3,Matches
Daniel Lasure,es ESP,"DF,MF",30-115,24.2,5,0,0,26,10,0,58,23,23,0,1,0,105,23,30,43.4,Matches
Jon Morcillo,es ESP,"MF,FW",25-280,23.4,2,0,0,13,23,4,205,19,12,0,0,0,117,6,26,18.8,Matches
Àlex Carbonell,es ESP,MF,26-280,21.8,6,1,1,38,47,0,20,29,24,0,0,0,159,47,27,63.5,Matches
Erik Morán,es ESP,MF,33-027,19.2,6,0,0,25,9,1,9,19,20,0,0,0,113,15,14,51.7,Matches
Manu Hernando,es ESP,DF,25-338,21.3,5,0,0,21,13,1,5,31,20,0,0,0,104,62,25,71.3,Matches
Josep Antoni Gayá,es ESP,DF,23-350,17.2,7,0,0,27,7,0,2,25,26,0,1,0,86,45,22,67.2,Matches
Unai Bustinza,es ESP,DF,32-140,16.5,6,1,1,20,26,3,12,22,20,0,0,1,55,36,29,55.4,Matches
Jon Mikel Magunagoitia,es ESP,GK,23-320,16.0,1,0,0,0,4,0,0,0,0,0,0,0,23,9,0,100.0,Matches
Ryan Edwards,au AUS,"MF,FW",30-217,14.8,2,0,0,32,15,4,11,7,10,0,1,0,66,20,52,27.8,Matches
Rayco Rodríguez Medina,es ESP,"MF,FW",27-210,13.1,1,0,0,16,28,4,39,8,8,0,0,0,74,27,35,43.5,Matches
Jorge Mier,es ESP,"DF,MF",25-138,11.6,2,0,0,22,7,0,27,11,22,0,0,0,44,13,18,41.9,Matches
Iker Unzueta,es ESP,FW,25-322,11.1,0,0,0,14,27,7,3,2,0,0,0,0,33,29,38,43.3,Matches
Javier Eraso,es ESP,"FW,MF",34-091,8.8,2,0,0,16,9,2,8,2,0,0,0,0,40,7,15,31.8,Matches
Javier Avilés,es ESP,"FW,MF",26-309,7.0,1,0,0,13,14,8,21,1,3,0,0,0,19,9,22,29.0,Matches
Iker Seguín,es ESP,"DF,MF",34-345,6.5,2,1,0,8,2,0,50,6,8,0,1,0,24,7,2,77.8,Matches
Cosimo Marco Da Graca,it ITA,"FW,MF",22-051,4.9,1,0,0,10,4,4,0,1,1,0,0,0,6,6,37,14.0,Matches
Jorge Yriarte,ve VEN,MF,24-109,4.2,1,0,0,12,2,0,8,4,4,0,0,0,17,22,14,61.1,Matches
Luis Quintero,co COL,"FW,MF",19-253,4.1,1,0,0,3,10,1,13,5,4,0,0,0,20,3,6,33.3,Matches
Angel Troncho,es ESP,"MF,FW",21-263,2.2,0,0,0,3,6,0,8,0,1,0,0,0,10,4,2,66.7,Matches
Jürgen Locadia,cw CUW,"FW,MF",30-227,0.6,0,0,0,0,0,3,0,0,0,0,0,0,1,2,1,66.7,Matches
Squad Total,0,0,27.3,42.0,85,5,2,536,441,61,865,375,362,2,7,2,1956,692,763,47.6,0
Opponent Total,0,0,27.8,42.0,87,3,1,469,505,95,868,344,372,3,5,0,2017,763,692,52.4,0
