Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Josué Dorrio,es ESP,"MF,FW",30-110,42,39,3375.0,37.5,3.0,6.0,9.0,3.0,0.0,0.0,3.0,0.0,5.0,5.0,5.6,10.6,119.0,61.0,259.0,0.08,0.16,0.24,0.08,0.24,0.13,0.15,0.28,0.13,0.28,Matches
Kwasi Sibo,gh GHA,MF,25-363,39,36,3137.0,34.9,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,1.2,1.2,0.7,1.9,11.0,111.0,18.0,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05,Matches
Núñez,es ESP,"DF,MF",23-350,39,35,3153.0,35.0,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,1.1,1.1,5.0,6.1,83.0,151.0,155.0,0.06,0.06,0.11,0.06,0.11,0.03,0.14,0.17,0.03,0.17,Matches
Felix Garreta,es ESP,DF,20-061,31,29,2488.0,27.6,4.0,1.0,5.0,4.0,0.0,0.0,6.0,1.0,1.9,1.9,1.2,3.1,26.0,103.0,23.0,0.14,0.04,0.18,0.14,0.18,0.07,0.04,0.11,0.07,0.11,Matches
Pablo Cuñat,es ESP,GK,22-054,26,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Xabier Etxeita,es ESP,DF,36-234,26,26,2280.0,25.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.1,1.1,0.8,1.8,10.0,52.0,5.0,0.0,0.04,0.04,0.0,0.04,0.04,0.03,0.07,0.04,0.07,Matches
Eneko Jauregi,es ESP,FW,27-344,37,25,2265.0,25.2,6.0,2.0,8.0,6.0,0.0,1.0,3.0,0.0,5.7,4.9,0.6,5.5,14.0,43.0,115.0,0.24,0.08,0.32,0.24,0.32,0.23,0.02,0.25,0.19,0.22,Matches
Daniel Lasure,es ESP,"DF,MF",30-115,29,25,2181.0,24.2,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,1.2,1.6,40.0,92.0,59.0,0.0,0.08,0.08,0.0,0.08,0.02,0.05,0.07,0.02,0.07,Matches
Jon Morcillo,es ESP,"MF,FW",25-280,37,25,2103.0,23.4,4.0,2.0,6.0,4.0,0.0,1.0,2.0,0.0,3.7,2.9,2.6,5.5,57.0,55.0,169.0,0.17,0.09,0.26,0.17,0.26,0.16,0.11,0.27,0.12,0.23,Matches
Àlex Carbonell,es ESP,MF,26-280,31,22,1963.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.1,1.1,1.7,2.8,24.0,119.0,19.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches
Erik Morán,es ESP,MF,33-027,32,22,1731.0,19.2,0.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,1.0,1.5,22.0,129.0,26.0,0.0,0.21,0.21,0.0,0.21,0.03,0.05,0.08,0.03,0.08,Matches
Manu Hernando,es ESP,DF,25-338,22,21,1920.0,21.3,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.6,0.6,0.1,0.7,13.0,59.0,5.0,0.09,0.0,0.09,0.09,0.09,0.03,0.0,0.03,0.03,0.03,Matches
Josep Antoni Gayá,es ESP,DF,23-350,21,17,1550.0,17.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.5,0.5,0.0,0.5,9.0,48.0,1.0,0.06,0.0,0.06,0.06,0.06,0.03,0.0,0.03,0.03,0.03,Matches
Unai Bustinza,es ESP,DF,32-140,17,17,1488.0,16.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.2,1.2,0.5,1.7,8.0,58.0,8.0,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.1,0.07,0.1,Matches
Jon Mikel Magunagoitia,es ESP,GK,23-320,16,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ryan Edwards,au AUS,"MF,FW",30-217,36,14,1336.0,14.8,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.0,3.0,0.4,3.5,18.0,36.0,46.0,0.27,0.0,0.27,0.27,0.27,0.2,0.03,0.23,0.2,0.23,Matches
Rayco Rodríguez Medina,es ESP,"MF,FW",27-210,29,13,1182.0,13.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,1.7,3.4,26.0,35.0,84.0,0.08,0.15,0.23,0.08,0.23,0.13,0.13,0.26,0.13,0.26,Matches
Jorge Mier,es ESP,"DF,MF",25-138,21,11,1041.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.5,0.5,13.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Iker Unzueta,es ESP,FW,25-322,20,10,999.0,11.1,5.0,0.0,5.0,2.0,3.0,3.0,0.0,0.0,3.8,1.4,0.3,1.7,15.0,18.0,48.0,0.45,0.0,0.45,0.18,0.18,0.34,0.02,0.36,0.13,0.15,Matches
Javier Eraso,es ESP,"FW,MF",34-091,23,9,790.0,8.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,0.7,1.9,6.0,19.0,44.0,0.23,0.0,0.23,0.23,0.23,0.14,0.08,0.22,0.14,0.22,Matches
Javier Avilés,es ESP,"FW,MF",26-309,15,7,629.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.2,1.1,7.0,8.0,49.0,0.14,0.0,0.14,0.14,0.14,0.13,0.02,0.15,0.13,0.15,Matches
Iker Seguín,es ESP,"DF,MF",34-345,10,7,582.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.7,0.7,11.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.11,0.01,0.11,Matches
Cosimo Marco Da Graca,it ITA,"FW,MF",22-051,12,4,440.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Jorge Yriarte,ve VEN,MF,24-109,15,2,376.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,8.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11,Matches
Luis Quintero,co COL,"FW,MF",19-253,18,2,365.0,4.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.2,1.1,24.0,21.0,39.0,0.0,0.25,0.25,0.0,0.25,0.21,0.06,0.27,0.21,0.27,Matches
