Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Josué Dorrio,es ESP,"MF,FW",30-110,37.5,1444,17,192,504,776,100,1444,139,52,37.4,81,58.3,855,6290,2865,119,76,39,98,56,950,259,Matches
Kwasi Sibo,gh GHA,MF,25-363,34.9,1867,89,513,1118,259,30,1867,17,11,64.7,6,35.3,816,3397,1159,11,10,2,27,21,1071,18,Matches
Núñez,es ESP,"DF,MF",23-350,35.0,2311,98,632,978,714,39,2311,41,16,39.0,19,46.3,1132,5683,2781,83,48,9,32,18,1388,155,Matches
Felix Garreta,es ESP,DF,20-061,27.6,1612,198,756,727,142,24,1612,16,11,68.8,5,31.3,764,4134,2500,26,22,1,14,3,860,23,Matches
Pablo Cuñat,es ESP,GK,22-054,26.0,977,749,965,12,0,0,977,2,1,50.0,0,0.0,481,2556,1525,0,0,0,0,0,378,0,Matches
Xabier Etxeita,es ESP,DF,36-234,25.3,1236,193,658,543,42,21,1236,2,1,50.0,1,50.0,607,3399,2256,10,6,1,6,0,712,5,Matches
Eneko Jauregi,es ESP,FW,27-344,25.2,767,25,51,375,349,83,766,32,11,34.4,17,53.1,408,1604,450,14,13,6,95,27,600,115,Matches
Daniel Lasure,es ESP,"DF,MF",30-115,24.2,1387,78,437,645,315,11,1387,27,13,48.1,13,48.1,560,2846,1511,40,27,1,12,10,706,59,Matches
Jon Morcillo,es ESP,"MF,FW",25-280,23.4,1108,16,170,433,531,35,1107,53,22,41.5,31,58.5,664,4225,1952,57,39,10,51,24,744,169,Matches
Àlex Carbonell,es ESP,MF,26-280,21.8,1312,44,297,797,235,25,1312,36,16,44.4,16,44.4,627,2865,1255,24,22,6,37,10,804,19,Matches
Erik Morán,es ESP,MF,33-027,19.2,1113,30,202,751,163,6,1113,12,8,66.7,4,33.3,558,2735,1297,22,14,2,26,9,736,26,Matches
Manu Hernando,es ESP,DF,25-338,21.3,1284,144,657,592,40,14,1284,6,5,83.3,1,16.7,702,4373,2745,13,6,1,10,0,777,5,Matches
Josep Antoni Gayá,es ESP,DF,23-350,17.2,982,120,489,460,37,11,982,5,4,80.0,1,20.0,468,2312,1351,9,8,0,10,4,571,1,Matches
Unai Bustinza,es ESP,DF,32-140,16.5,1066,116,516,489,65,15,1066,4,2,50.0,1,25.0,533,2678,1610,8,7,0,5,0,652,8,Matches
Jon Mikel Magunagoitia,es ESP,GK,23-320,16.0,608,524,605,3,0,0,608,1,1,100.0,0,0.0,277,1471,854,0,0,0,0,0,193,0,Matches
Ryan Edwards,au AUS,"MF,FW",30-217,14.8,546,20,114,278,164,35,546,27,12,44.4,14,51.9,254,1487,622,18,18,2,24,22,330,46,Matches
Rayco Rodríguez Medina,es ESP,"MF,FW",27-210,13.1,608,12,89,261,266,50,608,37,15,40.5,19,51.4,343,2140,899,26,21,6,37,26,423,84,Matches
Jorge Mier,es ESP,"DF,MF",25-138,11.6,607,40,235,263,114,8,607,14,8,57.1,6,42.9,248,1327,602,13,8,1,8,4,274,20,Matches
Iker Unzueta,es ESP,FW,25-322,11.1,359,11,35,177,151,33,356,21,8,38.1,12,57.1,200,934,352,15,4,4,40,11,282,48,Matches
Javier Eraso,es ESP,"FW,MF",34-091,8.8,304,10,42,153,114,31,304,8,4,50.0,2,25.0,174,630,233,6,6,1,25,13,214,44,Matches
Javier Avilés,es ESP,"FW,MF",26-309,7.0,236,5,21,98,125,16,236,26,11,42.3,12,46.2,141,856,336,7,15,1,29,11,170,49,Matches
Iker Seguín,es ESP,"DF,MF",34-345,6.5,335,19,97,113,129,0,335,4,1,25.0,1,25.0,114,699,338,11,12,0,6,2,148,23,Matches
Cosimo Marco Da Graca,it ITA,"FW,MF",22-051,4.9,116,5,9,41,67,8,116,6,3,50.0,3,50.0,55,211,39,0,2,0,24,5,74,21,Matches
Jorge Yriarte,ve VEN,MF,24-109,4.2,228,18,56,125,49,9,228,6,4,66.7,2,33.3,97,572,331,8,5,1,3,1,127,9,Matches
Luis Quintero,co COL,"FW,MF",19-253,4.1,225,3,23,87,118,15,225,30,18,60.0,11,36.7,162,1331,588,24,21,8,11,10,167,39,Matches
Angel Troncho,es ESP,"MF,FW",21-263,2.2,112,1,5,51,59,7,112,13,6,46.2,7,53.8,75,483,183,6,4,2,10,3,80,15,Matches
Jürgen Locadia,cw CUW,"FW,MF",30-227,0.6,32,1,1,6,25,13,32,1,1,100.0,0,0.0,18,67,25,1,1,0,4,1,24,4,Matches
Squad Total,0,0,27.3,42.0,22782,2586,7867,10080,5049,639,22777,586,265,45.2,285,48.6,11333,61305,30659,571,415,104,644,291,13455,1264,0
Opponent Total,0,0,27.8,42.0,25863,2244,7743,12244,6119,904,25856,644,288,44.7,310,48.1,13729,80117,42883,764,500,170,689,278,16555,1728,0
