Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Churripi,es ESP,GK,30-049,41.0,5,0,0,0,9,0,0,0,2,0,0,0,55,7,0,100.0,Matches
Aitor Córdoba,es ESP,DF,29-031,40.2,2,0,0,20,8,1,4,72,33,0,0,0,218,69,47,59.5,Matches
Curro,es ESP,"FW,MF",28-170,39.3,8,0,0,29,83,6,108,4,26,1,0,0,173,57,62,47.9,Matches
Jose Matos,es ESP,DF,29-046,34.9,10,0,0,36,72,4,151,61,64,0,1,0,163,31,24,56.4,Matches
Unai Elgezabal,es ESP,"DF,MF",31-057,30.7,11,0,0,34,18,5,2,37,25,1,0,0,155,104,55,65.4,Matches
Fernando Niño,es ESP,FW,23-241,29.3,8,0,0,35,52,18,7,9,20,1,0,0,77,114,116,49.6,Matches
Miguel Atienza,es ESP,MF,25-025,28.3,6,0,0,37,42,0,1,47,30,1,1,0,134,73,50,59.3,Matches
Dani Ojeda,es ESP,"MF,FW",29-201,23.0,3,0,0,11,13,8,44,13,16,0,0,0,106,6,19,24.0,Matches
Alejandro Sancris,es ESP,"MF,FW",27-155,23.8,6,0,0,23,25,12,190,15,27,0,0,0,103,12,8,60.0,Matches
Mumo,es ESP,MF,29-069,18.7,7,0,0,31,25,0,39,14,24,0,3,0,127,19,16,54.3,Matches
Grego Sierra,es ESP,DF,31-108,21.9,6,0,0,30,8,3,1,19,12,0,3,0,89,53,38,58.2,Matches
Borja González,es ESP,DF,28-217,18.7,3,0,0,14,15,2,74,22,29,0,0,0,83,16,10,61.5,Matches
Kévin Appin,mq MTQ,"MF,FW",26-153,16.1,5,0,0,29,19,2,16,13,26,0,0,0,93,38,30,55.9,Matches
Anderson Arroyo,co COL,DF,24-268,14.9,4,0,0,3,13,0,12,18,13,0,0,0,81,18,10,64.3,Matches
Eduardo Espiau,es ESP,FW,29-185,16.8,3,0,0,23,22,6,7,9,2,0,0,0,53,59,99,37.3,Matches
Ander Martin,es ESP,"MF,DF",23-218,15.7,2,0,0,13,20,2,36,8,13,0,0,0,84,8,12,40.0,Matches
Raúl Navarro,es ESP,DF,30-135,12.3,1,0,0,10,13,0,24,13,17,0,0,0,58,15,15,50.0,Matches
Joni Montiel,es ESP,MF,25-292,10.6,3,1,0,18,21,1,49,3,12,1,0,0,63,5,10,33.3,Matches
Álex Bermejo,es ESP,"MF,FW",25-193,14.0,0,0,0,15,22,1,29,4,6,0,0,0,72,8,24,25.0,Matches
Esteban Saveljich,me MNE,DF,33-032,6.3,2,0,0,3,1,2,0,5,2,0,0,0,16,19,9,67.9,Matches
Andy,es ESP,"MF,DF",34-143,2.0,1,0,0,2,2,0,16,0,0,0,0,0,11,9,3,75.0,Matches
Loic Badiashile,fr FRA,GK,26-137,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
David Goldar,es ESP,DF,29-280,1.0,0,0,0,0,0,0,0,1,0,0,0,0,9,4,3,57.1,Matches
Javi López,es ESP,MF,23-047,0.6,1,0,0,2,1,0,1,1,0,0,0,0,5,0,1,0.0,Matches
Lucas Ricoy,es ESP,"DF,MF",21-155,0.3,0,0,0,0,1,1,0,0,0,0,0,0,2,3,3,50.0,Matches
Saúl del Cerro,es ESP,"MF,FW",20-032,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,100.0,Matches
José Menor,0,FW,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Squad Total,0,0,28.2,42.0,97,1,0,419,506,74,811,388,399,5,8,0,2030,749,664,53.0,0
Opponent Total,0,0,27.6,42.0,89,4,3,534,394,58,942,367,351,7,8,3,1991,664,749,47.0,0
