Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Barcia,es ESP,DF,23-173,37.0,44,33,32,12,0,15,20,75.0,5,32,26,6,44,88,191,2,Matches
Gabri Martínez,es ESP,"FW,MF",21-172,36.4,38,20,18,11,9,21,47,44.7,26,42,6,36,16,54,23,0,Matches
Ramón,es ESP,GK,24-194,35.0,1,0,1,0,0,1,3,33.3,2,0,0,0,1,2,10,2,Matches
Pablo Ramon,es ESP,DF,22-357,33.1,52,31,34,14,4,31,42,73.8,11,45,25,20,48,100,119,1,Matches
Ilyas Chaira,ma MAR,"FW,MF",23-140,31.9,62,47,27,24,11,33,66,50.0,33,64,5,59,17,79,58,0,Matches
Carlos Martín,es ESP,"FW,MF",22-060,31.8,38,19,14,13,11,16,46,34.8,30,44,5,39,19,57,24,0,Matches
Jonathan Gomez,us USA,DF,20-294,33.3,49,33,31,15,3,32,56,57.1,24,36,12,24,35,84,74,0,Matches
Alberto Reina,es ESP,MF,26-286,33.2,83,47,38,37,8,43,70,61.4,27,48,13,35,43,126,46,0,Matches
Alvaro Sanz,es ESP,MF,23-128,27.8,43,29,17,20,6,21,39,53.8,18,24,7,17,22,65,26,0,Matches
Tachi,es ESP,"MF,DF",26-285,22.8,57,33,28,22,7,40,72,55.6,32,25,14,11,35,92,55,1,Matches
Rubén,es ESP,DF,23-138,17.7,31,20,14,9,8,20,34,58.8,14,11,5,6,21,52,38,0,Matches
Juan María,es ESP,"DF,MF",23-137,17.2,29,17,18,10,1,18,41,43.9,23,22,7,15,20,49,46,1,Matches
Javi Martón,es ESP,FW,25-046,13.5,14,7,5,4,5,7,11,63.6,4,4,0,4,2,16,13,0,Matches
Pablo Tomeo,es ESP,"MF,DF",24-150,15.7,40,22,23,14,3,24,41,58.5,17,13,7,6,23,63,42,0,Matches
Barbu,es ESP,DF,23-027,14.5,3,3,1,2,0,1,4,25.0,3,20,13,7,15,18,69,1,Matches
Mathis Lachuer,fr FRA,MF,23-295,12.8,34,17,14,16,4,14,24,58.3,10,21,6,15,10,44,17,0,Matches
Antonino La Gumina,it ITA,FW,28-107,10.2,3,1,1,1,1,2,5,40.0,3,9,2,7,1,4,5,0,Matches
Luis López,es ESP,GK,23-044,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,Matches
Diego Moreno,es ESP,DF,23-000,6.0,4,2,1,2,1,2,7,28.6,5,3,1,2,2,6,21,0,Matches
Miguel Baeza,es ESP,"MF,FW",24-086,3.6,4,3,2,2,0,1,8,12.5,7,1,0,1,6,10,3,0,Matches
Alan Godoy,es ESP,FW,21-048,4.0,4,1,0,2,2,2,5,40.0,3,4,0,4,0,4,7,0,Matches
Houboulang Mendes,gw GNB,DF,26-048,2.9,5,4,4,1,0,4,5,80.0,1,1,0,1,2,7,5,0,Matches
Ivan Durdov,hr CRO,FW,23-340,4.3,1,1,0,1,0,0,1,0.0,1,3,0,3,1,2,4,0,Matches
Nikita Iosifov,ru RUS,"FW,MF",23-071,1.9,2,1,1,1,0,1,3,33.3,2,1,0,1,1,3,2,0,Matches
Lauti,uy URU,"FW,MF",23-133,3.5,4,2,1,1,2,2,3,66.7,1,6,1,5,0,4,0,0,Matches
David Vicente,es ESP,"MF,DF",25-059,1.7,2,1,1,1,0,2,4,50.0,2,2,1,1,1,3,5,0,Matches
Ibrahima Kebe,ml MLI,MF,23-324,1.3,4,4,4,0,0,1,2,50.0,1,1,1,0,1,5,1,0,Matches
Daniel Luna,co COL,"MF,FW",21-045,1.3,4,4,3,0,1,1,1,100.0,0,2,0,2,0,4,2,0,Matches
Diogo Verdasca,pt POR,DF,27-239,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0,Matches
Ekhiotz Orobio,es ESP,FW,22-047,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Diego Rosales,es ESP,DF,21-053,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,23.6,42.0,655,402,333,235,87,355,661,53.7,306,484,157,327,386,1041,915,8,0
Opponent Total,0,0,27.8,42.0,683,409,360,228,95,350,671,52.2,321,355,95,260,340,1023,863,10,0
