Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Barcia,es ESP,DF,23-173,40,39,3330.0,37.0,2.0,0.0,2.0,1.0,1.0,1.0,5.0,0.0,2.0,1.2,0.5,1.7,18.0,64.0,2.0,0.05,0.0,0.05,0.03,0.03,0.05,0.01,0.07,0.03,0.05,Matches
Gabri Martínez,es ESP,"FW,MF",21-172,41,37,3278.0,36.4,9.0,5.0,14.0,9.0,0.0,0.0,8.0,0.0,9.9,9.9,3.0,12.9,150.0,73.0,262.0,0.25,0.14,0.38,0.25,0.38,0.27,0.08,0.35,0.27,0.35,Matches
Ramón,es ESP,GK,24-194,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo Ramon,es ESP,DF,22-357,35,33,2980.0,33.1,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.9,0.9,1.1,2.0,70.0,169.0,14.0,0.0,0.03,0.03,0.0,0.03,0.03,0.03,0.06,0.03,0.06,Matches
Ilyas Chaira,ma MAR,"FW,MF",23-140,38,33,2871.0,31.9,5.0,4.0,9.0,5.0,0.0,0.0,7.0,0.0,2.8,2.8,3.5,6.3,91.0,72.0,187.0,0.16,0.13,0.28,0.16,0.28,0.09,0.11,0.2,0.09,0.2,Matches
Carlos Martín,es ESP,"FW,MF",22-060,40,33,2866.0,31.8,15.0,3.0,18.0,10.0,5.0,6.0,3.0,0.0,12.4,7.8,3.1,10.9,39.0,68.0,166.0,0.47,0.09,0.57,0.31,0.41,0.39,0.1,0.49,0.24,0.34,Matches
Jonathan Gomez,us USA,DF,20-294,38,32,2994.0,33.3,1.0,4.0,5.0,1.0,0.0,0.0,6.0,0.0,0.8,0.8,1.8,2.6,82.0,131.0,101.0,0.03,0.12,0.15,0.03,0.15,0.02,0.06,0.08,0.02,0.08,Matches
Alberto Reina,es ESP,MF,26-286,40,32,2987.0,33.2,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,1.7,1.7,4.1,5.7,43.0,165.0,48.0,0.03,0.03,0.06,0.03,0.06,0.05,0.12,0.17,0.05,0.17,Matches
Alvaro Sanz,es ESP,MF,23-128,41,28,2501.0,27.8,1.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,2.5,1.7,2.9,4.6,35.0,134.0,56.0,0.04,0.07,0.11,0.04,0.11,0.09,0.1,0.19,0.06,0.17,Matches
Tachi,es ESP,"MF,DF",26-285,30,25,2051.0,22.8,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.6,0.6,0.9,1.5,5.0,71.0,12.0,0.0,0.04,0.04,0.0,0.04,0.03,0.04,0.06,0.03,0.06,Matches
Rubén,es ESP,DF,23-138,21,19,1595.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,2.3,3.0,56.0,40.0,111.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.17,0.04,0.17,Matches
Juan María,es ESP,"DF,MF",23-137,30,18,1552.0,17.2,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.8,1.8,1.8,3.6,18.0,64.0,62.0,0.06,0.12,0.17,0.06,0.17,0.1,0.11,0.21,0.1,0.21,Matches
Javi Martón,es ESP,FW,25-046,20,16,1218.0,13.5,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,4.3,4.3,1.1,5.5,8.0,21.0,54.0,0.3,0.0,0.3,0.3,0.3,0.32,0.08,0.41,0.32,0.41,Matches
Pablo Tomeo,es ESP,"MF,DF",24-150,29,15,1413.0,15.7,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,0.1,0.4,6.0,30.0,6.0,0.06,0.0,0.06,0.06,0.06,0.02,0.0,0.02,0.02,0.02,Matches
Barbu,es ESP,DF,23-027,24,14,1302.0,14.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,0.1,0.8,9.0,37.0,1.0,0.07,0.0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,Matches
Mathis Lachuer,fr FRA,MF,23-295,23,13,1152.0,12.8,1.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,0.5,0.5,0.7,1.1,12.0,47.0,6.0,0.08,0.16,0.23,0.08,0.23,0.04,0.05,0.09,0.04,0.09,Matches
Antonino La Gumina,it ITA,FW,28-107,16,11,919.0,10.2,1.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,1.7,0.9,0.8,1.7,6.0,9.0,26.0,0.1,0.1,0.2,0.0,0.1,0.17,0.07,0.24,0.09,0.17,Matches
Luis López,es ESP,GK,23-044,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Moreno,es ESP,DF,23-000,10,5,542.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.3,17.0,18.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Miguel Baeza,es ESP,"MF,FW",24-086,7,4,320.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,3.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.15,0.06,0.21,0.15,0.21,Matches
Alan Godoy,es ESP,FW,21-048,10,3,363.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.1,1.0,3.0,5.0,22.0,0.25,0.0,0.25,0.25,0.25,0.22,0.03,0.25,0.22,0.25,Matches
Houboulang Mendes,gw GNB,DF,26-048,5,3,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Ivan Durdov,hr CRO,FW,23-340,20,2,389.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.5,2.1,1.0,3.0,15.0,0.23,0.0,0.23,0.23,0.23,0.35,0.12,0.48,0.35,0.48,Matches
Nikita Iosifov,ru RUS,"FW,MF",23-071,6,2,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,Matches
Lauti,uy URU,"FW,MF",23-133,13,1,314.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.0,0.6,6.0,9.0,16.0,0.29,0.0,0.29,0.29,0.29,0.18,0.0,0.18,0.18,0.18,Matches
David Vicente,es ESP,"MF,DF",25-059,9,1,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ibrahima Kebe,ml MLI,MF,23-324,4,1,116.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel Luna,co COL,"MF,FW",21-045,9,0,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,3.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.07,0.39,0.46,0.07,0.46,Matches
Diogo Verdasca,pt POR,DF,27-239,2,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ekhiotz Orobio,es ESP,FW,22-047,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Rosales,es ESP,DF,21-053,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Iago Domínguez,es ESP,GK,22-212,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Asier Ortiz de Guinea,es ESP,MF,22-042,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andoni Zubiaurre,es ESP,GK,27-200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,23.6,42,462,3780.0,42.0,46.0,26.0,72.0,39.0,7.0,9.0,108.0,1.0,46.7,39.8,29.3,69.1,698.0,1271.0,1258.0,1.1,0.62,1.71,0.93,1.55,1.11,0.7,1.81,0.95,1.64,0
Opponent Total,0,0,27.8,42,462,3780.0,42.0,55.0,36.0,91.0,52.0,3.0,3.0,92.0,4.0,46.3,44.0,34.4,78.4,621.0,1650.0,1633.0,1.31,0.86,2.17,1.24,2.1,1.1,0.82,1.92,1.05,1.87,0
