D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-13,19:30,La Liga 2,Matchweek 1,Sun,Home,L,0,1,Eldense,0.7,0.3,56.0,8655,Marc Martínez,4-4-2,Miguel Sesma,Match Report,0
2023-08-18,19:00,La Liga 2,Matchweek 2,Fri,Away,L,2,3,FC Andorra,1.8,2.4,28.0,2520,Marc Martínez,4-4-2,Álvaro Moreno,Match Report,0
2023-08-25,21:30,La Liga 2,Matchweek 3,Fri,Home,L,0,1,Levante,0.7,1.3,55.0,7243,Marc Martínez,4-4-2,Adrián Cordero,Match Report,0
2023-09-02,21:00,La Liga 2,Matchweek 4,Sat,Away,W,2,1,Villarreal B,1.4,1.1,42.0,1522,Marc Martínez,5-3-2,Iosu Galech,Match Report,0
2023-09-10,18:30,La Liga 2,Matchweek 5,Sun,Home,L,1,3,Zaragoza,1.0,1.6,51.0,8598,Marc Martínez,4-4-2,Saúl Ais,Match Report,0
2023-09-16,18:30,La Liga 2,Matchweek 6,Sat,Away,L,0,1,Valladolid,0.4,1.8,43.0,16138,Marc Martínez,5-3-2,Raúl González,Match Report,0
2023-09-22,21:00,La Liga 2,Matchweek 7,Fri,Home,L,1,2,Eibar,1.0,0.8,44.0,7132,Pedro Alcalá,5-3-2,Alejandro Quintero,Match Report,0
2023-10-01,18:30,La Liga 2,Matchweek 8,Sun,Away,D,0,0,Amorebieta,0.5,0.3,43.0,1141,Marc Martínez,4-4-2,Oliver De La Fuente,Match Report,0
2023-10-05,21:30,La Liga 2,Matchweek 9,Thu,Home,L,0,2,Espanyol,0.4,2.4,41.0,7748,Marc Martínez,4-4-2,Luis Milla,Match Report,0
2023-10-08,18:30,La Liga 2,Matchweek 10,Sun,Away,D,1,1,Racing Ferrol,1.4,0.9,32.0,7032,Marc Martínez,4-4-2,Manuel Orellana,Match Report,0
2023-10-14,18:30,La Liga 2,Matchweek 11,Sat,Home,L,2,3,Racing Sant,1.9,2.4,52.0,7377,Marc Martínez,4-1-4-1,Germán Cid Camacho,Match Report,0
2023-10-23,21:00,La Liga 2,Matchweek 12,Mon,Away,D,1,1,Alcorcón,1.2,1.1,48.0,2282,Marc Martínez,4-2-3-1,José López,Match Report,0
2023-10-29,14:00,La Liga 2,Matchweek 13,Sun,Away,L,1,2,CD Mirandés,1.3,1.8,51.0,2674,Marc Martínez,5-4-1,Saúl Ais,Match Report,0
2023-11-01,12:00,Copa del Rey,First round,Wed,Away,D,0 (3),0 (2),Azuaga,0.0,0.0,0.0,1000,Damián Musto,4-4-2,Dámaso Arcediano,Match Report,Cartagena won on penalty kicks following extra time
2023-11-05,18:30,La Liga 2,Matchweek 14,Sun,Home,L,0,3,Leganés,0.7,2.2,51.0,6805,Pedro Alcalá,5-4-1,Iosu Galech,Match Report,0
2023-11-13,21:00,La Liga 2,Matchweek 15,Mon,Away,D,1,1,Oviedo,0.1,1.4,28.0,12203,Marc Martínez,5-3-2,Rubén Ávalos,Match Report,0
2023-11-19,18:30,La Liga 2,Matchweek 16,Sun,Home,D,1,1,Albacete,0.4,1.5,39.0,8157,Marc Martínez,5-3-2,Oliver De La Fuente,Match Report,0
2023-11-26,17:30,La Liga 2,Matchweek 17,Sun,Away,D,1,1,Tenerife,0.7,1.5,39.0,16423,Marc Martínez,4-4-2,Germán Cid Camacho,Match Report,0
2023-12-02,16:15,La Liga 2,Matchweek 18,Sat,Home,W,1,0,Sporting Gijón,2.2,0.3,48.0,5702,Marc Martínez,4-2-3-1,José López,Match Report,0
2023-12-06,12:00,Copa del Rey,Second round,Wed,Away,D,0 (5),0 (4),Alcorcón,0.0,0.0,0.0,2524,Pedro Alcalá,4-3-3,Andrés Fuentes,Match Report,Cartagena won on penalty kicks following extra time
2023-12-10,14:00,La Liga 2,Matchweek 19,Sun,Away,W,2,1,Elche,1.4,1.2,36.0,15452,Marc Martínez,4-2-3-1,Luis Milla,Match Report,0
