Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Pedro Alcalá,es ESP,DF,35-094,37,3316.0,90.0,87.7,36.8,37,90.0,35,0,0.0,1,1.35,35.0,44.0,-9.0,-0.24,0.73,35.9,44.6,-8.6,-0.23,0.26,Matches
Iván Calero,es ESP,DF,29-061,37,3237.0,87.0,85.6,36.0,36,90.0,35,1,8.0,1,1.3,32.0,40.0,-8.0,-0.22,0.77,34.8,43.6,-8.8,-0.24,0.16,Matches
José Fontán,es ESP,DF,24-131,37,3208.0,87.0,84.9,35.6,36,89.0,32,1,12.0,0,1.3,31.0,40.0,-9.0,-0.25,0.53,33.2,41.7,-8.5,-0.24,0.18,Matches
Jairo Izquierdo,es ESP,"DF,FW",30-243,35,2656.0,76.0,70.3,29.5,32,80.0,14,3,36.0,1,1.29,29.0,35.0,-6.0,-0.2,0.44,29.4,33.1,-3.8,-0.13,0.46,Matches
Damián Musto,ar ARG,MF,37-012,36,2712.0,75.0,71.7,30.1,31,83.0,20,5,30.0,5,1.39,32.0,27.0,5.0,0.17,1.77,29.9,30.4,-0.6,-0.02,0.87,Matches
Luis Muñoz,es ESP,"MF,FW",27-119,33,2342.0,71.0,62.0,26.0,30,75.0,9,3,35.0,1,1.03,21.0,33.0,-12.0,-0.46,-0.34,23.2,32.7,-9.5,-0.37,-0.26,Matches
Tomás Alarcón,cl CHI,MF,25-154,35,2388.0,68.0,63.2,26.5,29,79.0,15,6,18.0,2,1.34,24.0,35.0,-11.0,-0.41,-0.22,23.8,34.9,-11.1,-0.42,-0.42,Matches
Alfredo Ortuño,es ESP,FW,33-152,40,2429.0,61.0,64.3,27.0,27,76.0,9,13,28.0,0,1.25,25.0,32.0,-7.0,-0.26,0.21,27.8,32.2,-4.3,-0.16,0.3,Matches
Gonzalo Verdú,es ESP,DF,35-244,29,1676.0,58.0,44.3,18.6,22,72.0,8,7,14.0,8,1.38,15.0,23.0,-8.0,-0.43,-0.17,18.9,25.0,-6.1,-0.33,-0.11,Matches
Marc Martínez,es ESP,GK,34-078,21,1890.0,90.0,50.0,21.0,21,90.0,21,0,0.0,3,1.0,22.0,30.0,-8.0,-0.38,-0.1,24.2,27.8,-3.7,-0.17,0.18,Matches
Andy,es ESP,MF,34-143,21,1778.0,85.0,47.0,19.8,21,85.0,11,0,0.0,0,1.71,19.0,17.0,2.0,0.1,0.82,17.6,21.4,-3.8,-0.19,0.14,Matches
Raúl Lizoain,es ESP,GK,33-146,19,1710.0,90.0,45.2,19.0,19,90.0,19,0,0.0,20,1.58,15.0,16.0,-1.0,-0.05,0.51,15.4,21.0,-5.6,-0.29,-0.05,Matches
Kiko Olivas,es ESP,DF,35-305,21,1510.0,72.0,39.9,16.8,17,87.0,14,4,7.0,10,1.43,16.0,21.0,-5.0,-0.3,0.06,14.1,21.2,-7.0,-0.42,-0.26,Matches
Juanjo Narváez,co COL,"FW,MF",29-130,32,1262.0,39.0,33.4,14.0,14,64.0,0,18,21.0,3,1.22,13.0,17.0,-4.0,-0.29,0.07,17.9,18.5,-0.6,-0.04,0.33,Matches
Isak Jansson,se SWE,"MF,FW",22-142,18,974.0,54.0,25.8,10.8,11,74.0,0,7,24.0,4,0.78,10.0,15.0,-5.0,-0.46,-0.17,10.1,12.7,-2.6,-0.24,0.04,Matches
Darío Poveda,es ESP,FW,27-100,18,951.0,53.0,25.2,10.6,11,68.0,1,7,28.0,0,1.5,6.0,11.0,-5.0,-0.47,-0.19,7.2,12.9,-5.7,-0.54,-0.37,Matches
Juan Carlos,es ESP,"FW,MF",33-098,25,963.0,39.0,25.5,10.7,10,66.0,0,15,20.0,15,0.84,5.0,14.0,-9.0,-0.84,-0.68,9.6,11.9,-2.2,-0.21,0.08,Matches
Hector Hevel,nl NED,"MF,FW",28-037,15,878.0,59.0,23.2,9.8,10,80.0,6,5,16.0,1,0.8,7.0,17.0,-10.0,-1.03,-0.9,9.1,13.3,-4.3,-0.44,-0.22,Matches
Arnau Solà,es ESP,DF,21-078,18,815.0,45.0,21.6,9.1,9,77.0,5,9,14.0,13,0.89,6.0,14.0,-8.0,-0.88,-0.7,8.0,12.8,-4.8,-0.53,-0.34,Matches
Mikel Rico,es ESP,"MF,FW",39-230,31,993.0,32.0,26.3,11.0,8,61.0,0,23,22.0,8,1.45,8.0,9.0,-1.0,-0.09,0.33,11.2,12.4,-1.2,-0.11,0.21,Matches
Diego Moreno,es ESP,DF,23-000,15,519.0,35.0,13.7,5.8,5,67.0,0,10,18.0,3,1.73,1.0,6.0,-5.0,-0.87,-0.62,3.5,7.3,-3.8,-0.66,-0.46,Matches
Jony Álamo,es ESP,MF,22-270,18,559.0,31.0,14.8,6.2,4,76.0,0,14,18.0,24,1.0,6.0,10.0,-4.0,-0.64,-0.36,5.9,11.2,-5.3,-0.86,-0.69,Matches
Iván Ayllón,es ESP,"FW,MF",23-048,17,517.0,30.0,13.7,5.7,4,70.0,0,13,18.0,17,0.65,9.0,5.0,4.0,0.7,1.19,6.8,8.2,-1.4,-0.24,0.03,Matches
Úmaro Embaló,pt POR,"FW,MF",23-046,16,540.0,34.0,14.3,6.0,3,76.0,0,13,24.0,5,0.69,5.0,14.0,-9.0,-1.5,-1.36,6.4,11.8,-5.4,-0.9,-0.74,Matches
Arnau Ortiz,es ESP,"FW,MF",22-236,14,497.0,36.0,13.1,5.5,3,66.0,0,11,27.0,6,1.64,7.0,6.0,1.0,0.18,0.59,7.1,6.0,1.1,0.2,0.54,Matches
Lauti,uy URU,"FW,MF",23-133,11,399.0,36.0,10.6,4.4,3,68.0,0,8,24.0,12,1.18,5.0,8.0,-3.0,-0.68,-0.38,5.2,4.4,0.8,0.19,0.51,Matches
David Ferreiro,es ESP,"MF,FW",36-081,9,300.0,33.0,7.9,3.3,3,63.0,0,6,18.0,9,0.67,2.0,7.0,-5.0,-1.5,-1.27,4.1,5.3,-1.2,-0.35,-0.1,Matches
Tomás Mejías,es ESP,GK,35-143,2,180.0,90.0,4.8,2.0,2,90.0,2,0,0.0,15,0.33,0.0,5.0,-5.0,-2.5,-2.27,0.8,2.7,-1.9,-0.97,-0.74,Matches
Carlos Sanchez,es ESP,DF,23-063,2,134.0,67.0,3.5,1.5,2,67.0,0,0,0.0,2,0.0,0.0,3.0,-3.0,-2.01,-1.74,0.7,2.5,-1.8,-1.22,-0.99,Matches
Toni Datković,hr CRO,DF,30-228,1,90.0,90.0,2.4,1.0,1,90.0,1,0,0.0,0,0.0,0.0,1.0,-1.0,-1.0,-0.68,0.7,0.3,0.4,0.45,0.73,Matches
Juan Sabater,0,DF,0,1,45.0,45.0,1.2,0.5,1,45.0,0,0,0.0,7,0.0,0.0,3.0,-3.0,-6.0,-5.73,0.0,0.9,-0.8,-1.62,-1.37,Matches
Djakaría Barro,ci CIV,MF,22-161,1,15.0,15.0,0.4,0.2,0,0.0,0,1,15.0,3,0.0,0.0,0.0,0.0,0.0,0.33,0.4,0.1,0.3,1.77,2.05,Matches
Jony,es ESP,FW,32-348,2,12.0,6.0,0.3,0.1,0,0.0,0,2,6.0,8,0.5,0.0,1.0,-1.0,-7.5,-7.19,0.2,0.5,-0.3,-2.61,-2.35,Matches
Mamadou Cellou,gn GUI,MF,22-168,1,4.0,4.0,0.1,0.0,0,0.0,0,1,4.0,2,3.0,0.0,0.0,0.0,0.0,0.33,0.3,0.2,0.2,3.55,3.82,Matches
Fromsa,es ESP,DF,23-045,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nono Gómez,es ESP,GK,19-116,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
David Guerrero,es ESP,DF,21-352,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
José Marí,es ESP,DF,23-117,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diegode Pedro,es ESP,MF,21-111,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jhafets Reyes,es ESP,GK,17-279,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
José Saldaña,es ESP,GK,23-043,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,30.5,42,3780.0,90.0,100.0,42.0,462,80.0,257,206,21.0,251,1.21,37.0,51.0,-14.0,-0.33,0.0,40.4,51.5,-11.2,-0.27,0.0,0
Opponent Total,0,0,27.5,42,3780.0,90.0,100.0,42.0,462,80.0,262,198,19.0,258,1.57,51.0,37.0,14.0,0.33,0.0,51.5,40.4,11.2,0.27,0.0,0
