D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-12,19:00,La Liga 2,Matchweek 1,Sat,Away,L,0,4,Racing Sant,0.9,2.2,62.0,13914.0,Anaitz Arbilla,4-2-3-1,Iván Caparrós,Match Report,0
2023-08-19,17:00,La Liga 2,Matchweek 2,Sat,Home,W,2,1,Elche,0.7,2.0,48.0,2938.0,Sergio Álvarez,4-2-3-1,Oliver De La Fuente,Match Report,0
2023-08-28,19:00,La Liga 2,Matchweek 3,Mon,Away,L,1,2,Eldense,0.6,0.3,60.0,4356.0,Anaitz Arbilla,3-4-3,Miguel González,Match Report,0
2023-09-03,16:15,La Liga 2,Matchweek 4,Sun,Home,L,0,1,Leganés,1.3,0.1,77.0,4916.0,Sergio Álvarez,4-2-3-1,Daniel Trujillo,Match Report,0
2023-09-09,16:15,La Liga 2,Matchweek 5,Sat,Away,L,0,1,Burgos,0.7,0.9,58.0,8553.0,Anaitz Arbilla,4-2-3-1,Rafael Sánchez,Match Report,0
2023-09-17,16:15,La Liga 2,Matchweek 6,Sun,Home,W,2,0,Racing Ferrol,1.0,0.4,54.0,4722.0,Anaitz Arbilla,4-2-3-1,Manuel Orellana,Match Report,0
2023-09-22,21:00,La Liga 2,Matchweek 7,Fri,Away,W,2,1,Cartagena,0.8,1.0,56.0,7132.0,Anaitz Arbilla,4-2-3-1,Alejandro Quintero,Match Report,0
2023-09-30,16:15,La Liga 2,Matchweek 8,Sat,Home,W,3,0,Tenerife,0.7,0.3,56.0,4754.0,Anaitz Arbilla,4-2-3-1,José Guzmán,Match Report,0
2023-10-05,19:00,La Liga 2,Matchweek 9,Thu,Away,W,3,1,CD Mirandés,1.9,1.4,54.0,3249.0,Anaitz Arbilla,4-2-3-1,Andrés Fuentes,Match Report,0
2023-10-08,14:00,La Liga 2,Matchweek 10,Sun,Away,W,2,1,Amorebieta,2.2,1.4,54.0,2031.0,Anaitz Arbilla,4-2-3-1,Raúl González,Match Report,0
