Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Luca Zidane,fr FRA,GK,26-039,42.0,1318,1739,75.8,35247,24756,251,253,99.2,692,706,98.0,374,771,48.5,0,0.0,0.1,0.0,1,27,0,0,5,Matches
Anaitz Arbilla,es ESP,DF,37-037,39.0,2681,3117,86.0,53856,21802,903,968,93.3,1375,1484,92.7,372,597,62.3,1,1.1,0.6,-0.1,7,202,7,1,189,Matches
Matheus Pereira da Silva,br BRA,MF,26-117,37.5,1989,2417,82.3,36071,10854,877,969,90.5,832,936,88.9,235,396,59.3,7,3.0,3.2,4.0,31,260,37,11,317,Matches
Mario Soriano,es ESP,MF,22-060,33.7,988,1141,86.6,15469,3159,526,577,91.2,363,404,89.9,65,91,71.4,4,3.8,3.4,0.2,53,96,29,3,152,Matches
Stoichkov,es ESP,FW,30-229,34.1,500,776,64.4,7254,1772,294,373,78.8,157,232,67.7,26,60,43.3,7,4.7,3.4,2.3,33,41,27,4,65,Matches
Álvaro Tejero,es ESP,DF,27-337,33.4,1616,2095,77.1,28080,10820,791,890,88.9,639,803,79.6,157,284,55.3,7,4.5,5.8,2.5,50,128,79,45,188,Matches
Juan Berrocal,es ESP,DF,25-048,31.9,1652,1897,87.1,33337,12681,469,537,87.3,954,1005,94.9,206,311,66.2,0,0.2,0.3,-0.2,6,128,2,1,120,Matches
Ager Aketxe,es ESP,"FW,MF",30-174,30.8,1363,1738,78.4,22288,6077,695,780,89.1,485,591,82.1,125,247,50.6,6,5.1,7.2,0.9,76,154,63,15,242,Matches
Jon Bautista,es ESP,FW,28-354,25.5,314,507,61.9,3831,633,206,300,68.7,72,118,61.0,10,20,50.0,2,2.6,1.9,-0.6,20,15,7,1,28,Matches
Cristian Gutierrez,es ESP,DF,23-204,22.8,911,1186,76.8,14033,4108,516,574,89.9,317,403,78.7,58,127,45.7,6,3.2,2.5,2.8,28,28,31,18,61,Matches
Sergio Álvarez,es ESP,"MF,DF",32-150,23.5,996,1169,85.2,17941,5956,406,457,88.8,499,541,92.2,80,135,59.3,0,0.6,1.0,-0.6,11,85,3,0,112,Matches
José Corpas,es ESP,"FW,DF",32-350,23.0,682,957,71.3,10528,3172,380,444,85.6,219,295,74.2,54,117,46.2,3,2.3,2.5,0.7,32,40,29,9,82,Matches
José Antonio Ríos,es ESP,DF,34-042,18.5,776,1064,72.9,13604,4617,344,399,86.2,335,431,77.7,79,165,47.9,2,0.7,1.2,1.3,14,53,17,8,68,Matches
Unai Vencedor Paris,es ESP,MF,23-219,15.1,773,994,77.8,14246,4226,327,373,87.7,335,403,83.1,90,175,51.4,3,2.0,1.7,1.0,18,95,12,5,110,Matches
Peru Nolaskoain,es ESP,MF,25-240,11.4,534,673,79.3,9089,2730,247,290,85.2,230,291,79.0,44,59,74.6,1,0.5,0.6,0.5,5,59,3,1,67,Matches
Frederico Venâncio,pt POR,DF,31-138,11.2,432,502,86.1,9150,3260,103,116,88.8,270,293,92.2,59,88,67.0,0,0.2,0.1,-0.2,6,30,2,0,55,Matches
Quique,es ESP,FW,34-036,6.4,57,91,62.6,798,129,40,53,75.5,10,18,55.6,4,7,57.1,0,0.1,0.2,-0.1,3,8,1,0,7,Matches
Yanis Rahmani,fr FRA,FW,29-039,6.2,126,170,74.1,1813,493,72,88,81.8,41,51,80.4,5,11,45.5,1,1.0,0.7,0.0,7,9,7,3,23,Matches
Sergio León,es ESP,FW,35-167,4.4,55,77,71.4,757,225,33,39,84.6,19,27,70.4,1,3,33.3,1,0.3,0.2,0.7,4,3,7,0,9,Matches
Konrad De La Fuente,us USA,"FW,MF",22-341,4.1,54,73,74.0,622,198,36,46,78.3,14,16,87.5,0,2,0.0,1,0.7,0.5,0.3,5,3,3,1,6,Matches
Rober Correa,es ESP,DF,31-275,1.6,72,85,84.7,1477,631,27,30,90.0,33,38,86.8,11,14,78.6,0,0.0,0.1,0.0,1,8,4,1,12,Matches
Angel Troncho,es ESP,"FW,DF",21-263,1.0,39,48,81.3,571,74,24,26,92.3,13,15,86.7,2,6,33.3,0,0.0,0.1,0.0,0,1,2,0,3,Matches
Yacine Qasmi,ma MAR,FW,33-170,0.8,12,22,54.5,149,17,6,10,60.0,5,8,62.5,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Jorge Yriarte,ve VEN,MF,24-109,0.6,32,44,72.7,462,106,17,19,89.5,13,19,68.4,1,2,50.0,0,0.0,0.1,0.0,1,2,1,1,4,Matches
Ander Madariaga,es ESP,"MF,FW",22-102,0.6,10,14,71.4,140,37,6,6,100.0,3,5,60.0,0,0,0.0,1,0.2,0.0,0.8,1,0,0,0,0,Matches
Stefan Simić,cz CZE,DF,29-153,0.3,23,25,92.0,449,214,7,8,87.5,14,14,100.0,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Iker Alday,es ESP,"FW,DF",21-172,0.2,3,7,42.9,42,34,1,1,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Arana,es ESP,FW,24-134,0.1,1,2,50.0,15,0,1,1,100.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,0,0,28.7,42.0,18009,22630,79.6,331319,122781,7605,8627,88.2,7941,9151,86.8,2060,3693,55.8,53,36.7,37.3,16.3,413,1477,373,128,1927,0
Opponent Total,0,0,27.6,42.0,14344,18909,75.9,265389,100447,6102,7086,86.1,6295,7519,83.7,1639,3368,48.7,29,32.8,31.4,-3.8,352,1094,267,87,1338,0
