Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Luca Zidane,fr FRA,GK,26-039,42,42,3780.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anaitz Arbilla,es ESP,DF,37-037,41,39,3513.0,39.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,1.1,1.9,31.0,189.0,3.0,0.03,0.03,0.05,0.03,0.05,0.02,0.03,0.05,0.02,0.05,Matches
Matheus Pereira da Silva,br BRA,MF,26-117,40,39,3377.0,37.5,1.0,7.0,8.0,1.0,0.0,0.0,11.0,0.0,1.5,1.5,3.0,4.5,68.0,317.0,78.0,0.03,0.19,0.21,0.03,0.21,0.04,0.08,0.12,0.04,0.12,Matches
Mario Soriano,es ESP,MF,22-060,41,38,3031.0,33.7,3.0,4.0,7.0,3.0,0.0,0.0,4.0,0.0,3.7,3.7,3.8,7.5,75.0,152.0,162.0,0.09,0.12,0.21,0.09,0.21,0.11,0.11,0.22,0.11,0.22,Matches
Stoichkov,es ESP,FW,30-229,39,37,3070.0,34.1,12.0,7.0,19.0,12.0,0.0,2.0,5.0,0.0,14.2,12.7,4.7,17.3,35.0,65.0,294.0,0.35,0.21,0.56,0.35,0.56,0.42,0.14,0.55,0.37,0.51,Matches
Álvaro Tejero,es ESP,DF,27-337,36,34,3005.0,33.4,2.0,7.0,9.0,2.0,0.0,0.0,6.0,0.0,2.0,1.9,4.5,6.5,92.0,188.0,239.0,0.06,0.21,0.27,0.06,0.27,0.06,0.13,0.19,0.06,0.19,Matches
Juan Berrocal,es ESP,DF,25-048,34,34,2875.0,31.9,1.0,0.0,1.0,1.0,0.0,0.0,10.0,4.0,0.5,0.5,0.2,0.7,17.0,120.0,2.0,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.02,Matches
Ager Aketxe,es ESP,"FW,MF",30-174,40,34,2770.0,30.8,11.0,6.0,17.0,6.0,5.0,5.0,4.0,0.0,7.8,3.8,5.1,8.9,47.0,242.0,230.0,0.36,0.19,0.55,0.19,0.39,0.25,0.17,0.42,0.12,0.29,Matches
Jon Bautista,es ESP,FW,28-354,34,27,2297.0,25.5,17.0,2.0,19.0,17.0,0.0,0.0,6.0,0.0,10.1,10.1,2.6,12.7,37.0,28.0,160.0,0.67,0.08,0.74,0.67,0.74,0.4,0.1,0.5,0.4,0.5,Matches
Cristian Gutierrez,es ESP,DF,23-204,35,24,2055.0,22.8,0.0,6.0,6.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,3.2,3.5,60.0,61.0,180.0,0.0,0.26,0.26,0.0,0.26,0.01,0.14,0.16,0.01,0.16,Matches
Sergio Álvarez,es ESP,"MF,DF",32-150,34,22,2113.0,23.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.6,0.6,0.6,1.1,15.0,112.0,10.0,0.04,0.0,0.04,0.04,0.04,0.02,0.02,0.05,0.02,0.05,Matches
José Corpas,es ESP,"FW,DF",32-350,37,22,2073.0,23.0,6.0,3.0,9.0,3.0,3.0,3.0,8.0,1.0,5.5,3.2,2.3,5.5,41.0,82.0,195.0,0.26,0.13,0.39,0.13,0.26,0.24,0.1,0.34,0.14,0.24,Matches
